Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
China,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
United States of America (the),2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Japan,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Germany,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Republic of Korea (the),2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
France,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
United Kingdom of Great Britain and Northern Ireland (the),2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Switzerland,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Sweden,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Netherlands (the),2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Italy,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Canada,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Turkey,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
India,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Israel,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Australia,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Finland,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Spain,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Denmark,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Austria,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Belgium,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Russian Federation (the),2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Singapore,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Norway,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Brazil,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Ireland,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Saudi Arabia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Poland,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Luxembourg,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
South Africa,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
New Zealand,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Iran (Islamic Republic of),2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Chile,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Mexico,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Malaysia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Portugal,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Czechia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Ukraine,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Thailand,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Colombia,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Greece,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
United Arab Emirates (the),2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Slovenia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Barbados,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Bulgaria,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Antigua and Barbuda,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Cyprus,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Egypt,2019.0,International patent applications by origin (PCT System),2,2.25,True,Innovation Ecosystem
Romania,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Croatia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Iceland,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Slovakia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Estonia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Malta,2019.0,International patent applications by origin (PCT System),5,6.0,True,Innovation Ecosystem
Serbia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Argentina,2019.0,International patent applications by origin (PCT System),2,2.25,True,Innovation Ecosystem
Latvia,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Morocco,2019.0,International patent applications by origin (PCT System),2,2.25,True,Innovation Ecosystem
Viet Nam,2019.0,International patent applications by origin (PCT System),2,2.25,True,Innovation Ecosystem
Lithuania,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Kazakhstan,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
Peru,2019.0,International patent applications by origin (PCT System),2,2.25,True,Innovation Ecosystem
Qatar,2019.0,International patent applications by origin (PCT System),4,4.75,True,Innovation Ecosystem
Philippines (the),2019.0,International patent applications by origin (PCT System),2,2.25,True,Innovation Ecosystem
Jordan,2019.0,International patent applications by origin (PCT System),3,3.5,True,Innovation Ecosystem
