Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Albania,2019.0,Internet Exchange Points (IXPs) map,4,4.75,True,Connectivity Technology
Algeria,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Angola,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Argentina,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Armenia,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Australia,2019.0,Internet Exchange Points (IXPs) map,2,2.25,True,Connectivity Technology
Austria,2019.0,Internet Exchange Points (IXPs) map,4,4.75,True,Connectivity Technology
Azerbaijan,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Bahrain,2019.0,Internet Exchange Points (IXPs) map,5,6.0,True,Connectivity Technology
Bangladesh,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Barbados,2019.0,Internet Exchange Points (IXPs) map,5,6.0,True,Connectivity Technology
Belarus,2019.0,Internet Exchange Points (IXPs) map,2,2.25,True,Connectivity Technology
Belgium,2019.0,Internet Exchange Points (IXPs) map,5,6.0,True,Connectivity Technology
Belize,2019.0,Internet Exchange Points (IXPs) map,4,4.75,True,Connectivity Technology
Benin,2019.0,Internet Exchange Points (IXPs) map,2,2.25,True,Connectivity Technology
Bhutan,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Bolivia (Plurinational State of),2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Bosnia and Herzegovina,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Botswana,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Brazil,2019.0,Internet Exchange Points (IXPs) map,2,2.25,True,Connectivity Technology
United States Virgin Islands,2019.0,Internet Exchange Points (IXPs) map,5,6.0,True,Connectivity Technology
United States Virgin Islands,2019.0,Internet Exchange Points (IXPs) map,5,6.0,True,Connectivity Technology
Bulgaria,2019.0,Internet Exchange Points (IXPs) map,4,4.75,True,Connectivity Technology
Burkina Faso,2019.0,Internet Exchange Points (IXPs) map,2,2.25,True,Connectivity Technology
Burundi,2019.0,Internet Exchange Points (IXPs) map,4,4.75,True,Connectivity Technology
Cambodia,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Cameroon,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Canada,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Chad,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Chile,2019.0,Internet Exchange Points (IXPs) map,2,2.25,True,Connectivity Technology
China,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Colombia,2019.0,Internet Exchange Points (IXPs) map,1,1.0,True,Connectivity Technology
Costa Rica,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Côte d'Ivoire,2019.0,Internet Exchange Points (IXPs) map,2,2.25,True,Connectivity Technology
Croatia,2019.0,Internet Exchange Points (IXPs) map,3,3.5,True,Connectivity Technology
Cuba,2019.0,Internet Exchange Points (IXPs) map,2,2.25,True,Connectivity Technology
