Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,HRAssociation
Cabo Verde,2019.0,Internet Usage,61.94339776,4.097169888,True,Access
Central African Rep.,2019.0,Internet Usage,,,True,Access
Congo (Rep. of the),2019.0,Internet Usage,,,True,Access
Côte d'Ivoire,2019.0,Internet Usage,36.28895457,2.8144477285000002,True,Access
Equatorial Guinea,2019.0,Internet Usage,,,True,Access
Eritrea,2019.0,Internet Usage,,,True,Access
Eswatini,2019.0,Internet Usage,,,True,Access
Kenya,2019.0,Internet Usage,22.56511937,2.1282559685000004,True,Access
Lesotho,2019.0,Internet Usage,42.30173357,3.1150866785000004,True,Access
Madagascar,2019.0,Internet Usage,,,True,Access
Mauritius,2019.0,Internet Usage,61.72995515,4.0864977575,True,Access
Niger,2019.0,Internet Usage,,,True,Access
South Sudan,2019.0,Internet Usage,,,True,Access
Uganda,2019.0,Internet Usage,,,True,Access
Bahrain,2019.0,Internet Usage,99.70149256,5.9850746280000005,True,Access
Comoros,2019.0,Internet Usage,,,True,Access
Egypt,2019.0,Internet Usage,57.2828664,3.86414332,True,Access
Iraq,2019.0,Internet Usage,,,True,Access
Kuwait,2019.0,Internet Usage,99.54267645,5.9771338225,True,Access
Libya,2019.0,Internet Usage,,,True,Access
Morocco,2019.0,Internet Usage,74.37631447,4.718815723500001,True,Access
Palestine,2019.0,Internet Usage,70.6225837,4.531129185,True,Access
Qatar,2019.0,Internet Usage,99.65280421,5.9826402105,True,Access
Saudi Arabia,2019.0,Internet Usage,95.7247356,5.78623678,True,Access
Somalia,2019.0,Internet Usage,,,True,Access
Tunisia,2019.0,Internet Usage,66.6999983,4.334999915,True,Access
United Arab Emirates,2019.0,Internet Usage,99.14999998,5.957499999,True,Access
Yemen,2019.0,Internet Usage,,,True,Access
Brunei Darussalam,2019.0,Internet Usage,95.0,5.75,True,Access
Cambodia,2019.0,Internet Usage,78.27288351,4.9136441755,True,Access
China,2019.0,Internet Usage,64.56912253,4.2284561265,True,Access
Dem. People's Rep. of Korea,2019.0,Internet Usage,,,True,Access
Fiji,2019.0,Internet Usage,,,True,Access
"Hong Kong, China",2019.0,Internet Usage,91.74340039,5.5871700195,True,Access
India,2019.0,Internet Usage,41.0,3.05,True,Access
Indonesia,2019.0,Internet Usage,47.69064898,3.384532449,True,Access
Iran (Islamic Republic of),2019.0,Internet Usage,77.77083846,4.888541923,True,Access
Japan,2019.0,Internet Usage,92.73039781,5.6365198905,True,Access
Kiribati,2019.0,Internet Usage,,,True,Access
Korea (Rep. of),2019.0,Internet Usage,96.15757918,5.807878959,True,Access
"Macao, China",2019.0,Internet Usage,86.46792571,5.3233962855,True,Access
Malaysia,2019.0,Internet Usage,84.18714501,5.2093572505,True,Access
Marshall Islands,2019.0,Internet Usage,,,True,Access
Micronesia,2019.0,Internet Usage,,,True,Access
Mongolia,2019.0,Internet Usage,51.07999408,3.553999704,True,Access
Nauru,2019.0,Internet Usage,,,True,Access
Nepal (Republic of),2019.0,Internet Usage,,,True,Access
Pakistan,2019.0,Internet Usage,17.07090203,1.8535451015,True,Access
Papua New Guinea,2019.0,Internet Usage,,,True,Access
Philippines,2019.0,Internet Usage,46.88,3.344,True,Access
Samoa,2019.0,Internet Usage,,,True,Access
Singapore,2019.0,Internet Usage,88.94925269,5.4474626345,True,Access
