Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Germany,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.39,5.957805907172995,True,Connectivity Technology
Sweden,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.28,5.725738396624473,True,Connectivity Technology
Belgium,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.41,6.0,True,Connectivity Technology
Austria,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.25,5.662447257383966,True,Connectivity Technology
Japan,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.25,5.662447257383966,True,Connectivity Technology
Netherlands,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.25,5.662447257383966,True,Connectivity Technology
Singapore,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.32,5.810126582278482,True,Connectivity Technology
Denmark,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.41,6.0,True,Connectivity Technology
United Kingdom,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.33,5.8312236286919825,True,Connectivity Technology
Finland,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.28,5.725738396624473,True,Connectivity Technology
United Arab Emirates,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.38,5.936708860759493,True,Connectivity Technology
"Hong Kong SAR, China",2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.14,5.430379746835442,True,Connectivity Technology
Switzerland,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.24,5.641350210970464,True,Connectivity Technology
United States,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.08,5.30379746835443,True,Connectivity Technology
New Zealand,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.26,5.683544303797468,True,Connectivity Technology
France,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.15,5.451476793248945,True,Connectivity Technology
Spain,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.06,5.261603375527425,True,Connectivity Technology
Australia,2018,Logistics Performance Index (LPI) - Infrastructure Rating,3.98,5.092827004219409,True,Connectivity Technology
Italy,2018,Logistics Performance Index (LPI) - Infrastructure Rating,4.13,5.40928270042194,True,Connectivity Technology
