,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
111,Albania,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
223,Algeria,2019.0,Mobile app creation/bn PPP$ GDP,0.001066669,1.00005333345,True,Innovation Ecosystem
335,Angola,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
447,Argentina,2020.0,Mobile app creation/bn PPP$ GDP,8.357262841,1.41786314205,True,Innovation Ecosystem
559,Armenia,2020.0,Mobile app creation/bn PPP$ GDP,4.441896673,1.22209483365,True,Innovation Ecosystem
671,Australia,2020.0,Mobile app creation/bn PPP$ GDP,15.14050643,1.7570253215,True,Innovation Ecosystem
783,Austria,2020.0,Mobile app creation/bn PPP$ GDP,13.40628824,1.6703144120000002,True,Innovation Ecosystem
895,Azerbaijan,2020.0,Mobile app creation/bn PPP$ GDP,0.006977505,1.00034887525,True,Innovation Ecosystem
1007,Bahrain,2020.0,Mobile app creation/bn PPP$ GDP,0.038799095,1.00193995475,True,Innovation Ecosystem
1119,Bangladesh,2020.0,Mobile app creation/bn PPP$ GDP,0.694375281,1.03471876405,True,Innovation Ecosystem
1231,Belarus,2020.0,Mobile app creation/bn PPP$ GDP,100.0,6.0,True,Innovation Ecosystem
1343,Belgium,2020.0,Mobile app creation/bn PPP$ GDP,2.815158305,1.14075791525,True,Innovation Ecosystem
1455,Benin,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
1567,Bolivia (Plurinational State of),2020.0,Mobile app creation/bn PPP$ GDP,0.010924655,1.00054623275,True,Innovation Ecosystem
1679,Bosnia and Herzegovina,2020.0,Mobile app creation/bn PPP$ GDP,0.087216677,1.00436083385,True,Innovation Ecosystem
1791,Botswana,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
1903,Brazil,2020.0,Mobile app creation/bn PPP$ GDP,15.00422936,1.7502114679999998,True,Innovation Ecosystem
2015,Brunei Darussalam,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
2127,Bulgaria,2020.0,Mobile app creation/bn PPP$ GDP,7.266907313,1.36334536565,True,Innovation Ecosystem
2239,Burkina Faso,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
2351,Cabo Verde,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
2463,Cambodia,2020.0,Mobile app creation/bn PPP$ GDP,1.729109035,1.08645545175,True,Innovation Ecosystem
2575,Cameroon,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
2687,Canada,2020.0,Mobile app creation/bn PPP$ GDP,15.00520812,1.750260406,True,Innovation Ecosystem
2799,Chile,2020.0,Mobile app creation/bn PPP$ GDP,2.321827727,1.11609138635,True,Innovation Ecosystem
2911,China,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
3023,Colombia,2020.0,Mobile app creation/bn PPP$ GDP,1.993245919,1.09966229595,True,Innovation Ecosystem
3135,Costa Rica,2020.0,Mobile app creation/bn PPP$ GDP,4.114515354,1.2057257677,True,Innovation Ecosystem
3247,Cote dIvoire,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
3359,Croatia,2020.0,Mobile app creation/bn PPP$ GDP,9.2454021,1.462270105,True,Innovation Ecosystem
3471,Cyprus,2020.0,Mobile app creation/bn PPP$ GDP,100.0,6.0,True,Innovation Ecosystem
3583,Czech Republic,2020.0,Mobile app creation/bn PPP$ GDP,17.30124831,1.8650624155,True,Innovation Ecosystem
3695,Denmark,2020.0,Mobile app creation/bn PPP$ GDP,32.13740156,2.606870078,True,Innovation Ecosystem
3807,Dominican Republic,2020.0,Mobile app creation/bn PPP$ GDP,0.006032739,1.00030163695,True,Innovation Ecosystem
3919,Ecuador,2020.0,Mobile app creation/bn PPP$ GDP,0.153737932,1.0076868966,True,Innovation Ecosystem
4031,Egypt,2020.0,Mobile app creation/bn PPP$ GDP,0.160569589,1.00802847945,True,Innovation Ecosystem
4143,El Salvador,2018.0,Mobile app creation/bn PPP$ GDP,0.001047089,1.00005235445,True,Innovation Ecosystem
4255,Estonia,2020.0,Mobile app creation/bn PPP$ GDP,75.77404254,4.788702127,True,Innovation Ecosystem
4367,Ethiopia,2019.0,Mobile app creation/bn PPP$ GDP,0.0,1.0,True,Innovation Ecosystem
4479,Finland,2020.0,Mobile app creation/bn PPP$ GDP,77.67940671,4.883970335499999,True,Innovation Ecosystem
4591,France,2020.0,Mobile app creation/bn PPP$ GDP,32.19690993,2.6098454965,True,Innovation Ecosystem
4703,Georgia,2020.0,Mobile app creation/bn PPP$ GDP,2.051428422,1.1025714211,True,Innovation Ecosystem
4815,Germany,2020.0,Mobile app creation/bn PPP$ GDP,13.32028671,1.6660143354999999,True,Innovation Ecosystem
4927,Ghana,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
5039,Greece,2020.0,Mobile app creation/bn PPP$ GDP,3.796824494,1.1898412246999999,True,Innovation Ecosystem
5151,Guatemala,2019.0,Mobile app creation/bn PPP$ GDP,4.59586e-05,1.00000229793,True,Innovation Ecosystem
5263,Guinea,,Mobile app creation/bn PPP$ GDP,,,True,Innovation Ecosystem
