Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Angola,2020.0,Mobile cellular subscriptions (per 100 people),44.55951073,1.7639115492516688,True,Connectivity technology
Benin,2020.0,Mobile cellular subscriptions (per 100 people),91.8972796,2.575452514652191,True,Connectivity technology
Botswana,2020.0,Mobile cellular subscriptions (per 100 people),162.3990114,3.7841077777362178,True,Connectivity technology
Burkina Faso,2020.0,Mobile cellular subscriptions (per 100 people),105.8074398,2.813923087031407,True,Connectivity technology
Burundi,2020.0,Mobile cellular subscriptions (per 100 people),55.76717229,1.9560514979523123,True,Connectivity technology
Cabo Verde,2020.0,Mobile cellular subscriptions (per 100 people),97.97513251,2.6796489467166023,True,Connectivity technology
Cameroon,2020.0,Mobile cellular subscriptions (per 100 people),95.10006889,2.6303599337052312,True,Connectivity technology
Central African Rep.,2020.0,Mobile cellular subscriptions (per 100 people),,,True,Connectivity technology
Chad,2020.0,Mobile cellular subscriptions (per 100 people),52.88702622,1.9066753533232488,True,Connectivity technology
Congo (Rep. of the),2020.0,Mobile cellular subscriptions (per 100 people),,,True,Connectivity technology
Côte d'Ivoire,2020.0,Mobile cellular subscriptions (per 100 people),152.0010217,3.605848539905715,True,Connectivity technology
Dem. Rep. of the Congo,2020.0,Mobile cellular subscriptions (per 100 people),45.55354721,1.7809529380597877,True,Connectivity technology
Equatorial Guinea,2020.0,Mobile cellular subscriptions (per 100 people),,,True,Connectivity technology
Eritrea,2020.0,Mobile cellular subscriptions (per 100 people),,,True,Connectivity technology
Eswatini,2020.0,Mobile cellular subscriptions (per 100 people),,,True,Connectivity technology
Ethiopia,2020.0,Mobile cellular subscriptions (per 100 people),,,True,Connectivity technology
Gabon,2020.0,Mobile cellular subscriptions (per 100 people),138.7740853,3.379090900253838,True,Connectivity technology
Gambia,2020.0,Mobile cellular subscriptions (per 100 people),110.8118285,2.899716451057299,True,Connectivity technology
Ghana,2020.0,Mobile cellular subscriptions (per 100 people),130.2149362,3.2323560563980465,True,Connectivity technology
Guinea,2020.0,Mobile cellular subscriptions (per 100 people),,,True,Connectivity technology
Guinea-Bissau,2020.0,Mobile cellular subscriptions (per 100 people),97.2488327,2.6671975350204513,True,Connectivity technology
