Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,Mobile dowload speed at the slowest hour of the day,42.6276207,3.618652107764902,True,Connectivity Technology
Angola,2019,Mobile dowload speed at the slowest hour of the day,66.2856369,2.297021529112085,True,Connectivity Technology
Albania,2019,Mobile dowload speed at the slowest hour of the day,84.63645935,1.271871834043882,True,Connectivity Technology
United Arab Emirates,2019,Mobile dowload speed at the slowest hour of the day,84.95167542,1.2542626146793783,True,Connectivity Technology
Argentina,2019,Mobile dowload speed at the slowest hour of the day,80.72720337,1.4902583715824518,True,Connectivity Technology
Armenia,2019,Mobile dowload speed at the slowest hour of the day,88.43795013,1.0595054878193517,True,Connectivity Technology
Australia,2019,Mobile dowload speed at the slowest hour of the day,86.0691452,1.1918363224880482,True,Connectivity Technology
Austria,2019,Mobile dowload speed at the slowest hour of the day,85.845047,1.2043553363917185,True,Connectivity Technology
Azerbaijan,2019,Mobile dowload speed at the slowest hour of the day,85.6875,1.2131565364168928,True,Connectivity Technology
Burundi,2019,Mobile dowload speed at the slowest hour of the day,51.73629379,3.109805517039512,True,Connectivity Technology
Belgium,2019,Mobile dowload speed at the slowest hour of the day,82.73025513,1.3783599590418278,True,Connectivity Technology
Benin,2019,Mobile dowload speed at the slowest hour of the day,68.67870331,2.1633353519843963,True,Connectivity Technology
Burkina Faso,2019,Mobile dowload speed at the slowest hour of the day,54.46979904,2.9571010766178336,True,Connectivity Technology
Bangladesh,2019,Mobile dowload speed at the slowest hour of the day,74.70111084,1.8268997911381328,True,Connectivity Technology
Bulgaria,2019,Mobile dowload speed at the slowest hour of the day,83.99253845,1.3078438083835415,True,Connectivity Technology
Bahrain,2019,Mobile dowload speed at the slowest hour of the day,87.42061615,1.1163377972278878,True,Connectivity Technology
Bahamas,2019,Mobile dowload speed at the slowest hour of the day,78.23744965,1.6293458851697737,True,Connectivity Technology
