,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better
0,United Arab Emirates,2021,Mobile download speed average ,190.03,6.0,True
1,South Korea,2021,Mobile download speed average ,189.2,5.9773619899629065,True
2,Qatar,2021,Mobile download speed average ,170.77,5.474689068295876,True
3,China,2021,Mobile download speed average ,157.72,5.118754091206633,True
4,Cyprus,2021,Mobile download speed average ,154.13,5.020837879118481,True
5,Norway,2021,Mobile download speed average ,152.53,4.977198341697578,True
6,Saudi Arabia,2021,Mobile download speed average ,151.13,4.939013746454288,True
7,Kuwait,2021,Mobile download speed average ,140.16,4.639810168012219,True
8,Australia,2021,Mobile download speed average ,122.27,4.151865590224744,True
9,Bulgaria,2021,Mobile download speed average ,120.44,4.101952869299586,True
10,Luxembourg,2021,Mobile download speed average ,110.72,3.836842679467598,True
11,Switzerland,2021,Mobile download speed average ,109.65,3.807658738817369,True
12,Netherlands,2021,Mobile download speed average ,100.65,3.5621863408247876,True
13,United States,2021,Mobile download speed average ,91.01,3.299258127863845,True
14,Sweden,2021,Mobile download speed average ,90.57,3.2872572550730963,True
15,Denmark,2021,Mobile download speed average ,89.44,3.2564368317695833,True
16,Oman,2021,Mobile download speed average ,85.96,3.1615208378791184,True
17,Singapore,2021,Mobile download speed average ,85.93,3.160702596552477,True
18,Canada,2021,Mobile download speed average ,85.91,3.1601571023347153,True
19,New Zealand,2021,Mobile download speed average ,84.22,3.114062840933886,True
20,United Kingdom,2021,Mobile download speed average ,79.01,2.97196159720707,True
21,Bahrain,2021,Mobile download speed average ,78.82,2.9667794021383376,True
22,Hong Kong (SAR),2021,Mobile download speed average ,78.06,2.9460506218634084,True
23,Finland,2021,Mobile download speed average ,76.78,2.911138991926686,True
24,Greece,2021,Mobile download speed average ,76.36,2.8996836133536985,True
25,Taiwan,2021,Mobile download speed average ,74.62,2.8522256164084663,True
26,France,2021,Mobile download speed average ,73.27,2.815404756709579,True
27,Croatia,2021,Mobile download speed average ,71.51,2.7674012655465856,True
28,Belgium,2021,Mobile download speed average ,70.49,2.7395810604407593,True
29,Germany,2021,Mobile download speed average ,70.48,2.739308313331879,True
30,Austria,2021,Mobile download speed average ,67.05,2.6457560549858172,True
31,Macau (SAR),2021,Mobile download speed average ,66.67,2.6353916648483526,True
32,Estonia,2021,Mobile download speed average ,65.12,2.5931158629718527,True
33,Lithuania,2021,Mobile download speed average ,63.33,2.544294130482217,True
34,Japan,2021,Mobile download speed average ,61.59,2.496836133536985,True
35,Brunei,2021,Mobile download speed average ,59.34,2.4354680340388395,True
36,Romania,2021,Mobile download speed average ,57.71,2.391010255291294,True
37,Slovenia,2021,Mobile download speed average ,57.64,2.389101025529129,True
38,Hungary,2021,Mobile download speed average ,57.13,2.3751909229762167,True
39,Czechia,2021,Mobile download speed average ,56.89,2.3686449923630812,True
40,Maldives,2021,Mobile download speed average ,56.83,2.3670085097097973,True
41,North Macedonia,2021,Mobile download speed average ,56.55,2.359371590661139,True
42,Albania,2021,Mobile download speed average ,56.43,2.356098625354571,True
43,Spain,2021,Mobile download speed average ,53.01,2.2628191141173906,True
44,Poland,2021,Mobile download speed average ,51.9,2.2325441850316388,True
45,Malta,2021,Mobile download speed average ,51.77,2.2289984726161904,True
46,Ireland,2021,Mobile download speed average ,51.71,2.2273619899629065,True
47,Italy,2021,Mobile download speed average ,50.7,2.199814531965961,True
48,Slovakia,2021,Mobile download speed average ,50.23,2.1869954178485704,True
49,Portugal,2021,Mobile download speed average ,49.96,2.1796312459087934,True
50,Thailand,2021,Mobile download speed average ,48.89,2.1504473052585644,True
51,Serbia,2021,Mobile download speed average ,48.57,2.141719397774384,True
