Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Greece,2021,National cyber security index,96.1,5.79539,True,Connectivity Technology
Czech Republic,2021,National cyber security index,92.21,5.601279,True,Connectivity Technology
Estonia,2021,National cyber security index,90.91,5.536409,True,Connectivity Technology
Portugal,2021,National cyber security index,89.61,5.471539,True,Connectivity Technology
Lithuania,2021,National cyber security index,88.31,5.406669000000001,True,Connectivity Technology
Spain,2021,National cyber security index,88.31,5.406669000000001,True,Connectivity Technology
Poland,2021,National cyber security index,87.01,5.341799,True,Connectivity Technology
Belgium,2021,National cyber security index,85.71,5.276929,True,Connectivity Technology
Finland,2021,National cyber security index,85.71,5.276929,True,Connectivity Technology
France,2021,National cyber security index,84.42,5.2125580000000005,True,Connectivity Technology
Croatia,2021,National cyber security index,83.12,5.1476880000000005,True,Connectivity Technology
Slovakia,2021,National cyber security index,83.12,5.1476880000000005,True,Connectivity Technology
Netherlands,2021,National cyber security index,81.82,5.082818,True,Connectivity Technology
Denmark,2021,National cyber security index,81.82,5.082818,True,Connectivity Technology
Germany,2021,National cyber security index,80.52,5.0179480000000005,True,Connectivity Technology
Singapore,2021,National cyber security index,80.52,5.0179480000000005,True,Connectivity Technology
United States,2021,National cyber security index,79.22,4.953078,True,Connectivity Technology
Serbia,2021,National cyber security index,77.92,4.8882080000000006,True,Connectivity Technology
United Kingdom,2021,National cyber security index,77.92,4.8882080000000006,True,Connectivity Technology
Italy,2021,National cyber security index,76.62,4.823338000000001,True,Connectivity Technology
Switzerland,2021,National cyber security index,76.62,4.823338000000001,True,Connectivity Technology
Ukraine,2021,National cyber security index,75.32,4.758468,True,Connectivity Technology
Malaysia,2021,National cyber security index,72.73,4.629227,True,Connectivity Technology
Romania,2021,National cyber security index,71.43,4.564357000000001,True,Connectivity Technology
Latvia,2021,National cyber security index,71.43,4.564357000000001,True,Connectivity Technology
Saudi Arabia,2021,National cyber security index,68.83,4.434617,True,Connectivity Technology
Austria,2021,National cyber security index,68.83,4.434617,True,Connectivity Technology
Canada,2021,National cyber security index,66.23,4.304877,True,Connectivity Technology
Australia,2021,National cyber security index,66.23,4.304877,True,Connectivity Technology
Russian Federation,2021,National cyber security index,64.94,4.240506,True,Connectivity Technology
Hungary,2021,National cyber security index,64.94,4.240506,True,Connectivity Technology
Israel,2021,National cyber security index,64.94,4.240506,True,Connectivity Technology
Philippines,2021,National cyber security index,63.64,4.175636,True,Connectivity Technology
Ireland,2021,National cyber security index,63.64,4.175636,True,Connectivity Technology
Japan,2021,National cyber security index,63.64,4.175636,True,Connectivity Technology
Luxembourg,2021,National cyber security index,62.34,4.110766,True,Connectivity Technology
Korea (Republic of),2021,National cyber security index,62.34,4.110766,True,Connectivity Technology
Norway,2021,National cyber security index,62.34,4.110766,True,Connectivity Technology
Bangladesh,2021,National cyber security index,59.74,3.981026,True,Connectivity Technology
India,2021,National cyber security index,59.74,3.981026,True,Connectivity Technology
Chile,2021,National cyber security index,59.74,3.981026,True,Connectivity Technology
Paraguay,2021,National cyber security index,57.14,3.851286,True,Connectivity Technology
Slovenia,2021,National cyber security index,57.14,3.851286,True,Connectivity Technology
Sweden,2021,National cyber security index,57.14,3.851286,True,Connectivity Technology
Georgia,2021,National cyber security index,55.84,3.7864160000000004,True,Connectivity Technology
North Macedonia,2021,National cyber security index,55.84,3.7864160000000004,True,Connectivity Technology
Qatar,2021,National cyber security index,55.84,3.7864160000000004,True,Connectivity Technology
New Zealand,2021,National cyber security index,55.84,3.7864160000000004,True,Connectivity Technology
Iceland,2021,National cyber security index,55.84,3.7864160000000004,True,Connectivity Technology
Benin,2021,National cyber security index,54.55,3.722045,True,Connectivity Technology
Nigeria,2021,National cyber security index,54.55,3.722045,True,Connectivity Technology
Turkey,2021,National cyber security index,54.55,3.722045,True,Connectivity Technology
Dominican Republic,2021,National cyber security index,53.25,3.6571750000000005,True,Connectivity Technology
Costa Rica,2021,National cyber security index,53.25,3.6571750000000005,True,Connectivity Technology
Belarus,2021,National cyber security index,53.25,3.6571750000000005,True,Connectivity Technology
Bulgaria,2021,National cyber security index,51.95,3.592305,True,Connectivity Technology
Uganda,2021,National cyber security index,50.65,3.527435,True,Connectivity Technology
Moldova (Republic of),2021,National cyber security index,50.65,3.527435,True,Connectivity Technology
Malta,2021,National cyber security index,50.65,3.527435,True,Connectivity Technology
Kenya,2021,National cyber security index,49.35,3.462565,True,Connectivity Technology
Bosnia and Herzegovina,2021,National cyber security index,49.35,3.462565,True,Connectivity Technology
Panama,2021,National cyber security index,48.05,3.397695,True,Connectivity Technology
Mauritius,2021,National cyber security index,48.05,3.397695,True,Connectivity Technology
Argentina,2021,National cyber security index,48.05,3.397695,True,Connectivity Technology
Uruguay,2021,National cyber security index,48.05,3.397695,True,Connectivity Technology
Colombia,2021,National cyber security index,46.75,3.332825,True,Connectivity Technology
Brazil,2021,National cyber security index,46.75,3.332825,True,Connectivity Technology
Kazakhstan,2021,National cyber security index,45.45,3.267955,True,Connectivity Technology
Pakistan,2021,National cyber security index,42.86,3.138714,True,Connectivity Technology
Sri Lanka,2021,National cyber security index,42.86,3.138714,True,Connectivity Technology
Thailand,2021,National cyber security index,42.86,3.138714,True,Connectivity Technology
Zambia,2021,National cyber security index,41.56,3.0738440000000002,True,Connectivity Technology
Albania,2021,National cyber security index,41.56,3.0738440000000002,True,Connectivity Technology
Cyprus,2021,National cyber security index,41.56,3.0738440000000002,True,Connectivity Technology
Peru,2021,National cyber security index,40.26,3.0089740000000003,True,Connectivity Technology
United Arab Emirates,2021,National cyber security index,40.26,3.0089740000000003,True,Connectivity Technology
Indonesia,2021,National cyber security index,38.96,2.9441040000000003,True,Connectivity Technology
Mexico,2021,National cyber security index,37.66,2.879234,True,Connectivity Technology
Azerbaijan,2021,National cyber security index,37.66,2.879234,True,Connectivity Technology
Vietnam,2021,National cyber security index,36.36,2.814364,True,Connectivity Technology
Egypt,2021,National cyber security index,35.06,2.7494940000000003,True,Connectivity Technology
Ecuador,2021,National cyber security index,35.06,2.7494940000000003,True,Connectivity Technology
China,2021,National cyber security index,35.06,2.7494940000000003,True,Connectivity Technology
Brunei Darussalam,2021,National cyber security index,35.06,2.7494940000000003,True,Connectivity Technology
Rwanda,2021,National cyber security index,33.77,2.685123,True,Connectivity Technology
Algeria,2021,National cyber security index,33.77,2.685123,True,Connectivity Technology
Trinidad and Tobago,2021,National cyber security index,33.77,2.685123,True,Connectivity Technology
Montenegro,2021,National cyber security index,33.77,2.685123,True,Connectivity Technology
