Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Aruba,2015,Postal Coverage,,,True,Connectivity Technology
Afghanistan,2015,Postal Coverage,,,True,Connectivity Technology
Angola,2015,Postal Coverage,15.0,1.75,True,Connectivity Technology
Albania,2015,Postal Coverage,,,True,Connectivity Technology
United Arab Emirates,2015,Postal Coverage,,,True,Connectivity Technology
Argentina,2015,Postal Coverage,93.0,5.65,True,Connectivity Technology
Armenia,2015,Postal Coverage,93.0,5.65,True,Connectivity Technology
Antigua and Barbuda,2015,Postal Coverage,80.0,5.0,True,Connectivity Technology
Australia,2015,Postal Coverage,,,True,Connectivity Technology
Austria,2015,Postal Coverage,99.0,5.95,True,Connectivity Technology
Burundi,2015,Postal Coverage,,,True,Connectivity Technology
Belgium,2015,Postal Coverage,,,True,Connectivity Technology
Benin,2015,Postal Coverage,6.0,1.3,True,Connectivity Technology
Burkina Faso,2015,Postal Coverage,0.0,1.0,True,Connectivity Technology
Bangladesh,2015,Postal Coverage,,,True,Connectivity Technology
Bulgaria,2015,Postal Coverage,,,True,Connectivity Technology
Bahrain,2015,Postal Coverage,,,True,Connectivity Technology
"Bahamas, The",2015,Postal Coverage,,,True,Connectivity Technology
Bosnia and Herzegovina,2015,Postal Coverage,90.0,5.5,True,Connectivity Technology
Belarus,2015,Postal Coverage,,,True,Connectivity Technology
Belize,2015,Postal Coverage,90.0,5.5,True,Connectivity Technology
Bermuda,2015,Postal Coverage,98.0,5.9,True,Connectivity Technology
Bolivia,2015,Postal Coverage,35.0,2.75,True,Connectivity Technology
Brazil,2015,Postal Coverage,85.5,5.275,True,Connectivity Technology
Barbados,2015,Postal Coverage,100.0,6.0,True,Connectivity Technology
Brunei Darussalam,2015,Postal Coverage,85.0,5.25,True,Connectivity Technology
Bhutan,2015,Postal Coverage,,,True,Connectivity Technology
Botswana,2015,Postal Coverage,,,True,Connectivity Technology
Canada,2015,Postal Coverage,89.0,5.45,True,Connectivity Technology
Switzerland,2015,Postal Coverage,100.0,6.0,True,Connectivity Technology
Chile,2015,Postal Coverage,91.7,5.585,True,Connectivity Technology
China,2015,Postal Coverage,100.0,6.0,True,Connectivity Technology
Cameroon,2015,Postal Coverage,,,True,Connectivity Technology
"Congo, Dem. Rep.",2015,Postal Coverage,22.0,2.1,True,Connectivity Technology
"Congo, Rep.",2015,Postal Coverage,,,True,Connectivity Technology
Colombia,2015,Postal Coverage,75.0,4.75,True,Connectivity Technology
Comoros,2015,Postal Coverage,,,True,Connectivity Technology
Cabo Verde,2015,Postal Coverage,39.0,2.95,True,Connectivity Technology
Costa Rica,2015,Postal Coverage,97.0,5.85,True,Connectivity Technology
Cuba,2015,Postal Coverage,,,True,Connectivity Technology
Cayman Islands,2015,Postal Coverage,,,True,Connectivity Technology
Cyprus,2015,Postal Coverage,98.0,5.9,True,Connectivity Technology
Czech Republic,2015,Postal Coverage,100.0,6.0,True,Connectivity Technology
Germany,2015,Postal Coverage,,,True,Connectivity Technology
Djibouti,2015,Postal Coverage,0.0,1.0,True,Connectivity Technology
Dominica,2015,Postal Coverage,,,True,Connectivity Technology
Denmark,2015,Postal Coverage,100.0,6.0,True,Connectivity Technology
Dominican Republic,2015,Postal Coverage,98.0,5.9,True,Connectivity Technology
Algeria,2015,Postal Coverage,,,True,Connectivity Technology
Ecuador,2015,Postal Coverage,57.3,3.865,True,Connectivity Technology
"Egypt, Arab Rep.",2015,Postal Coverage,,,True,Connectivity Technology
Eritrea,2015,Postal Coverage,20.0,2.0,True,Connectivity Technology
Spain,2015,Postal Coverage,,,True,Connectivity Technology
Estonia,2015,Postal Coverage,100.0,6.0,True,Connectivity Technology
Ethiopia,2015,Postal Coverage,20.0,2.0,True,Connectivity Technology
Finland,2015,Postal Coverage,100.0,6.0,True,Connectivity Technology
Fiji,2015,Postal Coverage,,,True,Connectivity Technology
France,2015,Postal Coverage,100.0,6.0,True,Connectivity Technology
Faroe Islands,2015,Postal Coverage,,,True,Connectivity Technology
Gabon,2015,Postal Coverage,,,True,Connectivity Technology
United Kingdom,2015,Postal Coverage,99.9,5.995,True,Connectivity Technology
Georgia,2015,Postal Coverage,60.0,4.0,True,Connectivity Technology
Ghana,2015,Postal Coverage,5.0,1.25,True,Connectivity Technology
