,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better
0,United States,2018,Software Developer Ecosystem size,651017,6.0,True
1,China,2018,Software Developer Ecosystem size,183805,2.3482743851158485,True
2,India,2018,Software Developer Ecosystem size,168328,2.227306264987166,True
3,United Kingdom,2018,Software Developer Ecosystem size,109460,1.7671944024986166,True
4,Germany,2018,Software Developer Ecosystem size,94359,1.6491650956521196,True
5,Brazil,2018,Software Developer Ecosystem size,80903,1.5439930969151838,True
6,Canada,2018,Software Developer Ecosystem size,77318,1.515972762828389,True
7,France,2018,Software Developer Ecosystem size,66367,1.430379825984737,True
8,Russia,2018,Software Developer Ecosystem size,58767,1.3709782809192859,True
9,Australia,2018,Software Developer Ecosystem size,41790,1.2382861716329485,True
10,Japan,2018,Software Developer Ecosystem size,39263,1.218535157898686,True
11,Spain,2018,Software Developer Ecosystem size,38020,1.208819878883376,True
12,Netherlands,2018,Software Developer Ecosystem size,35782,1.191327687060155,True
13,Ukraine,2018,Software Developer Ecosystem size,33032,1.1698337069377878,True
14,Poland,2018,Software Developer Ecosystem size,30928,1.153388858145984,True
15,Sweden,2018,Software Developer Ecosystem size,25846,1.1136679828798495,True
16,Indonesia,2018,Software Developer Ecosystem size,25480,1.1108073295253817,True
17,Italy,2018,Software Developer Ecosystem size,23971,1.0990129964327808,True
18,Mexico,2018,Software Developer Ecosystem size,18855,1.0590263774124062,True
19,Turkey,2018,Software Developer Ecosystem size,18106,1.0531721988263505,True
20,Switzerland,2018,Software Developer Ecosystem size,17123,1.0454890779317008,True
21,South Korea,2018,Software Developer Ecosystem size,15323,1.031420290942515,True
22,Vietnam,2018,Software Developer Ecosystem size,14727,1.0267619592505401,True
23,Argentina,2018,Software Developer Ecosystem size,14212,1.0227367229730786,True
24,Taiwan,2018,Software Developer Ecosystem size,13955,1.0207280128307337,True
25,Belgium,2018,Software Developer Ecosystem size,13492,1.0171092081774042,True
26,Denmark,2018,Software Developer Ecosystem size,12566,1.0098715988707454,True
27,Norway,2018,Software Developer Ecosystem size,11898,1.0046505156992032,True
28,Bangladesh,2018,Software Developer Ecosystem size,11776,1.0036969645810472,True
29,Finland,2018,Software Developer Ecosystem size,11303,1.0,True
