Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,Spectrum Allocated to Mobile Providers,17.62,1.8792380000000002,True,Connectivity Technology
Angola,2019,Spectrum Allocated to Mobile Providers,48.22,3.406178,True,Connectivity Technology
Albania,2019,Spectrum Allocated to Mobile Providers,52.85,3.637215,True,Connectivity Technology
United Arab Emirates,2019,Spectrum Allocated to Mobile Providers,82.44,5.113756,True,Connectivity Technology
Argentina,2019,Spectrum Allocated to Mobile Providers,63.38,4.162662,True,Connectivity Technology
Armenia,2019,Spectrum Allocated to Mobile Providers,21.43,2.069357,True,Connectivity Technology
Australia,2019,Spectrum Allocated to Mobile Providers,75.45,4.7649550000000005,True,Connectivity Technology
Austria,2019,Spectrum Allocated to Mobile Providers,73.33,4.659167,True,Connectivity Technology
Azerbaijan,2019,Spectrum Allocated to Mobile Providers,15.36,1.766464,True,Connectivity Technology
Burundi,2019,Spectrum Allocated to Mobile Providers,16.29,1.812871,True,Connectivity Technology
Belgium,2019,Spectrum Allocated to Mobile Providers,58.62,3.925138,True,Connectivity Technology
Benin,2019,Spectrum Allocated to Mobile Providers,61.31,4.059369,True,Connectivity Technology
Burkina Faso,2019,Spectrum Allocated to Mobile Providers,23.82,2.188618,True,Connectivity Technology
Bangladesh,2019,Spectrum Allocated to Mobile Providers,19.97,1.9965030000000001,True,Connectivity Technology
Bulgaria,2019,Spectrum Allocated to Mobile Providers,27.49,2.3717509999999997,True,Connectivity Technology
Bahrain,2019,Spectrum Allocated to Mobile Providers,52.45,3.617255,True,Connectivity Technology
Bahamas,2019,Spectrum Allocated to Mobile Providers,51.41,3.5653589999999995,True,Connectivity Technology
Bosnia and Herzegovina,2019,Spectrum Allocated to Mobile Providers,43.15,3.153185,True,Connectivity Technology
Belarus,2019,Spectrum Allocated to Mobile Providers,19.99,1.9975010000000002,True,Connectivity Technology
Belize,2019,Spectrum Allocated to Mobile Providers,37.42,2.8672580000000005,True,Connectivity Technology
Bolivia,2019,Spectrum Allocated to Mobile Providers,36.34,2.8133660000000003,True,Connectivity Technology
Brazil,2019,Spectrum Allocated to Mobile Providers,55.5,3.76945,True,Connectivity Technology
Barbados,2019,Spectrum Allocated to Mobile Providers,30.73,2.533427,True,Connectivity Technology
Brunei Darussalam,2019,Spectrum Allocated to Mobile Providers,31.25,2.559375,True,Connectivity Technology
Bhutan,2019,Spectrum Allocated to Mobile Providers,67.5,4.36825,True,Connectivity Technology
Botswana,2019,Spectrum Allocated to Mobile Providers,14.09,1.7030910000000001,True,Connectivity Technology
Central African Republic,2019,Spectrum Allocated to Mobile Providers,16.34,1.815366,True,Connectivity Technology
