Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Iraq ,2020,Telecommunication Infrastructure Index (TII),0.537,3.685,True,Connectivity Technology
Ireland ,2020,Telecommunication Infrastructure Index (TII),0.81,5.050000000000001,True,Connectivity Technology
Israel ,2020,Telecommunication Infrastructure Index (TII),0.8689,5.3445,True,Connectivity Technology
Italy ,2020,Telecommunication Infrastructure Index (TII),0.7932,4.966,True,Connectivity Technology
Jamaica ,2020,Telecommunication Infrastructure Index (TII),0.5151,3.5755,True,Connectivity Technology
Japan ,2020,Telecommunication Infrastructure Index (TII),0.9223,5.6115,True,Connectivity Technology
Jordan ,2020,Telecommunication Infrastructure Index (TII),0.554,3.7700000000000005,True,Connectivity Technology
Kazakhstan ,2020,Telecommunication Infrastructure Index (TII),0.7024,4.5120000000000005,True,Connectivity Technology
Kenya ,2020,Telecommunication Infrastructure Index (TII),0.3402,2.701,True,Connectivity Technology
Kiribati ,2020,Telecommunication Infrastructure Index (TII),0.1241,1.6205,True,Connectivity Technology
Kuwait ,2020,Telecommunication Infrastructure Index (TII),0.7858,4.929,True,Connectivity Technology
Kyrgyzstan ,2020,Telecommunication Infrastructure Index (TII),0.5902,3.9509999999999996,True,Connectivity Technology
Lao People's Democratic Republic ,2020,Telecommunication Infrastructure Index (TII),0.2383,2.1915,True,Connectivity Technology
Latvia ,2020,Telecommunication Infrastructure Index (TII),0.8399,5.1995,True,Connectivity Technology
Lebanon ,2020,Telecommunication Infrastructure Index (TII),0.4123,3.0615,True,Connectivity Technology
Lesotho ,2020,Telecommunication Infrastructure Index (TII),0.4497,3.2485,True,Connectivity Technology
Liberia ,2020,Telecommunication Infrastructure Index (TII),0.1411,1.7055,True,Connectivity Technology
Libya,2020,Telecommunication Infrastructure Index (TII),0.3459,2.7295,True,Connectivity Technology
Liechtenstein,2020,Telecommunication Infrastructure Index (TII),1.0,6.0,True,Connectivity Technology
Lithuania ,2020,Telecommunication Infrastructure Index (TII),0.8249,5.124499999999999,True,Connectivity Technology
Luxembourg,2020,Telecommunication Infrastructure Index (TII),0.9072,5.536,True,Connectivity Technology
Madagascar ,2020,Telecommunication Infrastructure Index (TII),0.1096,1.548,True,Connectivity Technology
Malawi ,2020,Telecommunication Infrastructure Index (TII),0.1394,1.697,True,Connectivity Technology
Malaysia,2020,Telecommunication Infrastructure Index (TII),0.7634,4.817,True,Connectivity Technology
Maldives,2020,Telecommunication Infrastructure Index (TII),0.5981,3.9905,True,Connectivity Technology
Mali ,2020,Telecommunication Infrastructure Index (TII),0.3546,2.773,True,Connectivity Technology
