Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Nigeria,2020,% of internet users who own cryptocurrency,31.9,6.0,True,Digital Literacy Skills
Vietnam,2020,% of internet users who own cryptocurrency,21.1,4.085106382978724,True,Digital Literacy Skills
Philippines,2020,% of internet users who own cryptocurrency,19.8,3.8546099290780145,True,Digital Literacy Skills
South Africa,2020,% of internet users who own cryptocurrency,17.8,3.5,True,Digital Literacy Skills
Thailand,2020,% of internet users who own cryptocurrency,17.6,3.464539007092199,True,Digital Literacy Skills
Peru,2020,% of internet users who own cryptocurrency,16.1,3.1985815602836887,True,Digital Literacy Skills
Turkey,2020,% of internet users who own cryptocurrency,16.1,3.1985815602836887,True,Digital Literacy Skills
Colombia,2020,% of internet users who own cryptocurrency,15.3,3.0567375886524824,True,Digital Literacy Skills
Argentina,2020,% of internet users who own cryptocurrency,14.4,2.897163120567376,True,Digital Literacy Skills
Indonesia,2020,% of internet users who own cryptocurrency,13.0,2.648936170212766,True,Digital Literacy Skills
Brazil,2020,% of internet users who own cryptocurrency,12.5,2.5602836879432624,True,Digital Literacy Skills
Malaysia,2020,% of internet users who own cryptocurrency,12.3,2.5248226950354615,True,Digital Literacy Skills
Chile,2020,% of internet users who own cryptocurrency,11.7,2.4184397163120566,True,Digital Literacy Skills
Saudi Arabia,2020,% of internet users who own cryptocurrency,11.4,2.3652482269503547,True,Digital Literacy Skills
Switzerland,2020,% of internet users who own cryptocurrency,11.1,2.3120567375886525,True,Digital Literacy Skills
Greece,2020,% of internet users who own cryptocurrency,11.1,2.3120567375886525,True,Digital Literacy Skills
Kenya,2020,% of internet users who own cryptocurrency,10.5,2.205673758865248,True,Digital Literacy Skills
Dominican Republic,2020,% of internet users who own cryptocurrency,10.3,2.170212765957447,True,Digital Literacy Skills
Netherlands,2020,% of internet users who own cryptocurrency,10.0,2.117021276595745,True,Digital Literacy Skills
United Arab Emirates,2020,% of internet users who own cryptocurrency,10.0,2.117021276595745,True,Digital Literacy Skills
Mexico,2020,% of internet users who own cryptocurrency,9.7,2.0638297872340425,True,Digital Literacy Skills
Ireland,2020,% of internet users who own cryptocurrency,9.6,2.046099290780142,True,Digital Literacy Skills
Singapore,2020,% of internet users who own cryptocurrency,9.6,2.046099290780142,True,Digital Literacy Skills
Spain,2020,% of internet users who own cryptocurrency,9.4,2.0106382978723403,True,Digital Literacy Skills
Morocco,2020,% of internet users who own cryptocurrency,9.3,1.9929078014184398,True,Digital Literacy Skills
Czechia,2020,% of internet users who own cryptocurrency,9.2,1.975177304964539,True,Digital Literacy Skills
India,2020,% of internet users who own cryptocurrency,8.8,1.9042553191489362,True,Digital Literacy Skills
Lithuania,2020,% of internet users who own cryptocurrency,8.7,1.8865248226950353,True,Digital Literacy Skills
Egypt,2020,% of internet users who own cryptocurrency,8.3,1.8156028368794328,True,Digital Literacy Skills
Norway,2020,% of internet users who own cryptocurrency,8.1,1.7801418439716312,True,Digital Literacy Skills
Portugal,2020,% of internet users who own cryptocurrency,8.1,1.7801418439716312,True,Digital Literacy Skills
Australia,2020,% of internet users who own cryptocurrency,7.8,1.726950354609929,True,Digital Literacy Skills
South Korea,2020,% of internet users who own cryptocurrency,7.6,1.6914893617021276,True,Digital Literacy Skills
Serbia,2020,% of internet users who own cryptocurrency,7.5,1.673758865248227,True,Digital Literacy Skills
Russia,2020,% of internet users who own cryptocurrency,7.3,1.6382978723404256,True,Digital Literacy Skills
Austria,2020,% of internet users who own cryptocurrency,7.2,1.6205673758865249,True,Digital Literacy Skills
Poland,2020,% of internet users who own cryptocurrency,7.2,1.6205673758865249,True,Digital Literacy Skills
China,2020,% of internet users who own cryptocurrency,6.9,1.5673758865248226,True,Digital Literacy Skills
Hungary,2020,% of internet users who own cryptocurrency,6.4,1.4787234042553192,True,Digital Literacy Skills
Romania,2020,% of internet users who own cryptocurrency,6.4,1.4787234042553192,True,Digital Literacy Skills
Belgium,2020,% of internet users who own cryptocurrency,6.3,1.4609929078014183,True,Digital Literacy Skills
United States,2020,% of internet users who own cryptocurrency,6.2,1.4432624113475176,True,Digital Literacy Skills
France,2020,% of internet users who own cryptocurrency,5.6,1.3368794326241134,True,Digital Literacy Skills
Pakistan,2020,% of internet users who own cryptocurrency,5.6,1.3368794326241134,True,Digital Literacy Skills
Canada,2020,% of internet users who own cryptocurrency,5.2,1.2659574468085106,True,Digital Literacy Skills
Germany,2020,% of internet users who own cryptocurrency,5.2,1.2659574468085106,True,Digital Literacy Skills
"Taiwan, province of China",2020,% of internet users who own cryptocurrency,5.2,1.2659574468085106,True,Digital Literacy Skills
Finland,2020,% of internet users who own cryptocurrency,5.1,1.24822695035461,True,Digital Literacy Skills
New Zealand,2020,% of internet users who own cryptocurrency,5.1,1.24822695035461,True,Digital Literacy Skills
Israel,2020,% of internet users who own cryptocurrency,4.9,1.2127659574468086,True,Digital Literacy Skills
United Kingdom,2020,% of internet users who own cryptocurrency,4.7,1.177304964539007,True,Digital Literacy Skills
Italy,2020,% of internet users who own cryptocurrency,4.7,1.177304964539007,True,Digital Literacy Skills
Denmark,2020,% of internet users who own cryptocurrency,4.4,1.124113475177305,True,Digital Literacy Skills
Sweden,2020,% of internet users who own cryptocurrency,4.3,1.1063829787234043,True,Digital Literacy Skills
Japan,2020,% of internet users who own cryptocurrency,3.7,1.0,True,Digital Literacy Skills
