Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
India,2021,% of population using Facebook,18.01,1.8970910539948198,True,Usage and ownership
United States,2021,% of population using Facebook,72.09,4.590854751942619,True,Usage and ownership
Brazil,2021,% of population using Facebook,64.96,4.235704323570432,True,Usage and ownership
Indonesia,2021,% of population using Facebook,49.56,3.468619246861925,True,Usage and ownership
Mexico,2021,% of population using Facebook,59.88,3.982665869695159,True,Usage and ownership
Philippines,2021,% of population using Facebook,64.62,4.218768679019726,True,Usage and ownership
Vietnam,2021,% of population using Facebook,67.96,4.3851364813707905,True,Usage and ownership
Thailand,2021,% of population using Facebook,65.76,4.275552898983861,True,Usage and ownership
United Kingdom,2021,% of population using Facebook,64.51,4.2132894999003785,True,Usage and ownership
Turkey,2021,% of population using Facebook,51.74,3.5772066148635187,True,Usage and ownership
Egypt,2021,% of population using Facebook,40.67,3.0258019525801956,True,Usage and ownership
Iran,2021,% of population using Facebook,47.04,3.3430962343096233,True,Usage and ownership
Pakistan,2021,% of population using Facebook,16.46,1.8198844391313012,True,Usage and ownership
Bangladesh,2021,% of population using Facebook,20.27,2.0096632795377563,True,Usage and ownership
France,2021,% of population using Facebook,50.44,3.5124526798166964,True,Usage and ownership
Germany,2021,% of population using Facebook,36.95,2.840506076907751,True,Usage and ownership
Argentina,2021,% of population using Facebook,65.78,4.276549113369197,True,Usage and ownership
Italy,2021,% of population using Facebook,49.7,3.4755927475592747,True,Usage and ownership
Colombia,2021,% of population using Facebook,56.57,3.8177923889220966,True,Usage and ownership
Japan,2021,% of population using Facebook,22.21,2.106296074915322,True,Usage and ownership
Nigeria,2021,% of population using Facebook,12.83,1.6390715281928672,True,Usage and ownership
Malaysia,2021,% of population using Facebook,77.86,4.878262602111975,True,Usage and ownership
Saudi Arabia,2021,% of population using Facebook,67.12,4.343295477186691,True,Usage and ownership
Canada,2021,% of population using Facebook,60.42,4.009563658099223,True,Usage and ownership
Spain,2021,% of population using Facebook,49.2,3.450687387925882,True,Usage and ownership
Myanmar,2021,% of population using Facebook,40.51,3.0178322374975095,True,Usage and ownership
South Korea,2021,% of population using Facebook,42.56,3.1199442119944214,True,Usage and ownership
South Africa,2021,% of population using Facebook,35.44,2.765291890814903,True,Usage and ownership
Iraq,2021,% of population using Facebook,51.67,3.573719864514844,True,Usage and ownership
Peru,2021,% of population using Facebook,59.95,3.9861526200438337,True,Usage and ownership
Taiwan,2021,% of population using Facebook,80.44,5.006774257820283,True,Usage and ownership
Algeria,2021,% of population using Facebook,42.58,3.120940426379757,True,Usage and ownership
Morocco,2021,% of population using Facebook,49.08,3.4447101016138673,True,Usage and ownership
Australia,2021,% of population using Facebook,58.17,3.897489539748954,True,Usage and ownership
Poland,2021,% of population using Facebook,37.04,2.844989041641761,True,Usage and ownership
Russia,2021,% of population using Facebook,8.98,1.4473002590157402,True,Usage and ownership
Chile,2021,% of population using Facebook,67.67,4.370691372783424,True,Usage and ownership
Venezuela,2021,% of population using Facebook,45.29,3.2559274755927476,True,Usage and ownership
Nepal,2021,% of population using Facebook,35.11,2.7488543534568644,True,Usage and ownership
Ecuador,2021,% of population using Facebook,55.9,3.7844192070133493,True,Usage and ownership
Netherlands,2021,% of population using Facebook,57.07,3.8426977485554894,True,Usage and ownership
Ukraine,2021,% of population using Facebook,21.86,2.0888623231719468,True,Usage and ownership
Kazakhstan,2021,% of population using Facebook,48.68,3.424785813907153,True,Usage and ownership
Romania,2021,% of population using Facebook,46.53,3.3176927674835626,True,Usage and ownership
United Arab Emirates,2021,% of population using Facebook,87.45,5.3559473998804545,True,Usage and ownership
Cambodia,2021,% of population using Facebook,46.09,3.2957760510061767,True,Usage and ownership
Syria,2021,% of population using Facebook,41.64,3.0741183502689777,True,Usage and ownership
Tunisia,2021,% of population using Facebook,62.37,4.106694560669456,True,Usage and ownership
Kenya,2021,% of population using Facebook,12.73,1.6340904562661884,True,Usage and ownership
Guatemala,2021,% of population using Facebook,37.26,2.855947399880454,True,Usage and ownership
Belgium,2021,% of population using Facebook,55.88,3.783422992628014,True,Usage and ownership
Sri Lanka,2021,% of population using Facebook,29.9,2.489340506076908,True,Usage and ownership
Sweden,2021,% of population using Facebook,62.01,4.088762701733414,True,Usage and ownership
Bolivia,2021,% of population using Facebook,51.55,3.5677425782028296,True,Usage and ownership
Ethiopia,2021,% of population using Facebook,5.1,1.2540346682606098,True,Usage and ownership
Israel,2021,% of population using Facebook,66.86,4.330344690177327,True,Usage and ownership
Portugal,2021,% of population using Facebook,57.04,3.8412034269774855,True,Usage and ownership
Jordan,2021,% of population using Facebook,56.04,3.7913927077106995,True,Usage and ownership
Hong Kong,2021,% of population using Facebook,70.98,4.535564853556486,True,Usage and ownership
Hungary,2021,% of population using Facebook,55.01,3.74008766686591,True,Usage and ownership
Dominican Republic,2021,% of population using Facebook,46.56,3.3191870890615665,True,Usage and ownership
Libya,2021,% of population using Facebook,73.2,4.6461446503287505,True,Usage and ownership
Greece,2021,% of population using Facebook,48.21,3.4013747758517634,True,Usage and ownership
Ghana,2021,% of population using Facebook,15.44,1.7690775054791792,True,Usage and ownership
Ivory Coast,2021,% of population using Facebook,17.59,1.8761705519027694,True,Usage and ownership
Czech Republic,2021,% of population using Facebook,42.89,3.1363817493524606,True,Usage and ownership
Singapore,2021,% of population using Facebook,75.8,4.775652520422395,True,Usage and ownership
Tanzania,2021,% of population using Facebook,6.94,1.3456863917114963,True,Usage and ownership
Kuwait,2021,% of population using Facebook,94.55,5.709603506674637,True,Usage and ownership
Lebanon,2021,% of population using Facebook,58.61,3.91940625622634,True,Usage and ownership
Belarus,2021,% of population using Facebook,40.77,3.0307830245068743,True,Usage and ownership
Afghanistan,2021,% of population using Facebook,9.66,1.4811715481171548,True,Usage and ownership
Denmark,2021,% of population using Facebook,63.65,4.170452281330943,True,Usage and ownership
Switzerland,2021,% of population using Facebook,42.46,3.1149631400677427,True,Usage and ownership
Austria,2021,% of population using Facebook,40.92,3.038254632396892,True,Usage and ownership
Senegal,2021,% of population using Facebook,19.82,1.9872484558677028,True,Usage and ownership
Norway,2021,% of population using Facebook,62.2,4.098226738394103,True,Usage and ownership
El Salvador,2021,% of population using Facebook,52.16,3.5981271169555686,True,Usage and ownership
Serbia,2021,% of population using Facebook,39.09,2.9471010161386735,True,Usage and ownership
Honduras,2021,% of population using Facebook,33.79,2.683104204024706,True,Usage and ownership
Bulgaria,2021,% of population using Facebook,47.85,3.3834429169157203,True,Usage and ownership
Paraguay,2021,% of population using Facebook,45.71,3.276847977684798,True,Usage and ownership
Costa Rica,2021,% of population using Facebook,62.27,4.101713488742778,True,Usage and ownership
Slovakia,2021,% of population using Facebook,58.6,3.918908149033672,True,Usage and ownership
DR Congo,2021,% of population using Facebook,3.37,1.1678621239290696,True,Usage and ownership
New Zealand,2021,% of population using Facebook,63.77,4.176429567642957,True,Usage and ownership
Uzbekistan,2021,% of population using Facebook,9.12,1.4542737597130901,True,Usage and ownership
Laos,2021,% of population using Facebook,41.41,3.062661884837617,True,Usage and ownership
Qatar,2021,% of population using Facebook,100.38,6.0,True,Usage and ownership
Ireland,2021,% of population using Facebook,54.18,3.698744769874477,True,Usage and ownership
Finland,2021,% of population using Facebook,48.67,3.4242877067144852,True,Usage and ownership
Cameroon,2021,% of population using Facebook,9.92,1.4941223351265194,True,Usage and ownership
Palestine,2021,% of population using Facebook,51.25,3.5527993624227934,True,Usage and ownership
Oman,2021,% of population using Facebook,50.46,3.5134488942020323,True,Usage and ownership
Yemen,2021,% of population using Facebook,8.37,1.4169157202630005,True,Usage and ownership
Georgia,2021,% of population using Facebook,63.42,4.158995815899582,True,Usage and ownership
Nicaragua,2021,% of population using Facebook,37.3,2.8579398286511255,True,Usage and ownership
Uganda,2021,% of population using Facebook,5.24,1.2610081689579598,True,Usage and ownership
