Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Cabo Verde,2019.0,% of population using internet (all),61.94339776,4.097169888,True,Digital Literacy Skills
Central African Rep.,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Congo (Rep. of the),2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Côte d'Ivoire,2019.0,% of population using internet (all),36.28895457,2.8144477285000002,True,Digital Literacy Skills
Equatorial Guinea,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Eritrea,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Eswatini,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Kenya,2019.0,% of population using internet (all),22.56511937,2.1282559685000004,True,Digital Literacy Skills
Lesotho,2019.0,% of population using internet (all),42.30173357,3.1150866785000004,True,Digital Literacy Skills
Madagascar,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Mauritius,2019.0,% of population using internet (all),61.72995515,4.0864977575,True,Digital Literacy Skills
Niger,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
South Sudan,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Uganda,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Bahrain,2019.0,% of population using internet (all),99.70149256,5.9850746280000005,True,Digital Literacy Skills
Comoros,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Egypt,2019.0,% of population using internet (all),57.2828664,3.86414332,True,Digital Literacy Skills
Iraq,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Kuwait,2019.0,% of population using internet (all),99.54267645,5.9771338225,True,Digital Literacy Skills
Libya,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Morocco,2019.0,% of population using internet (all),74.37631447,4.718815723500001,True,Digital Literacy Skills
Palestine,2019.0,% of population using internet (all),70.6225837,4.531129185,True,Digital Literacy Skills
Qatar,2019.0,% of population using internet (all),99.65280421,5.9826402105,True,Digital Literacy Skills
Saudi Arabia,2019.0,% of population using internet (all),95.7247356,5.78623678,True,Digital Literacy Skills
Somalia,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Tunisia,2019.0,% of population using internet (all),66.6999983,4.334999915,True,Digital Literacy Skills
United Arab Emirates,2019.0,% of population using internet (all),99.14999998,5.957499999,True,Digital Literacy Skills
Yemen,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Brunei Darussalam,2019.0,% of population using internet (all),95.0,5.75,True,Digital Literacy Skills
Cambodia,2019.0,% of population using internet (all),78.27288351,4.9136441755,True,Digital Literacy Skills
China,2019.0,% of population using internet (all),64.56912253,4.2284561265,True,Digital Literacy Skills
Dem. People's Rep. of Korea,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Fiji,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
"Hong Kong, China",2019.0,% of population using internet (all),91.74340039,5.5871700195,True,Digital Literacy Skills
India,2019.0,% of population using internet (all),41.0,3.05,True,Digital Literacy Skills
Indonesia,2019.0,% of population using internet (all),47.69064898,3.384532449,True,Digital Literacy Skills
Iran (Islamic Republic of),2019.0,% of population using internet (all),77.77083846,4.888541923,True,Digital Literacy Skills
Japan,2019.0,% of population using internet (all),92.73039781,5.6365198905,True,Digital Literacy Skills
Kiribati,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Korea (Rep. of),2019.0,% of population using internet (all),96.15757918,5.807878959,True,Digital Literacy Skills
"Macao, China",2019.0,% of population using internet (all),86.46792571,5.3233962855,True,Digital Literacy Skills
Malaysia,2019.0,% of population using internet (all),84.18714501,5.2093572505,True,Digital Literacy Skills
Marshall Islands,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Micronesia,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Mongolia,2019.0,% of population using internet (all),51.07999408,3.553999704,True,Digital Literacy Skills
Nauru,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Nepal (Republic of),2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Pakistan,2019.0,% of population using internet (all),17.07090203,1.8535451015,True,Digital Literacy Skills
Papua New Guinea,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Philippines,2019.0,% of population using internet (all),46.88,3.344,True,Digital Literacy Skills
Samoa,2019.0,% of population using internet (all),,,True,Digital Literacy Skills
Singapore,2019.0,% of population using internet (all),88.94925269,5.4474626345,True,Digital Literacy Skills
