Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Cabo Verde,2019.0,% of population using internet (female),60.965017,4.0421543483,True,Digital Literacy Skills
Côte d'Ivoire,2019.0,% of population using internet (female),32.92444456,2.642929783544,True,Digital Literacy Skills
Kenya,2019.0,% of population using internet (female),20.12512243,2.004243609257,True,Digital Literacy Skills
Lesotho,2019.0,% of population using internet (female),44.92276804,3.241646125196,True,Digital Literacy Skills
Mauritius,2019.0,% of population using internet (female),60.13064467,4.000519169033,True,Digital Literacy Skills
Bahrain,2019.0,% of population using internet (female),99.31640309,5.955888514191,True,Digital Literacy Skills
Egypt,2019.0,% of population using internet (female),52.98698988,3.6440507950120002,True,Digital Literacy Skills
Kuwait,2019.0,% of population using internet (female),99.57995943,5.969039975557,True,Digital Literacy Skills
Morocco,2019.0,% of population using internet (female),70.16712968,4.501339771032001,True,Digital Literacy Skills
Oman,2019.0,% of population using internet (female),97.15346632,5.847957969368,True,Digital Literacy Skills
Palestine,2019.0,% of population using internet (female),68.93449038,4.4398310699620005,True,Digital Literacy Skills
Qatar,2019.0,% of population using internet (female),99.3194985,5.95604297515,True,Digital Literacy Skills
Saudi Arabia,2019.0,% of population using internet (female),94.56689044,5.718887832956,True,Digital Literacy Skills
Tunisia,2019.0,% of population using internet (female),61.11255938,4.049516713062,True,Digital Literacy Skills
United Arab Emirates,2019.0,% of population using internet (female),99.50150764,5.965125231236001,True,Digital Literacy Skills
Brunei Darussalam,2019.0,% of population using internet (female),99.75022604,5.977536279396,True,Digital Literacy Skills
Cambodia,2019.0,% of population using internet (female),77.78378557,4.881410899943001,True,Digital Literacy Skills
China,2019.0,% of population using internet (female),63.52405152,4.169850170848,True,Digital Literacy Skills
"Hong Kong, China",2019.0,% of population using internet (female),90.47216801,5.5145611836990005,True,Digital Literacy Skills
Indonesia,2019.0,% of population using internet (female),44.86402159,3.238714677341,True,Digital Literacy Skills
Iran (Islamic Republic of),2019.0,% of population using internet (female),71.61635451,4.573656090048999,True,Digital Literacy Skills
Japan,2019.0,% of population using internet (female),90.9524801,5.538528756990001,True,Digital Literacy Skills
Korea (Rep. of),2019.0,% of population using internet (female),95.31349602,5.7561434513980005,True,Digital Literacy Skills
"Macao, China",2019.0,% of population using internet (female),85.75598365,5.279223584135,True,Digital Literacy Skills
Malaysia,2019.0,% of population using internet (female),82.36896816,5.110211511184,True,Digital Literacy Skills
Mongolia,2019.0,% of population using internet (female),55.04734908,3.746862719092,True,Digital Literacy Skills
Pakistan,2019.0,% of population using internet (female),12.92844227,1.645129269273,True,Digital Literacy Skills
Singapore,2019.0,% of population using internet (female),87.80582903,5.381510868597,True,Digital Literacy Skills
Thailand,2019.0,% of population using internet (female),65.57296567,4.272090986933,True,Digital Literacy Skills
Viet Nam,2019.0,% of population using internet (female),65.50475236,4.268687142764,True,Digital Literacy Skills
Armenia,2019.0,% of population using internet (female),67.22694118,4.3546243648819996,True,Digital Literacy Skills
Azerbaijan,2019.0,% of population using internet (female),78.03007612,4.893700798388,True,Digital Literacy Skills
Belarus,2019.0,% of population using internet (female),83.03013958,5.143203965042,True,Digital Literacy Skills
Kazakhstan,2019.0,% of population using internet (female),80.99023385,5.041412669115,True,Digital Literacy Skills
Russian Federation,2019.0,% of population using internet (female),81.98767073,5.0911847694270005,True,Digital Literacy Skills
Uzbekistan,2019.0,% of population using internet (female),65.91775518,4.289295983482,True,Digital Literacy Skills
Albania,2019.0,% of population using internet (female),65.96156004,4.291481845996,True,Digital Literacy Skills
Austria,2019.0,% of population using internet (female),85.26650739,5.254798718761,True,Digital Literacy Skills
Belgium,2019.0,% of population using internet (female),89.2103486,5.45159639514,True,Digital Literacy Skills
Bosnia and Herzegovina,2019.0,% of population using internet (female),67.45225822,4.365867685178,True,Digital Literacy Skills
Bulgaria,2019.0,% of population using internet (female),66.69928025,4.328294084475001,True,Digital Literacy Skills
Croatia,2019.0,% of population using internet (female),76.1521023,4.799989904769999,True,Digital Literacy Skills
Cyprus,2019.0,% of population using internet (female),85.84730878,5.283780708122,True,Digital Literacy Skills
Czech Republic,2019.0,% of population using internet (female),78.33164069,4.908748870431,True,Digital Literacy Skills
Denmark,2019.0,% of population using internet (female),98.05809938,5.893099159062,True,Digital Literacy Skills
Estonia,2019.0,% of population using internet (female),89.48928179,5.465515161321001,True,Digital Literacy Skills
Finland,2019.0,% of population using internet (female),88.88643491,5.435433102009001,True,Digital Literacy Skills
France,2019.0,% of population using internet (female),82.16576693,5.100071769807,True,Digital Literacy Skills
Georgia,2019.0,% of population using internet (female),67.7768481,4.38206472019,True,Digital Literacy Skills
Germany,2019.0,% of population using internet (female),85.2831396,5.25562866604,True,Digital Literacy Skills
Greece,2019.0,% of population using internet (female),73.99621178,4.692410967821999,True,Digital Literacy Skills
Hungary,2019.0,% of population using internet (female),79.65167855,4.974618759645,True,Digital Literacy Skills
Ireland,2019.0,% of population using internet (female),87.98193266,5.390298439734,True,Digital Literacy Skills
Israel,2019.0,% of population using internet (female),86.06911373,5.294848775127,True,Digital Literacy Skills
Latvia,2019.0,% of population using internet (female),85.01046862,5.242022384138,True,Digital Literacy Skills
Lithuania,2019.0,% of population using internet (female),82.34446641,5.1089888738589995,True,Digital Literacy Skills
Luxembourg,2019.0,% of population using internet (female),96.88050643,5.8343372708570005,True,Digital Literacy Skills
Malta,2019.0,% of population using internet (female),85.81534372,5.282185651628001,True,Digital Literacy Skills
Montenegro,2019.0,% of population using internet (female),71.08089856,4.546936838144,True,Digital Literacy Skills
Netherlands,2019.0,% of population using internet (female),92.0,5.590800000000001,True,Digital Literacy Skills
North Macedonia,2019.0,% of population using internet (female),80.76745136,5.030295822864,True,Digital Literacy Skills
Norway,2019.0,% of population using internet (female),97.00000891,5.840300444609,True,Digital Literacy Skills
Poland,2019.0,% of population using internet (female),79.96973525,4.990489788975,True,Digital Literacy Skills
Portugal,2019.0,% of population using internet (female),74.05943938,4.695566025062,True,Digital Literacy Skills
Romania,2019.0,% of population using internet (female),72.04119809,4.594855784691,True,Digital Literacy Skills
Serbia,2019.0,% of population using internet (female),73.73677398,4.679465021602001,True,Digital Literacy Skills
Slovakia,2019.0,% of population using internet (female),82.31635059,5.107585894441001,True,Digital Literacy Skills
Slovenia,2019.0,% of population using internet (female),81.96276645,5.089942045855,True,Digital Literacy Skills
Spain,2019.0,% of population using internet (female),90.74373116,5.528112184884,True,Digital Literacy Skills
Sweden,2019.0,% of population using internet (female),94.07715545,5.6944500569550005,True,Digital Literacy Skills
Switzerland,2019.0,% of population using internet (female),91.25823773,5.553786062727,True,Digital Literacy Skills
Turkey,2019.0,% of population using internet (female),67.59839643,4.373159981857,True,Digital Literacy Skills
Ukraine,2019.0,% of population using internet (female),68.17509986,4.401937483014001,True,Digital Literacy Skills
United Kingdom,2019.0,% of population using internet (female),91.401132,5.5609164868,True,Digital Literacy Skills
Bolivia (Plurinational State of),2019.0,% of population using internet (female),44.43076351,3.217095099149,True,Digital Literacy Skills
Brazil,2019.0,% of population using internet (female),73.47293867,4.666299639633,True,Digital Literacy Skills
Colombia,2019.0,% of population using internet (female),65.89683719,4.288252175781,True,Digital Literacy Skills
Costa Rica,2019.0,% of population using internet (female),81.97330054,5.090467696946,True,Digital Literacy Skills
Cuba,2019.0,% of population using internet (female),75.11275379,4.748126414121,True,Digital Literacy Skills
El Salvador,2019.0,% of population using internet (female),48.87095779,3.438660793721,True,Digital Literacy Skills
Guatemala,2019.0,% of population using internet (female),41.84880108,3.088255173892,True,Digital Literacy Skills
Mexico,2019.0,% of population using internet (female),68.5746531,4.421875189690001,True,Digital Literacy Skills
Panama,2019.0,% of population using internet (female),63.81149369,4.184193535131,True,Digital Literacy Skills
Paraguay,2019.0,% of population using internet (female),69.01722958,4.443959756042,True,Digital Literacy Skills
Peru,2019.0,% of population using internet (female),56.99214438,3.843908004562,True,Digital Literacy Skills
Uruguay,2019.0,% of population using internet (female),83.83570588,5.1834017234120005,True,Digital Literacy Skills
