Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Cabo Verde,2019.0,% of population using internet (male),62.92116582,4.139766174418,True,Digital Literacy Skills
Côte d'Ivoire,2019.0,% of population using internet (male),39.8088708,2.9864626529200002,True,Digital Literacy Skills
Kenya,2019.0,% of population using internet (male),25.07166819,2.251076242681,True,Digital Literacy Skills
Lesotho,2019.0,% of population using internet (male),38.34998472,2.913664237528,True,Digital Literacy Skills
Mauritius,2019.0,% of population using internet (male),63.39309304,4.163315342696,True,Digital Literacy Skills
Bahrain,2019.0,% of population using internet (male),99.91031436,5.985524686564,True,Digital Literacy Skills
Egypt,2019.0,% of population using internet (male),61.54134657,4.070913193843,True,Digital Literacy Skills
Kuwait,2019.0,% of population using internet (male),99.52150649,5.966123173851,True,Digital Literacy Skills
Morocco,2019.0,% of population using internet (male),78.63683328,4.923977980672,True,Digital Literacy Skills
Oman,2019.0,% of population using internet (male),94.40484852,5.710801941148,True,Digital Literacy Skills
Palestine,2019.0,% of population using internet (male),72.26256321,4.6059019041789995,True,Digital Literacy Skills
Qatar,2019.0,% of population using internet (male),99.99971232,5.989985644768001,True,Digital Literacy Skills
Saudi Arabia,2019.0,% of population using internet (male),96.53120657,5.816907207842999,True,Digital Literacy Skills
Tunisia,2019.0,% of population using internet (male),72.46203289,4.615855441211,True,Digital Literacy Skills
United Arab Emirates,2019.0,% of population using internet (male),99.03001421,5.941597709079001,True,Digital Literacy Skills
Brunei Darussalam,2019.0,% of population using internet (male),91.83318264,5.582475813736,True,Digital Literacy Skills
Cambodia,2019.0,% of population using internet (male),78.78837064,4.931539694936,True,Digital Literacy Skills
China,2019.0,% of population using internet (male),65.56964503,4.271925286997,True,Digital Literacy Skills
"Hong Kong, China",2019.0,% of population using internet (male),93.15081776,5.648225806224,True,Digital Literacy Skills
Indonesia,2019.0,% of population using internet (male),50.49711344,3.519805960656,True,Digital Literacy Skills
Iran (Islamic Republic of),2019.0,% of population using internet (male),83.78693025,5.180967819475,True,Digital Literacy Skills
Japan,2019.0,% of population using internet (male),94.64445824,5.722758466176001,True,Digital Literacy Skills
Korea (Rep. of),2019.0,% of population using internet (male),96.97363291,5.838984282209,True,Digital Literacy Skills
"Macao, China",2019.0,% of population using internet (male),87.28614559,5.355578664941,True,Digital Literacy Skills
Malaysia,2019.0,% of population using internet (male),85.85378926,5.284104084074,True,Digital Literacy Skills
Mongolia,2019.0,% of population using internet (male),46.86097056,3.338362430944,True,Digital Literacy Skills
Pakistan,2019.0,% of population using internet (male),21.34217835,2.064974699665,True,Digital Literacy Skills
Singapore,2019.0,% of population using internet (male),90.15701416,5.498835006584,True,Digital Literacy Skills
