Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Japan,2018,Automation-led unemployment,55.71,6.0,True,Digital Wellbeing
Thailand,2018,Automation-led unemployment,54.69,5.656796769851951,True,Digital Wellbeing
Senegal,2018,Automation-led unemployment,54.0,5.424629878869449,True,Digital Wellbeing
Colombia,2018,Automation-led unemployment,53.14,5.135262449528937,True,Digital Wellbeing
Peru,2018,Automation-led unemployment,53.08,5.11507402422611,True,Digital Wellbeing
Taiwan,2018,Automation-led unemployment,53.06,5.108344549125169,True,Digital Wellbeing
Kenya,2018,Automation-led unemployment,52.11,4.788694481830417,True,Digital Wellbeing
South Korea,2018,Automation-led unemployment,52.08,4.7786002691790035,True,Digital Wellbeing
Sweden,2018,Automation-led unemployment,52.0,4.751682368775235,True,Digital Wellbeing
Costa Rica,2018,Automation-led unemployment,52.0,4.751682368775235,True,Digital Wellbeing
Qatar,2018,Automation-led unemployment,52.0,4.751682368775235,True,Digital Wellbeing
Indonesia,2018,Automation-led unemployment,51.82,4.691117092866756,True,Digital Wellbeing
India,2018,Automation-led unemployment,51.76,4.670928667563929,True,Digital Wellbeing
Mexico,2018,Automation-led unemployment,51.72,4.657469717362045,True,Digital Wellbeing
Malaysia,2018,Automation-led unemployment,51.64,4.6305518169582776,True,Digital Wellbeing
China,2018,Automation-led unemployment,51.17,4.472409152086137,True,Digital Wellbeing
Ghana,2018,Automation-led unemployment,50.79,4.344549125168236,True,Digital Wellbeing
Tanzania,2018,Automation-led unemployment,50.5,4.246971736204576,True,Digital Wellbeing
Morroco,2018,Automation-led unemployment,50.45,4.230148048452222,True,Digital Wellbeing
Italy,2018,Automation-led unemployment,50.43,4.223418573351278,True,Digital Wellbeing
Mozambique,2018,Automation-led unemployment,50.41,4.216689098250335,True,Digital Wellbeing
Russia,2018,Automation-led unemployment,50.28,4.172947510094213,True,Digital Wellbeing
Turkey,2018,Automation-led unemployment,50.21,4.149394347240915,True,Digital Wellbeing
Brazil,2018,Automation-led unemployment,50.05,4.095558546433377,True,Digital Wellbeing
Ethiopia,2018,Automation-led unemployment,49.89,4.041722745625841,True,Digital Wellbeing
Poland,2018,Automation-led unemployment,49.67,3.967698519515478,True,Digital Wellbeing
Barbados,2018,Automation-led unemployment,49.0,3.742261103633916,True,Digital Wellbeing
Egypt,2018,Automation-led unemployment,48.64,3.6211305518169583,True,Digital Wellbeing
Spain,2018,Automation-led unemployment,48.6,3.607671601615074,True,Digital Wellbeing
Argentina,2018,Automation-led unemployment,48.55,3.590847913862717,True,Digital Wellbeing
Chile,2018,Automation-led unemployment,48.48,3.56729475100942,True,Digital Wellbeing
Germany,2018,Automation-led unemployment,48.01,3.40915208613728,True,Digital Wellbeing
Greece,2018,Automation-led unemployment,48.0,3.4057873485868098,True,Digital Wellbeing
Philippines,2018,Automation-led unemployment,47.89,3.3687752355316283,True,Digital Wellbeing
Austria,2018,Automation-led unemployment,47.0,3.0693135935397033,True,Digital Wellbeing
Switzerland,2018,Automation-led unemployment,47.0,3.0693135935397033,True,Digital Wellbeing
UAE,2018,Automation-led unemployment,47.0,3.0693135935397033,True,Digital Wellbeing
Oman,2018,Automation-led unemployment,47.0,3.0693135935397033,True,Digital Wellbeing
Canada,2018,Automation-led unemployment,46.75,2.985195154777927,True,Digital Wellbeing
Saudi Arabia,2018,Automation-led unemployment,46.51,2.904441453566621,True,Digital Wellbeing
Czech Republic,2018,Automation-led unemployment,46.0,2.7328398384925974,True,Digital Wellbeing
Bahrain,2018,Automation-led unemployment,46.0,2.7328398384925974,True,Digital Wellbeing
Bermuda,2018,Automation-led unemployment,46.0,2.7328398384925974,True,Digital Wellbeing
United States,2018,Automation-led unemployment,45.8,2.665545087483175,True,Digital Wellbeing
Nigeria,2018,Automation-led unemployment,45.71,2.6352624495289367,True,Digital Wellbeing
Netherlands,2018,Automation-led unemployment,44.83,2.339165545087482,True,Digital Wellbeing
Australia,2018,Automation-led unemployment,44.74,2.3088829071332437,True,Digital Wellbeing
Ivory Coast,2018,Automation-led unemployment,44.58,2.255047106325706,True,Digital Wellbeing
Singapore,2018,Automation-led unemployment,44.0,2.0598923283983845,True,Digital Wellbeing
United Kingdom,2018,Automation-led unemployment,42.96,1.7099596231493943,True,Digital Wellbeing
France,2018,Automation-led unemployment,42.92,1.69650067294751,True,Digital Wellbeing
Norway,2018,Automation-led unemployment,42.0,1.3869448183041717,True,Digital Wellbeing
Kuwait,2018,Automation-led unemployment,41.0,1.0504710632570655,True,Digital Wellbeing
South Africa,2018,Automation-led unemployment,40.85,1.0,True,Digital Wellbeing
