Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Vietnam,2019,Crypto Adoption Index,1.0,6.0,True,Usage and ownership
India,2019,Crypto Adoption Index,0.37,2.85,True,Usage and ownership
Pakistan,2019,Crypto Adoption Index,0.36,2.8,True,Usage and ownership
Ukraine,2019,Crypto Adoption Index,0.29,2.45,True,Usage and ownership
Kenya,2019,Crypto Adoption Index,0.28,2.4000000000000004,True,Usage and ownership
Nigeria,2019,Crypto Adoption Index,0.26,2.3,True,Usage and ownership
Venezuela,2019,Crypto Adoption Index,0.25,2.25,True,Usage and ownership
United States,2019,Crypto Adoption Index,0.22,2.1,True,Usage and ownership
Togo,2019,Crypto Adoption Index,0.19,1.95,True,Usage and ownership
Argentina,2019,Crypto Adoption Index,0.19,1.95,True,Usage and ownership
Colombia,2019,Crypto Adoption Index,0.19,1.95,True,Usage and ownership
Thailand,2019,Crypto Adoption Index,0.17,1.85,True,Usage and ownership
China,2019,Crypto Adoption Index,0.16,1.8,True,Usage and ownership
Brazil,2019,Crypto Adoption Index,0.16,1.8,True,Usage and ownership
Philippines,2019,Crypto Adoption Index,0.16,1.8,True,Usage and ownership
South Africa,2019,Crypto Adoption Index,0.14,1.7000000000000002,True,Usage and ownership
Ghana,2019,Crypto Adoption Index,0.14,1.7000000000000002,True,Usage and ownership
Russian Federation,2019,Crypto Adoption Index,0.14,1.7000000000000002,True,Usage and ownership
Tanzania,2019,Crypto Adoption Index,0.13,1.65,True,Usage and ownership
Afghanistan,2019,Crypto Adoption Index,0.13,1.65,True,Usage and ownership
United Kingdom,2019,Crypto Adoption Index,0.13,1.65,True,Usage and ownership
Peru,2019,Crypto Adoption Index,0.11,1.55,True,Usage and ownership
Malaysia,2019,Crypto Adoption Index,0.1,1.5,True,Usage and ownership
Morocco,2019,Crypto Adoption Index,0.1,1.5,True,Usage and ownership
Indonesia,2019,Crypto Adoption Index,0.1,1.5,True,Usage and ownership
Turkey,2019,Crypto Adoption Index,0.1,1.5,True,Usage and ownership
Cameroon,2019,Crypto Adoption Index,0.09,1.45,True,Usage and ownership
Bulgaria,2019,Crypto Adoption Index,0.09,1.45,True,Usage and ownership
Bangladesh,2019,Crypto Adoption Index,0.09,1.45,True,Usage and ownership
Nepal,2019,Crypto Adoption Index,0.09,1.45,True,Usage and ownership
Canada,2019,Crypto Adoption Index,0.09,1.45,True,Usage and ownership
"Congo, The Democratic Republic of the",2019,Crypto Adoption Index,0.08,1.4,True,Usage and ownership
Belarus,2019,Crypto Adoption Index,0.08,1.4,True,Usage and ownership
France,2019,Crypto Adoption Index,0.08,1.4,True,Usage and ownership
Ecuador,2019,Crypto Adoption Index,0.07,1.35,True,Usage and ownership
Benin,2019,Crypto Adoption Index,0.07,1.35,True,Usage and ownership
Mozambique,2019,Crypto Adoption Index,0.07,1.35,True,Usage and ownership
Australia,2019,Crypto Adoption Index,0.07,1.35,True,Usage and ownership
Hong Kong,2019,Crypto Adoption Index,0.07,1.35,True,Usage and ownership
"Korea, Republic of",2019,Crypto Adoption Index,0.07,1.35,True,Usage and ownership
Poland,2019,Crypto Adoption Index,0.07,1.35,True,Usage and ownership
Cambodia,2019,Crypto Adoption Index,0.07,1.35,True,Usage and ownership
Zambia,2019,Crypto Adoption Index,0.06,1.3,True,Usage and ownership
Mexico,2019,Crypto Adoption Index,0.06,1.3,True,Usage and ownership
Algeria,2019,Crypto Adoption Index,0.06,1.3,True,Usage and ownership
Netherlands,2019,Crypto Adoption Index,0.06,1.3,True,Usage and ownership
Chile,2019,Crypto Adoption Index,0.06,1.3,True,Usage and ownership
Spain,2019,Crypto Adoption Index,0.06,1.3,True,Usage and ownership
Germany,2019,Crypto Adoption Index,0.06,1.3,True,Usage and ownership
"Moldova, Republic of",2019,Crypto Adoption Index,0.06,1.3,True,Usage and ownership
Dominican Republic,2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
"Bolivia, Plurinational State of",2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
Sri Lanka,2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
Côte d'Ivoire,2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
"Iran, Islamic Republic of",2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
Georgia,2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
Portugal,2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
Honduras,2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
Egypt,2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
Czechia,2019,Crypto Adoption Index,0.05,1.25,True,Usage and ownership
Zimbabwe,2019,Crypto Adoption Index,0.04,1.2,True,Usage and ownership
Serbia,2019,Crypto Adoption Index,0.04,1.2,True,Usage and ownership
Tunisia,2019,Crypto Adoption Index,0.04,1.2,True,Usage and ownership
Romania,2019,Crypto Adoption Index,0.04,1.2,True,Usage and ownership
Uganda,2019,Crypto Adoption Index,0.04,1.2,True,Usage and ownership
Madagascar,2019,Crypto Adoption Index,0.04,1.2,True,Usage and ownership
Slovakia,2019,Crypto Adoption Index,0.04,1.2,True,Usage and ownership
Lebanon,2019,Crypto Adoption Index,0.04,1.2,True,Usage and ownership
