,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better
0,India,2018,Cyberbullying,37,1.0,True
1,Brazil,2018,Cyberbullying,29,2.1111111111111107,True
2,United States,2018,Cyberbullying,26,2.5277777777777777,True
3,Belgium,2018,Cyberbullying,25,2.666666666666666,True
4,South Africa,2018,Cyberbullying,26,2.5277777777777777,True
5,Malaysia,2018,Cyberbullying,23,2.9444444444444446,True
6,Sweden,2018,Cyberbullying,23,2.9444444444444446,True
7,Canada,2018,Cyberbullying,20,3.361111111111111,True
8,Turkey,2018,Cyberbullying,20,3.361111111111111,True
9,Saudi Arabia,2018,Cyberbullying,19,3.5,True
10,Australia,2018,Cyberbullying,19,3.5,True
11,Mexico,2018,Cyberbullying,18,3.638888888888889,True
12,Great Britain,2018,Cyberbullying,18,3.638888888888889,True
13,China,2018,Cyberbullying,17,3.7777777777777777,True
14,Serbia,2018,Cyberbullying,16,3.9166666666666665,True
15,Germany,2018,Cyberbullying,14,4.194444444444445,True
16,Argentina,2018,Cyberbullying,14,4.194444444444445,True
17,Peru,2018,Cyberbullying,14,4.194444444444445,True
18,South Korea,2018,Cyberbullying,13,4.333333333333333,True
19,Italy,2018,Cyberbullying,12,4.472222222222222,True
20,Poland,2018,Cyberbullying,12,4.472222222222222,True
21,Romania,2018,Cyberbullying,11,4.611111111111111,True
22,Hungary,2018,Cyberbullying,10,4.75,True
23,Spain,2018,Cyberbullying,9,4.888888888888889,True
24,France,2018,Cyberbullying,9,4.888888888888889,True
25,Chile,2018,Cyberbullying,8,5.027777777777778,True
26,Japan,2018,Cyberbullying,5,5.444444444444445,True
27,Russia,2018,Cyberbullying,1,6.0,True
