Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Denmark,2017,E-commerce activity (% of individuals buying online and frequency),100.0,5.99,True,Usage and ownership
Netherlands,2017,E-commerce activity (% of individuals buying online and frequency),97.11,5.845789,True,Usage and ownership
Norway,2017,E-commerce activity (% of individuals buying online and frequency),96.99,5.839801,True,Usage and ownership
United Kingdom,2017,E-commerce activity (% of individuals buying online and frequency),95.86,5.7834140000000005,True,Usage and ownership
"Korea, Rep.",2017,E-commerce activity (% of individuals buying online and frequency),92.94,5.637706,True,Usage and ownership
Sweden,2017,E-commerce activity (% of individuals buying online and frequency),91.9,5.58581,True,Usage and ownership
United States,2017,E-commerce activity (% of individuals buying online and frequency),90.33,5.507467,True,Usage and ownership
New Zealand,2017,E-commerce activity (% of individuals buying online and frequency),88.63,5.422637,True,Usage and ownership
Canada,2017,E-commerce activity (% of individuals buying online and frequency),87.95,5.388705000000001,True,Usage and ownership
Australia,2017,E-commerce activity (% of individuals buying online and frequency),86.81,5.331819,True,Usage and ownership
Germany,2017,E-commerce activity (% of individuals buying online and frequency),85.73,5.277927,True,Usage and ownership
Finland,2017,E-commerce activity (% of individuals buying online and frequency),77.92,4.8882080000000006,True,Usage and ownership
Ireland,2017,E-commerce activity (% of individuals buying online and frequency),76.29,4.806871000000001,True,Usage and ownership
Belgium,2017,E-commerce activity (% of individuals buying online and frequency),73.44,4.664656,True,Usage and ownership
Switzerland,2017,E-commerce activity (% of individuals buying online and frequency),71.84,4.584816,True,Usage and ownership
France,2017,E-commerce activity (% of individuals buying online and frequency),71.18,4.551882000000001,True,Usage and ownership
Italy,2017,E-commerce activity (% of individuals buying online and frequency),70.45,4.515455,True,Usage and ownership
Spain,2017,E-commerce activity (% of individuals buying online and frequency),69.47,4.466553,True,Usage and ownership
Czech Republic,2017,E-commerce activity (% of individuals buying online and frequency),69.31,4.458569000000001,True,Usage and ownership
Luxembourg,2017,E-commerce activity (% of individuals buying online and frequency),65.55,4.270944999999999,True,Usage and ownership
United Arab Emirates,2017,E-commerce activity (% of individuals buying online and frequency),63.63,4.175137,True,Usage and ownership
Singapore,2017,E-commerce activity (% of individuals buying online and frequency),61.58,4.072842,True,Usage and ownership
Poland,2017,E-commerce activity (% of individuals buying online and frequency),61.28,4.057872000000001,True,Usage and ownership
Estonia,2017,E-commerce activity (% of individuals buying online and frequency),59.87,3.9875130000000003,True,Usage and ownership
