Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Aruba,2021,"E-waste generated, kilograms per inhabitant",,,True,Digital Wellbeing
Afghanistan,2021,"E-waste generated, kilograms per inhabitant",0.5771001134809663,1.0408832718036145,True,Digital Wellbeing
Angola,2021,"E-waste generated, kilograms per inhabitant",3.665900944965662,1.26100618164569,True,Digital Wellbeing
Albania,2021,"E-waste generated, kilograms per inhabitant",7.007239529519923,1.4991261551002908,True,Digital Wellbeing
Andorra,2021,"E-waste generated, kilograms per inhabitant",,,True,Digital Wellbeing
United Arab Emirates,2021,"E-waste generated, kilograms per inhabitant",13.71471288811486,1.977133198588563,True,Digital Wellbeing
Argentina,2021,"E-waste generated, kilograms per inhabitant",6.786638237701992,1.4834050384213167,True,Digital Wellbeing
Armenia,2021,"E-waste generated, kilograms per inhabitant",4.817254027568457,1.3430571796300272,True,Digital Wellbeing
American Samoa,2021,"E-waste generated, kilograms per inhabitant",,,True,Digital Wellbeing
Antigua and Barbuda,2021,"E-waste generated, kilograms per inhabitant",11.366337042892424,1.809776559991463,True,Digital Wellbeing
Australia,2021,"E-waste generated, kilograms per inhabitant",24.12845620168161,2.719266992766845,True,Digital Wellbeing
Austria,2021,"E-waste generated, kilograms per inhabitant",18.71947119470879,2.333796519277394,True,Digital Wellbeing
Azerbaijan,2021,"E-waste generated, kilograms per inhabitant",6.528943271877323,1.4650404468455902,True,Digital Wellbeing
Burundi,2021,"E-waste generated, kilograms per inhabitant",0.7416671104308211,1.052611113192197,True,Digital Wellbeing
Belgium,2021,"E-waste generated, kilograms per inhabitant",52.55765493982744,4.745269409928627,True,Digital Wellbeing
Benin,2021,"E-waste generated, kilograms per inhabitant",1.4850329505268516,1.105586963927281,True,Digital Wellbeing
Burkina Faso,2021,"E-waste generated, kilograms per inhabitant",0.6073782990580556,1.0430410419796745,True,Digital Wellbeing
Bangladesh,2021,"E-waste generated, kilograms per inhabitant",0.9118518236163149,1.0647393002527472,True,Digital Wellbeing
Bulgaria,2021,"E-waste generated, kilograms per inhabitant",7.656187433603552,1.5453733263412224,True,Digital Wellbeing
Bahrain,2021,"E-waste generated, kilograms per inhabitant",14.033403710852943,1.999844650400544,True,Digital Wellbeing
"Bahamas, The",2021,"E-waste generated, kilograms per inhabitant",12.666801089861906,1.9024539276112864,True,Digital Wellbeing
Bosnia and Herzegovina,2021,"E-waste generated, kilograms per inhabitant",0.39847724564835413,1.0281537409672894,True,Digital Wellbeing
Belarus,2021,"E-waste generated, kilograms per inhabitant",7.587240621749078,1.540459842540311,True,Digital Wellbeing
Belize,2021,"E-waste generated, kilograms per inhabitant",6.401549731691568,1.4559617660595283,True,Digital Wellbeing
Bermuda,2021,"E-waste generated, kilograms per inhabitant",,,True,Digital Wellbeing
Bolivia,2021,"E-waste generated, kilograms per inhabitant",3.3000441503985423,1.2349334542024968,True,Digital Wellbeing
Brazil,2021,"E-waste generated, kilograms per inhabitant",6.771868410630062,1.482352468997028,True,Digital Wellbeing
Barbados,2021,"E-waste generated, kilograms per inhabitant",13.5423608611516,1.9648505582494329,True,Digital Wellbeing
Brunei Darussalam,2021,"E-waste generated, kilograms per inhabitant",18.19487896861029,2.2964115360462705,True,Digital Wellbeing
Bhutan,2021,"E-waste generated, kilograms per inhabitant",2.1216726495651845,1.1509569928539893,True,Digital Wellbeing
Botswana,2021,"E-waste generated, kilograms per inhabitant",7.940974734796259,1.5656686489744005,True,Digital Wellbeing
Central African Republic,2021,"E-waste generated, kilograms per inhabitant",0.5979547290689269,1.042369472733136,True,Digital Wellbeing
Canada,2021,"E-waste generated, kilograms per inhabitant",20.368796758908058,2.451335448549812,True,Digital Wellbeing
Switzerland,2021,"E-waste generated, kilograms per inhabitant",21.458146352021824,2.5289677775194406,True,Digital Wellbeing
Channel Islands,2021,"E-waste generated, kilograms per inhabitant",,,True,Digital Wellbeing
Chile,2021,"E-waste generated, kilograms per inhabitant",10.457863071158272,1.7450343039885772,True,Digital Wellbeing
China,2021,"E-waste generated, kilograms per inhabitant",5.150530161618908,1.3668080513794498,True,Digital Wellbeing
Côte d’Ivoire,2021,"E-waste generated, kilograms per inhabitant",1.078360961921506,1.0766055480423198,True,Digital Wellbeing
Cameroon,2021,"E-waste generated, kilograms per inhabitant",0.877366511455913,1.0622817098564408,True,Digital Wellbeing
"Congo, Dem. Rep.",2021,"E-waste generated, kilograms per inhabitant",,,True,Digital Wellbeing
"Congo, Rep.",2021,"E-waste generated, kilograms per inhabitant",,,True,Digital Wellbeing
Colombia,2021,"E-waste generated, kilograms per inhabitant",5.434566185431018,1.387049834347192,True,Digital Wellbeing
