Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2017,Financial Inclusiveness,15.0,1.75,True,Usage and ownership
Albania,2017,Financial Inclusiveness,40.0,3.0,True,Usage and ownership
Arab world,2017,Financial Inclusiveness,37.0,2.85,True,Usage and ownership
United Arab Emirates,2017,Financial Inclusiveness,88.0,5.4,True,Usage and ownership
Argentina,2017,Financial Inclusiveness,49.0,3.45,True,Usage and ownership
Armenia,2017,Financial Inclusiveness,48.0,3.4,True,Usage and ownership
Australia,2017,Financial Inclusiveness,100.0,6.0,True,Usage and ownership
Austria,2017,Financial Inclusiveness,98.0,5.9,True,Usage and ownership
Azerbaijan,2017,Financial Inclusiveness,29.0,2.45,True,Usage and ownership
Belgium,2017,Financial Inclusiveness,99.0,5.95,True,Usage and ownership
Benin,2017,Financial Inclusiveness,38.0,2.9,True,Usage and ownership
Burkina Faso,2017,Financial Inclusiveness,43.0,3.15,True,Usage and ownership
Bangladesh,2017,Financial Inclusiveness,50.0,3.5,True,Usage and ownership
Bulgaria,2017,Financial Inclusiveness,72.0,4.6,True,Usage and ownership
Bahrain,2017,Financial Inclusiveness,83.0,5.15,True,Usage and ownership
Bosnia and Herzegovina,2017,Financial Inclusiveness,59.0,3.95,True,Usage and ownership
Belarus,2017,Financial Inclusiveness,81.0,5.05,True,Usage and ownership
Bolivia,2017,Financial Inclusiveness,54.0,3.7,True,Usage and ownership
Brazil,2017,Financial Inclusiveness,70.0,4.5,True,Usage and ownership
Botswana,2017,Financial Inclusiveness,51.0,3.55,True,Usage and ownership
Central African Republic,2017,Financial Inclusiveness,14.0,1.7,True,Usage and ownership
Canada,2017,Financial Inclusiveness,100.0,6.0,True,Usage and ownership
Switzerland,2017,Financial Inclusiveness,98.0,5.9,True,Usage and ownership
Chile,2017,Financial Inclusiveness,74.0,4.7,True,Usage and ownership
China,2017,Financial Inclusiveness,80.0,5.0,True,Usage and ownership
Cote d'Ivoire,2017,Financial Inclusiveness,41.0,3.05,True,Usage and ownership
Cameroon,2017,Financial Inclusiveness,35.0,2.75,True,Usage and ownership
"Congo, Dem. Rep.",2017,Financial Inclusiveness,26.0,2.3,True,Usage and ownership
"Congo, Rep.",2017,Financial Inclusiveness,26.0,2.3,True,Usage and ownership
Colombia,2017,Financial Inclusiveness,46.0,3.3,True,Usage and ownership
Costa Rica,2017,Financial Inclusiveness,68.0,4.4,True,Usage and ownership
Cyprus,2017,Financial Inclusiveness,89.0,5.45,True,Usage and ownership
Czech Republic,2017,Financial Inclusiveness,81.0,5.05,True,Usage and ownership
Germany,2017,Financial Inclusiveness,99.0,5.95,True,Usage and ownership
Denmark,2017,Financial Inclusiveness,100.0,6.0,True,Usage and ownership
Dominican Republic,2017,Financial Inclusiveness,56.0,3.8,True,Usage and ownership
Algeria,2017,Financial Inclusiveness,43.0,3.15,True,Usage and ownership
East Asia & Pacific (excluding high income),2017,Financial Inclusiveness,71.0,4.55,True,Usage and ownership
East Asia & Pacific,2017,Financial Inclusiveness,74.0,4.7,True,Usage and ownership
Europe & Central Asia (excluding high income),2017,Financial Inclusiveness,65.0,4.25,True,Usage and ownership
Europe & Central Asia,2017,Financial Inclusiveness,81.0,5.05,True,Usage and ownership
Ecuador,2017,Financial Inclusiveness,51.0,3.55,True,Usage and ownership
"Egypt, Arab Rep.",2017,Financial Inclusiveness,33.0,2.65,True,Usage and ownership
Euro area,2017,Financial Inclusiveness,95.0,5.75,True,Usage and ownership
Spain,2017,Financial Inclusiveness,94.0,5.7,True,Usage and ownership
Estonia,2017,Financial Inclusiveness,98.0,5.9,True,Usage and ownership
Ethiopia,2017,Financial Inclusiveness,35.0,2.75,True,Usage and ownership
Finland,2017,Financial Inclusiveness,100.0,6.0,True,Usage and ownership
France,2017,Financial Inclusiveness,94.0,5.7,True,Usage and ownership
Gabon,2017,Financial Inclusiveness,59.0,3.95,True,Usage and ownership
United Kingdom,2017,Financial Inclusiveness,96.0,5.8,True,Usage and ownership
Georgia,2017,Financial Inclusiveness,61.0,4.05,True,Usage and ownership
Ghana,2017,Financial Inclusiveness,58.0,3.9,True,Usage and ownership
Guinea,2017,Financial Inclusiveness,23.0,2.15,True,Usage and ownership
Greece,2017,Financial Inclusiveness,85.0,5.25,True,Usage and ownership
Guatemala,2017,Financial Inclusiveness,44.0,3.2,True,Usage and ownership
High income,2017,Financial Inclusiveness,94.0,5.7,True,Usage and ownership
"Hong Kong SAR, China",2017,Financial Inclusiveness,95.0,5.75,True,Usage and ownership
Honduras,2017,Financial Inclusiveness,45.0,3.25,True,Usage and ownership
Croatia,2017,Financial Inclusiveness,86.0,5.3,True,Usage and ownership
Haiti,2017,Financial Inclusiveness,33.0,2.65,True,Usage and ownership
Hungary,2017,Financial Inclusiveness,75.0,4.75,True,Usage and ownership
Indonesia,2017,Financial Inclusiveness,49.0,3.45,True,Usage and ownership
India,2017,Financial Inclusiveness,80.0,5.0,True,Usage and ownership
Ireland,2017,Financial Inclusiveness,95.0,5.75,True,Usage and ownership
"Iran, Islamic Rep.",2017,Financial Inclusiveness,94.0,5.7,True,Usage and ownership
Iraq,2017,Financial Inclusiveness,23.0,2.15,True,Usage and ownership
Israel,2017,Financial Inclusiveness,93.0,5.65,True,Usage and ownership
Italy,2017,Financial Inclusiveness,94.0,5.7,True,Usage and ownership
Jordan,2017,Financial Inclusiveness,42.0,3.1,True,Usage and ownership
Japan,2017,Financial Inclusiveness,98.0,5.9,True,Usage and ownership
Kazakhstan,2017,Financial Inclusiveness,59.0,3.95,True,Usage and ownership
Kenya,2017,Financial Inclusiveness,82.0,5.1,True,Usage and ownership
Kyrgyz Republic,2017,Financial Inclusiveness,40.0,3.0,True,Usage and ownership
Cambodia,2017,Financial Inclusiveness,22.0,2.1,True,Usage and ownership
"Korea, Rep.",2017,Financial Inclusiveness,95.0,5.75,True,Usage and ownership
Kuwait,2017,Financial Inclusiveness,80.0,5.0,True,Usage and ownership
Latin America & Caribbean (excluding high income),2017,Financial Inclusiveness,54.0,3.7,True,Usage and ownership
Lao PDR,2017,Financial Inclusiveness,29.0,2.45,True,Usage and ownership
Lebanon,2017,Financial Inclusiveness,45.0,3.25,True,Usage and ownership
Liberia,2017,Financial Inclusiveness,36.0,2.8,True,Usage and ownership
Libya,2017,Financial Inclusiveness,66.0,4.3,True,Usage and ownership
Latin America & Caribbean,2017,Financial Inclusiveness,55.0,3.75,True,Usage and ownership
Low income,2017,Financial Inclusiveness,35.0,2.75,True,Usage and ownership
Sri Lanka,2017,Financial Inclusiveness,74.0,4.7,True,Usage and ownership
Lower middle income,2017,Financial Inclusiveness,58.0,3.9,True,Usage and ownership
Developing,2017,Financial Inclusiveness,63.0,4.15,True,Usage and ownership
Lesotho,2017,Financial Inclusiveness,46.0,3.3,True,Usage and ownership
Lithuania,2017,Financial Inclusiveness,83.0,5.15,True,Usage and ownership
Luxembourg,2017,Financial Inclusiveness,99.0,5.95,True,Usage and ownership
Latvia,2017,Financial Inclusiveness,93.0,5.65,True,Usage and ownership
Morocco,2017,Financial Inclusiveness,29.0,2.45,True,Usage and ownership
Moldova,2017,Financial Inclusiveness,44.0,3.2,True,Usage and ownership
Madagascar,2017,Financial Inclusiveness,18.0,1.9,True,Usage and ownership
Middle East & North Africa,2017,Financial Inclusiveness,48.0,3.4,True,Usage and ownership
Mexico,2017,Financial Inclusiveness,37.0,2.85,True,Usage and ownership
Middle income,2017,Financial Inclusiveness,65.0,4.25,True,Usage and ownership
"Macedonia, FYR",2017,Financial Inclusiveness,77.0,4.85,True,Usage and ownership
Mali,2017,Financial Inclusiveness,35.0,2.75,True,Usage and ownership
Malta,2017,Financial Inclusiveness,97.0,5.85,True,Usage and ownership
Myanmar,2017,Financial Inclusiveness,26.0,2.3,True,Usage and ownership
Middle East & North Africa (excluding high income),2017,Financial Inclusiveness,43.0,3.15,True,Usage and ownership
Montenegro,2017,Financial Inclusiveness,68.0,4.4,True,Usage and ownership
