Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,Gender gap for social media use,0.0,1.0,True,Usage and ownership
Angola,2019,Gender gap for social media use,49.55249405,3.4776247025,True,Usage and ownership
Albania,2019,Gender gap for social media use,41.4061203,3.070306015,True,Usage and ownership
United Arab Emirates,2019,Gender gap for social media use,13.89049721,1.6945248605,True,Usage and ownership
Argentina,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Armenia,2019,Gender gap for social media use,88.38256073,5.4191280365,True,Usage and ownership
Australia,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Austria,2019,Gender gap for social media use,93.79489136,5.689744568,True,Usage and ownership
Azerbaijan,2019,Gender gap for social media use,82.57839966,5.128919983,True,Usage and ownership
Burundi,2019,Gender gap for social media use,20.19921494,2.009960747,True,Usage and ownership
Belgium,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Benin,2019,Gender gap for social media use,18.55998421,1.9279992105,True,Usage and ownership
Burkina Faso,2019,Gender gap for social media use,9.472890854,1.4736445427,True,Usage and ownership
Bangladesh,2019,Gender gap for social media use,7.507240772,1.3753620386,True,Usage and ownership
Bulgaria,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Bahrain,2019,Gender gap for social media use,23.20227623,2.1601138114999996,True,Usage and ownership
Bahamas,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Bosnia and Herzegovina,2019,Gender gap for social media use,81.216362,5.0608181000000005,True,Usage and ownership
Belarus,2019,Gender gap for social media use,90.60150146,5.530075073,True,Usage and ownership
Belize,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Bolivia,2019,Gender gap for social media use,81.49380493,5.0746902465,True,Usage and ownership
Brazil,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Barbados,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Brunei Darussalam,2019,Gender gap for social media use,74.02597046,4.701298523,True,Usage and ownership
Bhutan,2019,Gender gap for social media use,85.87497711,5.2937488555000005,True,Usage and ownership
Botswana,2019,Gender gap for social media use,93.16314697,5.6581573485000005,True,Usage and ownership
Central African Republic,2019,Gender gap for social media use,18.35148048,1.9175740239999999,True,Usage and ownership
Canada,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Switzerland,2019,Gender gap for social media use,93.79489136,5.689744568,True,Usage and ownership
Chile,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
China,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Cote d'Ivoire,2019,Gender gap for social media use,34.80342865,2.7401714325,True,Usage and ownership
Cameroon,2019,Gender gap for social media use,59.06298828,3.9531494140000003,True,Usage and ownership
"Congo, Democratic Republic",2019,Gender gap for social media use,31.82859802,2.591429901,True,Usage and ownership
Congo,2019,Gender gap for social media use,43.76489258,3.188244629,True,Usage and ownership
Colombia,2019,Gender gap for social media use,96.7589798,5.83794899,True,Usage and ownership
Comoros,2019,Gender gap for social media use,44.74046326,3.237023163,True,Usage and ownership
Cabo Verde,2019,Gender gap for social media use,85.93442535,5.2967212675,True,Usage and ownership
Costa Rica,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Cyprus,2019,Gender gap for social media use,81.80845642,5.090422821,True,Usage and ownership
Czechia,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Germany,2019,Gender gap for social media use,85.72242737,5.2861213685,True,Usage and ownership
Denmark,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Dominican Republic,2019,Gender gap for social media use,95.63735962,5.7818679809999995,True,Usage and ownership
Algeria,2019,Gender gap for social media use,38.1800766,2.90900383,True,Usage and ownership
Ecuador,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Egypt,2019,Gender gap for social media use,37.32133102,2.8660665510000003,True,Usage and ownership
Spain,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Estonia,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Ethiopia,2019,Gender gap for social media use,19.40818596,1.9704092979999999,True,Usage and ownership
Finland,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Fiji,2019,Gender gap for social media use,91.35308838,5.567654419,True,Usage and ownership
France,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Gabon,2019,Gender gap for social media use,69.54236603,4.477118301499999,True,Usage and ownership
United Kingdom,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Georgia,2019,Gender gap for social media use,95.68006134,5.7840030669999996,True,Usage and ownership
Ghana,2019,Gender gap for social media use,33.06264496,2.653132248,True,Usage and ownership
Guinea,2019,Gender gap for social media use,51.79314041,3.5896570205000002,True,Usage and ownership
Gambia,2019,Gender gap for social media use,17.48361969,1.8741809845000001,True,Usage and ownership
Guinea-Bissau,2019,Gender gap for social media use,16.97748184,1.848874092,True,Usage and ownership
Greece,2019,Gender gap for social media use,86.60203552,5.330101776,True,Usage and ownership
Guatemala,2019,Gender gap for social media use,72.59737396,4.629868698,True,Usage and ownership
Guyana,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Hong Kong,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Honduras,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Croatia,2019,Gender gap for social media use,84.69387817,5.234693908500001,True,Usage and ownership
Haiti,2019,Gender gap for social media use,67.17684174,4.358842086999999,True,Usage and ownership
Hungary,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Indonesia,2019,Gender gap for social media use,64.51204681,4.2256023405,True,Usage and ownership
India,2019,Gender gap for social media use,2.17694211,1.1088471055,True,Usage and ownership
Ireland,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Iran,2019,Gender gap for social media use,89.4957962,5.47478981,True,Usage and ownership
Iraq,2019,Gender gap for social media use,4.437090874,1.2218545437,True,Usage and ownership
Iceland,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Israel,2019,Gender gap for social media use,95.2240448,5.76120224,True,Usage and ownership
Italy,2019,Gender gap for social media use,92.05577087,5.6027885435,True,Usage and ownership
Jamaica,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Jordan,2019,Gender gap for social media use,98.19168091,5.9095840455,True,Usage and ownership
Japan,2019,Gender gap for social media use,100.0,6.0,True,Usage and ownership
Kazakhstan,2019,Gender gap for social media use,92.94532776,5.647266388,True,Usage and ownership
