Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Vietnam,2019,Global Crypto Adoption Index,1.0,6.0,True,Usage and Ownership
India,2019,Global Crypto Adoption Index,0.37,2.85,True,Usage and Ownership
Pakistan,2019,Global Crypto Adoption Index,0.36,2.8,True,Usage and Ownership
Ukraine,2019,Global Crypto Adoption Index,0.29,2.45,True,Usage and Ownership
Kenya,2019,Global Crypto Adoption Index,0.28,2.4000000000000004,True,Usage and Ownership
Nigeria,2019,Global Crypto Adoption Index,0.26,2.3,True,Usage and Ownership
Venezuela,2019,Global Crypto Adoption Index,0.25,2.25,True,Usage and Ownership
United States,2019,Global Crypto Adoption Index,0.22,2.1,True,Usage and Ownership
Togo,2019,Global Crypto Adoption Index,0.19,1.95,True,Usage and Ownership
Argentina,2019,Global Crypto Adoption Index,0.19,1.95,True,Usage and Ownership
Colombia,2019,Global Crypto Adoption Index,0.19,1.95,True,Usage and Ownership
Thailand,2019,Global Crypto Adoption Index,0.17,1.85,True,Usage and Ownership
China,2019,Global Crypto Adoption Index,0.16,1.8,True,Usage and Ownership
Brazil,2019,Global Crypto Adoption Index,0.16,1.8,True,Usage and Ownership
Philippines,2019,Global Crypto Adoption Index,0.16,1.8,True,Usage and Ownership
South Africa,2019,Global Crypto Adoption Index,0.14,1.7000000000000002,True,Usage and Ownership
Ghana,2019,Global Crypto Adoption Index,0.14,1.7000000000000002,True,Usage and Ownership
Russian Federation,2019,Global Crypto Adoption Index,0.14,1.7000000000000002,True,Usage and Ownership
Tanzania,2019,Global Crypto Adoption Index,0.13,1.65,True,Usage and Ownership
Afghanistan,2019,Global Crypto Adoption Index,0.13,1.65,True,Usage and Ownership
United Kingdom,2019,Global Crypto Adoption Index,0.13,1.65,True,Usage and Ownership
Peru,2019,Global Crypto Adoption Index,0.11,1.55,True,Usage and Ownership
Malaysia,2019,Global Crypto Adoption Index,0.1,1.5,True,Usage and Ownership
Morocco,2019,Global Crypto Adoption Index,0.1,1.5,True,Usage and Ownership
Indonesia,2019,Global Crypto Adoption Index,0.1,1.5,True,Usage and Ownership
Turkey,2019,Global Crypto Adoption Index,0.1,1.5,True,Usage and Ownership
Cameroon,2019,Global Crypto Adoption Index,0.09,1.45,True,Usage and Ownership
Bulgaria,2019,Global Crypto Adoption Index,0.09,1.45,True,Usage and Ownership
Bangladesh,2019,Global Crypto Adoption Index,0.09,1.45,True,Usage and Ownership
Nepal,2019,Global Crypto Adoption Index,0.09,1.45,True,Usage and Ownership
Canada,2019,Global Crypto Adoption Index,0.09,1.45,True,Usage and Ownership
"Congo, The Democratic Republic of the",2019,Global Crypto Adoption Index,0.08,1.4,True,Usage and Ownership
Belarus,2019,Global Crypto Adoption Index,0.08,1.4,True,Usage and Ownership
France,2019,Global Crypto Adoption Index,0.08,1.4,True,Usage and Ownership
Ecuador,2019,Global Crypto Adoption Index,0.07,1.35,True,Usage and Ownership
Benin,2019,Global Crypto Adoption Index,0.07,1.35,True,Usage and Ownership
Mozambique,2019,Global Crypto Adoption Index,0.07,1.35,True,Usage and Ownership
Australia,2019,Global Crypto Adoption Index,0.07,1.35,True,Usage and Ownership
Hong Kong,2019,Global Crypto Adoption Index,0.07,1.35,True,Usage and Ownership
"Korea, Republic of",2019,Global Crypto Adoption Index,0.07,1.35,True,Usage and Ownership
Poland,2019,Global Crypto Adoption Index,0.07,1.35,True,Usage and Ownership
Cambodia,2019,Global Crypto Adoption Index,0.07,1.35,True,Usage and Ownership
Zambia,2019,Global Crypto Adoption Index,0.06,1.3,True,Usage and Ownership
Mexico,2019,Global Crypto Adoption Index,0.06,1.3,True,Usage and Ownership
Algeria,2019,Global Crypto Adoption Index,0.06,1.3,True,Usage and Ownership
Netherlands,2019,Global Crypto Adoption Index,0.06,1.3,True,Usage and Ownership
Chile,2019,Global Crypto Adoption Index,0.06,1.3,True,Usage and Ownership
Spain,2019,Global Crypto Adoption Index,0.06,1.3,True,Usage and Ownership
Germany,2019,Global Crypto Adoption Index,0.06,1.3,True,Usage and Ownership
"Moldova, Republic of",2019,Global Crypto Adoption Index,0.06,1.3,True,Usage and Ownership
Dominican Republic,2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
"Bolivia, Plurinational State of",2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
Sri Lanka,2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
Côte d'Ivoire,2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
"Iran, Islamic Republic of",2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
Georgia,2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
Portugal,2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
Honduras,2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
Egypt,2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
Czechia,2019,Global Crypto Adoption Index,0.05,1.25,True,Usage and Ownership
Zimbabwe,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Serbia,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Tunisia,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Romania,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Uganda,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Madagascar,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Slovakia,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Lebanon,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Rwanda,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Kyrgyzstan,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Belgium,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Switzerland,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Sweden,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Latvia,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Costa Rica,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Mauritius,2019,Global Crypto Adoption Index,0.04,1.2,True,Usage and Ownership
Estonia,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Laos,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Italy,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Singapore,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Jamaica,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Japan,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Guatemala,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Panama,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Croatia,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Slovenia,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Finland,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Norway,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
El Salvador,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Mongolia,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Greece,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Lithuania,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Senegal,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Albania,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
Uzbekistan,2019,Global Crypto Adoption Index,0.03,1.15,True,Usage and Ownership
New Zealand,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Jordan,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Austria,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Israel,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
United Arab Emirates,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Azerbaijan,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Hungary,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Kazakhstan,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Namibia,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Uruguay,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Syrian Arab Republic,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Armenia,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Libya,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Denmark,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Nicaragua,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Cyprus,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Ethiopia,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Saudi Arabia,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Bosnia and Herzegovina,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Mali,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Myanmar,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Angola,2019,Global Crypto Adoption Index,0.02,1.1,True,Usage and Ownership
Ireland,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Puerto Rico,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Haiti,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Iraq,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Paraguay,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
North Macedonia,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Barbados,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Trinidad and Tobago,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Malta,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Seychelles,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Bahamas,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Botswana,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Montenegro,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Burkina Faso,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Kuwait,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Tajikistan,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Malawi,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Cuba,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Monaco,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Oman,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Belize,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
French Polynesia,2019,Global Crypto Adoption Index,0.01,1.05,True,Usage and Ownership
Turkmenistan,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Qatar,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Luxembourg,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Bahrain,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Maldives,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Suriname,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Fiji,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Iceland,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Macao,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Cabo Verde,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Gabon,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Papua New Guinea,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
New Caledonia,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Guyana,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
"Virgin Islands, U.S.",2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Brunei Darussalam,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Bermuda,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
Cayman Islands,2019,Global Crypto Adoption Index,0.0,1.0,True,Usage and Ownership
