Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Mauritius,2020.0,Households with a computer and with Internet access,72.64247653,4.455201772120281,True,Usage and ownership
Bahrain,2020.0,Households with a computer and with Internet access,99.67111548,5.992666270327154,True,Usage and ownership
Egypt,2020.0,Households with a computer and with Internet access,73.01152829,4.476194467314826,True,Usage and ownership
Kuwait,2020.0,Households with a computer and with Internet access,99.39994533,5.977241354578726,True,Usage and ownership
Morocco,2020.0,Households with a computer and with Internet access,84.52001443,5.130829312269009,True,Usage and ownership
Oman,2020.0,Households with a computer and with Internet access,94.40521854,5.693127340104173,True,Usage and ownership
Qatar,2020.0,Households with a computer and with Internet access,95.01073505,5.7275708109324786,True,Usage and ownership
Saudi Arabia,2020.0,Households with a computer and with Internet access,99.49999331,5.982932363203018,True,Usage and ownership
Somalia,2020.0,Households with a computer and with Internet access,11.9,1.0,True,Usage and ownership
United Arab Emirates,2020.0,Households with a computer and with Internet access,99.80004251,6.0,True,Usage and ownership
Cambodia,2020.0,Households with a computer and with Internet access,73.60001003,4.509668952832456,True,Usage and ownership
"Hong Kong, China",2020.0,Households with a computer and with Internet access,93.91333608,5.665147691519586,True,Usage and ownership
Indonesia,2020.0,Households with a computer and with Internet access,78.17634138,4.769983465733821,True,Usage and ownership
Iran (Islamic Republic of),2020.0,Households with a computer and with Internet access,93.30172743,5.630357682747382,True,Usage and ownership
Korea (Rep. of),2020.0,Households with a computer and with Internet access,99.74851416,5.997068923488055,True,Usage and ownership
Malaysia,2020.0,Households with a computer and with Internet access,91.70617992,5.539598482612838,True,Usage and ownership
Mongolia,2020.0,Households with a computer and with Internet access,,,True,Usage and ownership
Singapore,2020.0,Households with a computer and with Internet access,98.4436591,5.922845122068873,True,Usage and ownership
Sri Lanka,2020.0,Households with a computer and with Internet access,52.8,3.326506269627059,True,Usage and ownership
Thailand,2020.0,Households with a computer and with Internet access,85.19992293,5.16950440733069,True,Usage and ownership
Viet Nam,2020.0,Households with a computer and with Internet access,74.80362832,4.578134123930813,True,Usage and ownership
Belarus,2020.0,Households with a computer and with Internet access,76.98680595,4.702319367058063,True,Usage and ownership
Kazakhstan,2020.0,Households with a computer and with Internet access,92.39570403,5.578820540436165,True,Usage and ownership
Russian Federation,2020.0,Households with a computer and with Internet access,80.04080566,4.876039403066724,True,Usage and ownership
Uzbekistan,2020.0,Households with a computer and with Internet access,93.51033767,5.642224016030228,True,Usage and ownership
Albania,2020.0,Households with a computer and with Internet access,83.27987513,5.06028672408659,True,Usage and ownership
Austria,2020.0,Households with a computer and with Internet access,90.40076082,5.465342597022596,True,Usage and ownership
Belgium,2020.0,Households with a computer and with Internet access,90.86516337,5.491759111550856,True,Usage and ownership
Bosnia and Herzegovina,2020.0,Households with a computer and with Internet access,72.83554192,4.466183870904707,True,Usage and ownership
Bulgaria,2020.0,Households with a computer and with Internet access,78.85020735,4.808314844807008,True,Usage and ownership
Croatia,2020.0,Households with a computer and with Internet access,84.99896561,5.158073393518772,True,Usage and ownership
Cyprus,2020.0,Households with a computer and with Internet access,92.7761468,5.600461188104607,True,Usage and ownership
Czech Republic,2020.0,Households with a computer and with Internet access,81.67271413,4.968866916194168,True,Usage and ownership
Denmark,2020.0,Households with a computer and with Internet access,92.53785329,5.586906387492713,True,Usage and ownership
Estonia,2020.0,Households with a computer and with Internet access,90.0,5.442546201903993,True,Usage and ownership
Finland,2020.0,Households with a computer and with Internet access,91.07407407,5.503642535837949,True,Usage and ownership
Georgia,2020.0,Households with a computer and with Internet access,83.84336642,5.092339682987941,True,Usage and ownership
Germany,2020.0,Households with a computer and with Internet access,92.07629398,5.560651604399321,True,Usage and ownership
Greece,2020.0,Households with a computer and with Internet access,80.38166755,4.895428579696599,True,Usage and ownership
Hungary,2020.0,Households with a computer and with Internet access,87.63084244,5.307781900753031,True,Usage and ownership
Ireland,2020.0,Households with a computer and with Internet access,91.9998674,5.556304247002349,True,Usage and ownership
Latvia,2020.0,Households with a computer and with Internet access,89.72749767,5.427045508035216,True,Usage and ownership
Lithuania,2020.0,Households with a computer and with Internet access,82.13069553,4.994918177770515,True,Usage and ownership
Luxembourg,2020.0,Households with a computer and with Internet access,93.59986209,5.647316415160173,True,Usage and ownership
Malta,2020.0,Households with a computer and with Internet access,90.3623821,5.463159508203519,True,Usage and ownership
Moldova,2020.0,Households with a computer and with Internet access,64.61483143,3.998566890567935,True,Usage and ownership
Montenegro,2020.0,Households with a computer and with Internet access,80.26226583,4.888636676269112,True,Usage and ownership
Netherlands,2020.0,Households with a computer and with Internet access,93.75,5.655856678948039,True,Usage and ownership
North Macedonia,2020.0,Households with a computer and with Internet access,79.9168849,4.868990444018387,True,Usage and ownership
Norway,2020.0,Households with a computer and with Internet access,96.12251686,5.790812066468477,True,Usage and ownership
Poland,2020.0,Households with a computer and with Internet access,90.38388072,5.464382409773649,True,Usage and ownership
Portugal,2020.0,Households with a computer and with Internet access,84.49278057,5.129280174224116,True,Usage and ownership
Romania,2020.0,Households with a computer and with Internet access,86.23980516,5.228655813877603,True,Usage and ownership
Serbia,2020.0,Households with a computer and with Internet access,80.95218011,4.927880928052124,True,Usage and ownership
Slovakia,2020.0,Households with a computer and with Internet access,85.77874679,5.2024295256509765,True,Usage and ownership
Slovenia,2020.0,Households with a computer and with Internet access,89.97491584,5.441119344801099,True,Usage and ownership
Spain,2020.0,Households with a computer and with Internet access,95.37748818,5.7484327536305315,True,Usage and ownership
Turkey,2020.0,Households with a computer and with Internet access,90.73163903,5.484163874040885,True,Usage and ownership
