Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Iraq ,2020,Human Capital Index (HCI),0.4358,3.1790000000000003,True,Digital Literacy Skills
Ireland ,2020,Human Capital Index (HCI),0.9494,5.747,True,Digital Literacy Skills
Israel ,2020,Human Capital Index (HCI),0.8924,5.462,True,Digital Literacy Skills
Italy ,2020,Human Capital Index (HCI),0.8466,5.2330000000000005,True,Digital Literacy Skills
Jamaica ,2020,Human Capital Index (HCI),0.7142,4.571,True,Digital Literacy Skills
Japan ,2020,Human Capital Index (HCI),0.8684,5.342,True,Digital Literacy Skills
Jordan ,2020,Human Capital Index (HCI),0.68,4.4,True,Digital Literacy Skills
Kazakhstan ,2020,Human Capital Index (HCI),0.8866,5.433,True,Digital Literacy Skills
Kenya ,2020,Human Capital Index (HCI),0.5812,3.906,True,Digital Literacy Skills
Kiribati ,2020,Human Capital Index (HCI),0.6778,4.388999999999999,True,Digital Literacy Skills
Kuwait ,2020,Human Capital Index (HCI),0.747,4.734999999999999,True,Digital Literacy Skills
Kyrgyzstan ,2020,Human Capital Index (HCI),0.7873,4.9365000000000006,True,Digital Literacy Skills
Lao People's Democratic Republic ,2020,Human Capital Index (HCI),0.5539,3.7695,True,Digital Literacy Skills
Latvia ,2020,Human Capital Index (HCI),0.9172,5.586,True,Digital Literacy Skills
Lebanon ,2020,Human Capital Index (HCI),0.6567,4.2835,True,Digital Literacy Skills
Lesotho ,2020,Human Capital Index (HCI),0.5753,3.8765,True,Digital Literacy Skills
Liberia ,2020,Human Capital Index (HCI),0.3933,2.9665,True,Digital Literacy Skills
Libya,2020,Human Capital Index (HCI),0.7357,4.6785,True,Digital Literacy Skills
Liechtenstein,2020,Human Capital Index (HCI),0.8489,5.2445,True,Digital Literacy Skills
Lithuania ,2020,Human Capital Index (HCI),0.9218,5.609,True,Digital Literacy Skills
Luxembourg,2020,Human Capital Index (HCI),0.8097,5.0485,True,Digital Literacy Skills
Madagascar ,2020,Human Capital Index (HCI),0.5307,3.6534999999999997,True,Digital Literacy Skills
Malawi ,2020,Human Capital Index (HCI),0.4812,3.406,True,Digital Literacy Skills
Malaysia,2020,Human Capital Index (HCI),0.7513,4.7565,True,Digital Literacy Skills
Maldives,2020,Human Capital Index (HCI),0.6886,4.443,True,Digital Literacy Skills
Mali ,2020,Human Capital Index (HCI),0.2274,2.137,True,Digital Literacy Skills
Malta ,2020,Human Capital Index (HCI),0.829,5.145,True,Digital Literacy Skills
Marshall Islands ,2020,Human Capital Index (HCI),0.7506,4.753,True,Digital Literacy Skills
Mauritania ,2020,Human Capital Index (HCI),0.3575,2.7874999999999996,True,Digital Literacy Skills
Afghanistan,2020,Human Capital Index (HCI),0.3728,2.864,True,Digital Literacy Skills
Mauritius ,2020,Human Capital Index (HCI),0.7911,4.955500000000001,True,Digital Literacy Skills
Mexico ,2020,Human Capital Index (HCI),0.7727,4.8635,True,Digital Literacy Skills
Micronesia (Federated States of) ,2020,Human Capital Index (HCI),0.6747,4.3735,True,Digital Literacy Skills
Monaco ,2020,Human Capital Index (HCI),0.8187,5.0935,True,Digital Literacy Skills
Mongolia ,2020,Human Capital Index (HCI),0.8063,5.0315,True,Digital Literacy Skills
Montenegro,2020,Human Capital Index (HCI),0.8239,5.1194999999999995,True,Digital Literacy Skills
Albania ,2020,Human Capital Index (HCI),0.8001,5.000500000000001,True,Digital Literacy Skills
Algeria ,2020,Human Capital Index (HCI),0.6966,4.4830000000000005,True,Digital Literacy Skills
Andorra ,2020,Human Capital Index (HCI),0.7448,4.724,True,Digital Literacy Skills
Angola ,2020,Human Capital Index (HCI),0.5295,3.6475,True,Digital Literacy Skills
Antigua and Barbuda ,2020,Human Capital Index (HCI),0.7518,4.759,True,Digital Literacy Skills
Argentina ,2020,Human Capital Index (HCI),0.91,5.55,True,Digital Literacy Skills
Armenia ,2020,Human Capital Index (HCI),0.7872,4.936,True,Digital Literacy Skills
Morocco ,2020,Human Capital Index (HCI),0.6152,4.076,True,Digital Literacy Skills
Mozambique ,2020,Human Capital Index (HCI),0.4222,3.111,True,Digital Literacy Skills
Myanmar ,2020,Human Capital Index (HCI),0.5125,3.5625,True,Digital Literacy Skills
Namibia ,2020,Human Capital Index (HCI),0.6558,4.279,True,Digital Literacy Skills
Nauru ,2020,Human Capital Index (HCI),0.6006,4.003,True,Digital Literacy Skills
Dominica ,2020,Human Capital Index (HCI),0.6698,4.349,True,Digital Literacy Skills
Dominican Republic ,2020,Human Capital Index (HCI),0.7419,4.7095,True,Digital Literacy Skills
Ecuador ,2020,Human Capital Index (HCI),0.7793,4.8965,True,Digital Literacy Skills
Egypt ,2020,Human Capital Index (HCI),0.6192,4.096,True,Digital Literacy Skills
El Salvador ,2020,Human Capital Index (HCI),0.6242,4.121,True,Digital Literacy Skills
Equatorial Guinea ,2020,Human Capital Index (HCI),0.5547,3.7735,True,Digital Literacy Skills
Eritrea ,2020,Human Capital Index (HCI),0.3759,2.8795,True,Digital Literacy Skills
Estonia ,2020,Human Capital Index (HCI),0.9266,5.633,True,Digital Literacy Skills
Nepal ,2020,Human Capital Index (HCI),0.5405,3.7024999999999997,True,Digital Literacy Skills
Netherlands ,2020,Human Capital Index (HCI),0.9349,5.6745,True,Digital Literacy Skills
New Zealand ,2020,Human Capital Index (HCI),0.9516,5.758,True,Digital Literacy Skills
Nicaragua ,2020,Human Capital Index (HCI),0.6133,4.0665,True,Digital Literacy Skills
Niger ,2020,Human Capital Index (HCI),0.1304,1.652,True,Digital Literacy Skills
Nigeria ,2020,Human Capital Index (HCI),0.4507,3.2535,True,Digital Literacy Skills
Norway ,2020,Human Capital Index (HCI),0.9392,5.696,True,Digital Literacy Skills
Oman ,2020,Human Capital Index (HCI),0.7751,4.875500000000001,True,Digital Literacy Skills
Pakistan ,2020,Human Capital Index (HCI),0.3818,2.909,True,Digital Literacy Skills
Palau ,2020,Human Capital Index (HCI),0.8816,5.408,True,Digital Literacy Skills
Panama ,2020,Human Capital Index (HCI),0.7421,4.7105,True,Digital Literacy Skills
Papua New Guinea ,2020,Human Capital Index (HCI),0.5013,3.5065,True,Digital Literacy Skills
Paraguay ,2020,Human Capital Index (HCI),0.6968,4.484,True,Digital Literacy Skills
Peru ,2020,Human Capital Index (HCI),0.794,4.970000000000001,True,Digital Literacy Skills
Philippines ,2020,Human Capital Index (HCI),0.7544,4.772,True,Digital Literacy Skills
Poland ,2020,Human Capital Index (HCI),0.9001,5.5005,True,Digital Literacy Skills
Portugal ,2020,Human Capital Index (HCI),0.8463,5.2315000000000005,True,Digital Literacy Skills
Qatar ,2020,Human Capital Index (HCI),0.6698,4.349,True,Digital Literacy Skills
Republic of Korea ,2020,Human Capital Index (HCI),0.8997,5.4985,True,Digital Literacy Skills
Republic of Moldova ,2020,Human Capital Index (HCI),0.7432,4.715999999999999,True,Digital Literacy Skills
Romania ,2020,Human Capital Index (HCI),0.7995,4.9975000000000005,True,Digital Literacy Skills
Russian Federation ,2020,Human Capital Index (HCI),0.8833,5.4165,True,Digital Literacy Skills
Australia ,2020,Human Capital Index (HCI),1.0,6.0,True,Digital Literacy Skills
Austria,2020,Human Capital Index (HCI),0.9032,5.516,True,Digital Literacy Skills
Azerbaijan ,2020,Human Capital Index (HCI),0.7713,4.8565000000000005,True,Digital Literacy Skills
Bahamas ,2020,Human Capital Index (HCI),0.7546,4.773,True,Digital Literacy Skills
Chad ,2020,Human Capital Index (HCI),0.1782,1.891,True,Digital Literacy Skills
Chile ,2020,Human Capital Index (HCI),0.8643,5.3214999999999995,True,Digital Literacy Skills
China ,2020,Human Capital Index (HCI),0.7396,4.698,True,Digital Literacy Skills
Bahrain ,2020,Human Capital Index (HCI),0.8439,5.2195,True,Digital Literacy Skills
Bangladesh ,2020,Human Capital Index (HCI),0.5731,3.8655000000000004,True,Digital Literacy Skills
Barbados ,2020,Human Capital Index (HCI),0.8549,5.2745,True,Digital Literacy Skills
Belarus ,2020,Human Capital Index (HCI),0.8912,5.4559999999999995,True,Digital Literacy Skills
Belgium ,2020,Human Capital Index (HCI),0.9521,5.7604999999999995,True,Digital Literacy Skills
Belize ,2020,Human Capital Index (HCI),0.6919,4.4595,True,Digital Literacy Skills
Benin ,2020,Human Capital Index (HCI),0.4404,3.202,True,Digital Literacy Skills
Bhutan ,2020,Human Capital Index (HCI),0.5139,3.5695,True,Digital Literacy Skills
Bolivia ,2020,Human Capital Index (HCI),0.7379,4.6895,True,Digital Literacy Skills
Bosnia and Herzegovina ,2020,Human Capital Index (HCI),0.7468,4.734,True,Digital Literacy Skills
Botswana ,2020,Human Capital Index (HCI),0.6911,4.455500000000001,True,Digital Literacy Skills
Djibouti ,2020,Human Capital Index (HCI),0.3418,2.709,True,Digital Literacy Skills
Brazil ,2020,Human Capital Index (HCI),0.7803,4.9015,True,Digital Literacy Skills
Brunei Darussalam ,2020,Human Capital Index (HCI),0.7605,4.8025,True,Digital Literacy Skills
Bulgaria ,2020,Human Capital Index (HCI),0.8408,5.204,True,Digital Literacy Skills
Burkina Faso ,2020,Human Capital Index (HCI),0.2911,2.4555000000000002,True,Digital Literacy Skills
Burundi ,2020,Human Capital Index (HCI),0.4891,3.4455,True,Digital Literacy Skills
Cambodia ,2020,Human Capital Index (HCI),0.5344,3.6719999999999997,True,Digital Literacy Skills
Cameroon ,2020,Human Capital Index (HCI),0.5971,3.9855,True,Digital Literacy Skills
Canada ,2020,Human Capital Index (HCI),0.9029,5.5145,True,Digital Literacy Skills
Cabo Verde ,2020,Human Capital Index (HCI),0.6337,4.1685,True,Digital Literacy Skills
Central African Republic ,2020,Human Capital Index (HCI),0.2539,2.2695,True,Digital Literacy Skills
Colombia ,2020,Human Capital Index (HCI),0.7723,4.8614999999999995,True,Digital Literacy Skills
Comoros ,2020,Human Capital Index (HCI),0.4652,3.326,True,Digital Literacy Skills
Congo ,2020,Human Capital Index (HCI),0.5822,3.9110000000000005,True,Digital Literacy Skills
Costa Rica ,2020,Human Capital Index (HCI),0.8428,5.214,True,Digital Literacy Skills
Côte d'Ivoire ,2020,Human Capital Index (HCI),0.3808,2.904,True,Digital Literacy Skills
Croatia ,2020,Human Capital Index (HCI),0.8414,5.207,True,Digital Literacy Skills
Cuba ,2020,Human Capital Index (HCI),0.8215,5.1075,True,Digital Literacy Skills
Cyprus ,2020,Human Capital Index (HCI),0.8429,5.2145,True,Digital Literacy Skills
Czech Republic ,2020,Human Capital Index (HCI),0.903,5.515000000000001,True,Digital Literacy Skills
Democratic People's Republic of Korea ,2020,Human Capital Index (HCI),0.6402,4.2010000000000005,True,Digital Literacy Skills
Democratic Republic of the Congo ,2020,Human Capital Index (HCI),0.5303,3.6515,True,Digital Literacy Skills
Denmark ,2020,Human Capital Index (HCI),0.9588,5.794,True,Digital Literacy Skills
Ethiopia ,2020,Human Capital Index (HCI),0.3378,2.689,True,Digital Literacy Skills
Fiji ,2020,Human Capital Index (HCI),0.8227,5.1135,True,Digital Literacy Skills
Finland ,2020,Human Capital Index (HCI),0.9549,5.7745,True,Digital Literacy Skills
Guinea-Bissau ,2020,Human Capital Index (HCI),0.4265,3.1325,True,Digital Literacy Skills
Guyana ,2020,Human Capital Index (HCI),0.6462,4.231,True,Digital Literacy Skills
Spain ,2020,Human Capital Index (HCI),0.8989,5.4945,True,Digital Literacy Skills
Sierra Leone ,2020,Human Capital Index (HCI),0.3144,2.572,True,Digital Literacy Skills
France,2020,Human Capital Index (HCI),0.8612,5.306,True,Digital Literacy Skills
Gabon ,2020,Human Capital Index (HCI),0.6719,4.359500000000001,True,Digital Literacy Skills
Gambia ,2020,Human Capital Index (HCI),0.363,2.815,True,Digital Literacy Skills
Georgia (Country),2020,Human Capital Index (HCI),0.8717,5.3585,True,Digital Literacy Skills
Germany ,2020,Human Capital Index (HCI),0.9362,5.681,True,Digital Literacy Skills
Ghana ,2020,Human Capital Index (HCI),0.593,3.965,True,Digital Literacy Skills
Greece ,2020,Human Capital Index (HCI),0.8905,5.4525,True,Digital Literacy Skills
Grenada ,2020,Human Capital Index (HCI),0.8576,5.288,True,Digital Literacy Skills
Guatemala ,2020,Human Capital Index (HCI),0.552,3.7600000000000002,True,Digital Literacy Skills
Guinea ,2020,Human Capital Index (HCI),0.2591,2.2955,True,Digital Literacy Skills
Haiti ,2020,Human Capital Index (HCI),0.3839,2.9195,True,Digital Literacy Skills
Honduras ,2020,Human Capital Index (HCI),0.5568,3.784,True,Digital Literacy Skills
