Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Angola,2019,Internet Usage,2.8,1.1400000000000001,True,Usage and ownership
Benin,2019,Internet Usage,3.13,1.1564999999999999,True,Usage and ownership
Botswana,2019,Internet Usage,6.0,1.3,True,Usage and ownership
Burkina Faso,2019,Internet Usage,2.4,1.12,True,Usage and ownership
Burundi,2019,Internet Usage,1.0,1.05,True,Usage and ownership
Cabo Verde,2019,Internet Usage,30.0,2.5,True,Usage and ownership
Cameroon,2019,Internet Usage,4.3,1.215,True,Usage and ownership
Central African Rep.,2019,Internet Usage,2.0,1.1,True,Usage and ownership
Chad,2019,Internet Usage,1.7,1.085,True,Usage and ownership
Congo (Rep. of the),2019,Internet Usage,5.0,1.25,True,Usage and ownership
Côte d'Ivoire,2019,Internet Usage,2.7,1.135,True,Usage and ownership
Dem. Rep. of the Congo,2019,Internet Usage,0.72,1.036,True,Usage and ownership
Equatorial Guinea,2019,Internet Usage,6.0,1.3,True,Usage and ownership
Eritrea,2019,Internet Usage,0.61,1.0305,True,Usage and ownership
Eswatini,2019,Internet Usage,11.04,1.552,True,Usage and ownership
Ethiopia,2019,Internet Usage,0.75,1.0375,True,Usage and ownership
Gabon,2019,Internet Usage,13.0,1.65,True,Usage and ownership
Gambia,2019,Internet Usage,9.2,1.46,True,Usage and ownership
Ghana,2019,Internet Usage,7.8,1.3900000000000001,True,Usage and ownership
Guinea,2019,Internet Usage,1.0,1.05,True,Usage and ownership
Guinea-Bissau,2019,Internet Usage,2.45,1.1225,True,Usage and ownership
Kenya,2019,Internet Usage,7.2,1.3599999999999999,True,Usage and ownership
Lesotho,2019,Internet Usage,3.86,1.193,True,Usage and ownership
Liberia,2019,Internet Usage,2.3,1.115,True,Usage and ownership
Madagascar,2019,Internet Usage,1.7,1.085,True,Usage and ownership
Malawi,2019,Internet Usage,2.26,1.113,True,Usage and ownership
Mali,2019,Internet Usage,2.0,1.1,True,Usage and ownership
Mauritius,2019,Internet Usage,28.33,2.4165,True,Usage and ownership
Mozambique,2019,Internet Usage,4.17,1.2085,True,Usage and ownership
Namibia,2019,Internet Usage,11.6,1.58,True,Usage and ownership
Niger,2019,Internet Usage,0.83,1.0415,True,Usage and ownership
Nigeria,2019,Internet Usage,11.5,1.575,True,Usage and ownership
Rwanda,2019,Internet Usage,8.0,1.4,True,Usage and ownership
Sao Tome and Principe,2019,Internet Usage,18.75,1.9375,True,Usage and ownership
Senegal,2019,Internet Usage,8.0,1.4,True,Usage and ownership
Seychelles,2019,Internet Usage,41.0,3.05,True,Usage and ownership
Sierra Leone,2019,Internet Usage,0.58,1.029,True,Usage and ownership
South Africa,2019,Internet Usage,24.0,2.2,True,Usage and ownership
South Sudan,2019,Internet Usage,,,True,Usage and ownership
Tanzania,2019,Internet Usage,2.9,1.145,True,Usage and ownership
Togo,2019,Internet Usage,3.0,1.15,True,Usage and ownership
Uganda,2019,Internet Usage,,,True,Usage and ownership
Zambia,2019,Internet Usage,10.0,1.5,True,Usage and ownership
Zimbabwe,2019,Internet Usage,6.4,1.32,True,Usage and ownership
Algeria,2019,Internet Usage,12.5,1.625,True,Usage and ownership
Bahrain,2019,Internet Usage,55.0,3.75,True,Usage and ownership
Comoros,2019,Internet Usage,5.1,1.255,True,Usage and ownership
Djibouti,2019,Internet Usage,6.5,1.325,True,Usage and ownership
Egypt,2019,Internet Usage,21.6,2.08,True,Usage and ownership
Iraq,2019,Internet Usage,2.5,1.125,True,Usage and ownership
Jordan,2019,Internet Usage,27.2,2.3600000000000003,True,Usage and ownership
Kuwait,2019,Internet Usage,61.4,4.07,True,Usage and ownership
Lebanon,2019,Internet Usage,43.68,3.184,True,Usage and ownership
Libya,2019,Internet Usage,14.0,1.7,True,Usage and ownership
Mauritania,2019,Internet Usage,4.0,1.2,True,Usage and ownership
Morocco,2019,Internet Usage,52.0,3.6,True,Usage and ownership
Oman,2019,Internet Usage,35.8278,2.79139,True,Usage and ownership
