Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Angola,2019.0,Mobile Broadband Pricing (pre-paid),5.63,5.553571428571429,True,Usage and ownership
Benin,2019.0,Mobile Broadband Pricing (pre-paid),6.21,5.506061598951507,True,Usage and ownership
Botswana,2019.0,Mobile Broadband Pricing (pre-paid),2.87,5.779652686762779,True,Usage and ownership
Burkina Faso,2019.0,Mobile Broadband Pricing (pre-paid),19.63,4.406782437745741,True,Usage and ownership
Burundi,2019.0,Mobile Broadband Pricing (pre-paid),20.43,4.341251638269987,True,Usage and ownership
Cabo Verde,2019.0,Mobile Broadband Pricing (pre-paid),3.16,5.755897771952817,True,Usage and ownership
Cameroon,2019.0,Mobile Broadband Pricing (pre-paid),4.67,5.632208387942333,True,Usage and ownership
Central African Rep.,2019.0,Mobile Broadband Pricing (pre-paid),26.99,3.8038990825688077,True,Usage and ownership
Chad,2019.0,Mobile Broadband Pricing (pre-paid),32.23,3.374672346002621,True,Usage and ownership
Congo (Rep. of the),2019.0,Mobile Broadband Pricing (pre-paid),13.17,4.93594364351245,True,Usage and ownership
Côte d'Ivoire,2019.0,Mobile Broadband Pricing (pre-paid),5.36,5.575688073394495,True,Usage and ownership
Dem. Rep. of the Congo,2019.0,Mobile Broadband Pricing (pre-paid),61.22,1.0,True,Usage and ownership
Equatorial Guinea,2019.0,Mobile Broadband Pricing (pre-paid),,,True,Usage and ownership
Eritrea,2019.0,Mobile Broadband Pricing (pre-paid),,,True,Usage and ownership
Eswatini,2019.0,Mobile Broadband Pricing (pre-paid),5.41,5.571592398427261,True,Usage and ownership
Ethiopia,2019.0,Mobile Broadband Pricing (pre-paid),10.52,5.153014416775885,True,Usage and ownership
Gabon,2019.0,Mobile Broadband Pricing (pre-paid),1.91,5.858289646133683,True,Usage and ownership
Gambia,2019.0,Mobile Broadband Pricing (pre-paid),9.22,5.259501965923985,True,Usage and ownership
Ghana,2019.0,Mobile Broadband Pricing (pre-paid),4.91,5.612549148099607,True,Usage and ownership
Guinea,2019.0,Mobile Broadband Pricing (pre-paid),4.4,5.654325032765399,True,Usage and ownership
Guinea-Bissau,2019.0,Mobile Broadband Pricing (pre-paid),25.91,3.8923656618610747,True,Usage and ownership
