Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Angola,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Benin,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Botswana,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Burkina Faso,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Burundi,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Cabo Verde,2019.0,Mobile Device Penetration (female),70.82631867,4.5413159335,True,Usage and Ownership
Cameroon,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Central African Rep.,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Chad,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Congo (Rep. of the),2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Côte d'Ivoire,2019.0,Mobile Device Penetration (female),64.33645053,4.2168225265,True,Usage and Ownership
Dem. Rep. of the Congo,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Equatorial Guinea,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Eritrea,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Eswatini,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Ethiopia,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Gabon,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Gambia,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Ghana,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Guinea,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Guinea-Bissau,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Kenya,2019.0,Mobile Device Penetration (female),47.03478725,3.3517393625,True,Usage and Ownership
Lesotho,2019.0,Mobile Device Penetration (female),82.79012056,5.1395060280000004,True,Usage and Ownership
Liberia,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Madagascar,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Malawi,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Mali,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Mauritius,2019.0,Mobile Device Penetration (female),76.07444205,4.8037221025,True,Usage and Ownership
Mozambique,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Namibia,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Niger,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Nigeria,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Rwanda,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Sao Tome and Principe,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Senegal,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Seychelles,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Sierra Leone,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
South Africa,2019.0,Mobile Device Penetration (female),79.65113755,4.9825568775,True,Usage and Ownership
South Sudan,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Tanzania,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Togo,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Uganda,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Zambia,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Zimbabwe,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Algeria,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Bahrain,2019.0,Mobile Device Penetration (female),100.0,6.0,True,Usage and Ownership
Comoros,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Djibouti,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Egypt,2019.0,Mobile Device Penetration (female),98.36242599,5.9181212995,True,Usage and Ownership
Jordan,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Kuwait,2019.0,Mobile Device Penetration (female),99.21769073,5.9608845365,True,Usage and Ownership
Lebanon,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Libya,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Mauritania,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Morocco,2019.0,Mobile Device Penetration (female),93.73244679,5.6866223394999995,True,Usage and Ownership
Oman,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Palestine,2019.0,Mobile Device Penetration (female),70.45949762,4.522974881,True,Usage and Ownership
Qatar,2019.0,Mobile Device Penetration (female),99.56881302,5.978440651,True,Usage and Ownership
Saudi Arabia,2019.0,Mobile Device Penetration (female),95.38893976,5.769446987999999,True,Usage and Ownership
Somalia,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Sudan,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Syrian Arab Republic,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Tunisia,2019.0,Mobile Device Penetration (female),76.67699082,4.833849541,True,Usage and Ownership
United Arab Emirates,2019.0,Mobile Device Penetration (female),100.0,6.0,True,Usage and Ownership
Yemen,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Afghanistan,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Australia,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Bangladesh,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Bhutan,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Brunei Darussalam,2019.0,Mobile Device Penetration (female),98.69970615,5.9349853075,True,Usage and Ownership
Cambodia,2019.0,Mobile Device Penetration (female),93.21578162,5.660789081000001,True,Usage and Ownership
China,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Dem. People's Rep. of Korea,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Fiji,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
"Hong Kong, China",2019.0,Mobile Device Penetration (female),96.51044246,5.825522123,True,Usage and Ownership
India,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Indonesia,2019.0,Mobile Device Penetration (female),58.35215748,3.917607874,True,Usage and Ownership
Iran (Islamic Republic of),2019.0,Mobile Device Penetration (female),57.72898545,3.8864492725,True,Usage and Ownership
Japan,2019.0,Mobile Device Penetration (female),91.2968272,5.56484136,True,Usage and Ownership
Kiribati,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Korea (Rep. of),2019.0,Mobile Device Penetration (female),95.3102255,5.765511275,True,Usage and Ownership
Lao P.D.R.,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
"Macao, China",2019.0,Mobile Device Penetration (female),90.86398132,5.543199066,True,Usage and Ownership
Malaysia,2019.0,Mobile Device Penetration (female),94.4545545,5.7227277249999995,True,Usage and Ownership
Maldives,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Marshall Islands,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Micronesia,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Mongolia,2019.0,Mobile Device Penetration (female),94.74170385,5.7370851925,True,Usage and Ownership
Myanmar,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Nauru,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Nepal (Republic of),2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
New Zealand,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
Pakistan,2019.0,Mobile Device Penetration (female),26.3502477,2.3175123849999997,True,Usage and Ownership
Papua New Guinea,2019.0,Mobile Device Penetration (female),,,True,Usage and Ownership
