Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,Number of mobile apps available in national language(s),3.0,1.0,True,Culture
Angola,2019,Number of mobile apps available in national language(s),57.97850037,3.833943318041237,True,Culture
Albania,2019,Number of mobile apps available in national language(s),67.28644562,4.313734310309278,True,Culture
United Arab Emirates,2019,Number of mobile apps available in national language(s),78.45343781,4.889352464432989,True,Culture
Argentina,2019,Number of mobile apps available in national language(s),89.72428894,5.470324172164949,True,Culture
Armenia,2019,Number of mobile apps available in national language(s),12.54147625,1.4918286726804124,True,Culture
Australia,2019,Number of mobile apps available in national language(s),100.0,6.0,True,Culture
Austria,2019,Number of mobile apps available in national language(s),89.19731903,5.443160774742268,True,Culture
Azerbaijan,2019,Number of mobile apps available in national language(s),25.40082932,2.1546819237113404,True,Culture
Burundi,2019,Number of mobile apps available in national language(s),6.738045216,1.1926827430927835,True,Culture
Belgium,2019,Number of mobile apps available in national language(s),84.22556305,5.186884693298969,True,Culture
Benin,2019,Number of mobile apps available in national language(s),29.47894669,2.36489415927835,True,Culture
Burkina Faso,2019,Number of mobile apps available in national language(s),18.52962303,1.8004960324742267,True,Culture
Bangladesh,2019,Number of mobile apps available in national language(s),50.59863281,3.45353777371134,True,Culture
Bulgaria,2019,Number of mobile apps available in national language(s),60.42394638,3.959997236082474,True,Culture
Bahrain,2019,Number of mobile apps available in national language(s),78.45343781,4.889352464432989,True,Culture
Bahamas,2019,Number of mobile apps available in national language(s),100.0,6.0,True,Culture
Bosnia and Herzegovina,2019,Number of mobile apps available in national language(s),63.07118607,4.096452890206185,True,Culture
Belarus,2019,Number of mobile apps available in national language(s),61.59344482,4.020280660824742,True,Culture
Belize,2019,Number of mobile apps available in national language(s),70.0,4.453608247422681,True,Culture
Bolivia,2019,Number of mobile apps available in national language(s),89.72428894,5.470324172164949,True,Culture
Brazil,2019,Number of mobile apps available in national language(s),82.82642365,5.114764105670103,True,Culture
Barbados,2019,Number of mobile apps available in national language(s),100.0,6.0,True,Culture
Brunei Darussalam,2019,Number of mobile apps available in national language(s),68.39606476,4.370931173195876,True,Culture
Bhutan,2019,Number of mobile apps available in national language(s),41.66331482,2.992954372164948,True,Culture
Botswana,2019,Number of mobile apps available in national language(s),31.0,2.443298969072165,True,Culture
Central African Republic,2019,Number of mobile apps available in national language(s),24.42541313,2.1044027386597937,True,Culture
Canada,2019,Number of mobile apps available in national language(s),100.0,6.0,True,Culture
Switzerland,2019,Number of mobile apps available in national language(s),89.19731903,5.443160774742268,True,Culture
