Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Austria,2019,Percentage of individuals not buying online due to concerns about returning products,16.72749,5.155298249,False,Digital Wellbeing
Belgium,2019,Percentage of individuals not buying online due to concerns about returning products,9.16428,5.532702428,False,Digital Wellbeing
Czech Republic,2019,Percentage of individuals not buying online due to concerns about returning products,8.857784,5.5479965784,False,Digital Wellbeing
Denmark,2019,Percentage of individuals not buying online due to concerns about returning products,13.27322,5.327666322000001,False,Digital Wellbeing
Estonia,2019,Percentage of individuals not buying online due to concerns about returning products,3.968984,5.7919476984000005,False,Digital Wellbeing
European Union (28 countries),2019,Percentage of individuals not buying online due to concerns about returning products,17.25651,5.128900151,False,Digital Wellbeing
Finland,2019,Percentage of individuals not buying online due to concerns about returning products,46.96071,3.646660571,False,Digital Wellbeing
France,2019,Percentage of individuals not buying online due to concerns about returning products,14.23637,5.279605137,False,Digital Wellbeing
Germany,2019,Percentage of individuals not buying online due to concerns about returning products,16.45007,5.169141507,False,Digital Wellbeing
Greece,2019,Percentage of individuals not buying online due to concerns about returning products,9.599324,5.5109937324,False,Digital Wellbeing
Hungary,2019,Percentage of individuals not buying online due to concerns about returning products,37.60756,4.113382756,False,Digital Wellbeing
Iceland,2019,Percentage of individuals not buying online due to concerns about returning products,26.55182,4.665064182,False,Digital Wellbeing
Ireland,2019,Percentage of individuals not buying online due to concerns about returning products,3.234247,5.8286110747,False,Digital Wellbeing
Italy,2019,Percentage of individuals not buying online due to concerns about returning products,9.380008,5.5219376008,False,Digital Wellbeing
Latvia,2019,Percentage of individuals not buying online due to concerns about returning products,8.105389,5.5855410889,False,Digital Wellbeing
Lithuania,2019,Percentage of individuals not buying online due to concerns about returning products,22.90572,4.847004572,False,Digital Wellbeing
Luxembourg,2019,Percentage of individuals not buying online due to concerns about returning products,6.451037,5.6680932537,False,Digital Wellbeing
Netherlands,2019,Percentage of individuals not buying online due to concerns about returning products,23.33238,4.825714238,False,Digital Wellbeing
Norway,2019,Percentage of individuals not buying online due to concerns about returning products,18.04864,5.089372864,False,Digital Wellbeing
Poland,2019,Percentage of individuals not buying online due to concerns about returning products,5.99294,5.690952294000001,False,Digital Wellbeing
Portugal,2019,Percentage of individuals not buying online due to concerns about returning products,51.07621,3.441297121,False,Digital Wellbeing
Slovak Republic,2019,Percentage of individuals not buying online due to concerns about returning products,14.94759,5.244115259,False,Digital Wellbeing
Slovenia,2019,Percentage of individuals not buying online due to concerns about returning products,6.584446,5.6614361446,False,Digital Wellbeing
Spain,2019,Percentage of individuals not buying online due to concerns about returning products,40.65151,3.961489651,False,Digital Wellbeing
Sweden,2019,Percentage of individuals not buying online due to concerns about returning products,18.05926,5.088842926,False,Digital Wellbeing
Switzerland,2019,Percentage of individuals not buying online due to concerns about returning products,49.22826,3.5335098260000004,False,Digital Wellbeing
Turkey,2019,Percentage of individuals not buying online due to concerns about returning products,25.14415,4.735306915,False,Digital Wellbeing
United Kingdom,2019,Percentage of individuals not buying online due to concerns about returning products,21.31299,4.926481799,False,Digital Wellbeing
