Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Austria,2019,Share of individuals using the Internet to interact with public authorities,69.7355,4.486775,True,Culture
Belgium,2019,Share of individuals using the Internet to interact with public authorities,58.605,3.9302499999999996,True,Culture
Brazil,2019,Share of individuals using the Internet to interact with public authorities,34.1941288,2.7097064399999997,True,Culture
Colombia,2019,Share of individuals using the Internet to interact with public authorities,6.274581333,1.31372906665,True,Culture
Czech Republic,2019,Share of individuals using the Internet to interact with public authorities,53.7766,3.6888300000000003,True,Culture
Denmark,2019,Share of individuals using the Internet to interact with public authorities,91.6709,5.583545,True,Culture
Estonia,2019,Share of individuals using the Internet to interact with public authorities,80.0156,5.000780000000001,True,Culture
Finland,2019,Share of individuals using the Internet to interact with public authorities,87.2954,5.36477,True,Culture
France,2019,Share of individuals using the Internet to interact with public authorities,74.7242,4.73621,True,Culture
Germany,2019,Share of individuals using the Internet to interact with public authorities,59.0977,3.9548850000000004,True,Culture
Greece,2019,Share of individuals using the Internet to interact with public authorities,52.094,3.6047000000000002,True,Culture
Hungary,2019,Share of individuals using the Internet to interact with public authorities,52.7943,3.639715,True,Culture
Iceland,2019,Share of individuals using the Internet to interact with public authorities,89.2289,5.461445,True,Culture
Ireland,2019,Share of individuals using the Internet to interact with public authorities,61.0978,4.05489,True,Culture
Israel,2019,Share of individuals using the Internet to interact with public authorities,48.8,3.44,True,Culture
Italy,2019,Share of individuals using the Internet to interact with public authorities,23.4081,2.170405,True,Culture
Latvia,2019,Share of individuals using the Internet to interact with public authorities,69.5723,4.478615,True,Culture
Lithuania,2019,Share of individuals using the Internet to interact with public authorities,54.7333,3.736665,True,Culture
Luxembourg,2019,Share of individuals using the Internet to interact with public authorities,60.142,4.0071,True,Culture
Mexico,2019,Share of individuals using the Internet to interact with public authorities,30.23339172,2.511669586,True,Culture
Netherlands,2019,Share of individuals using the Internet to interact with public authorities,81.2052,5.06026,True,Culture
Norway,2019,Share of individuals using the Internet to interact with public authorities,86.7176,5.33588,True,Culture
Poland,2019,Share of individuals using the Internet to interact with public authorities,40.4464,3.0223199999999997,True,Culture
Portugal,2019,Share of individuals using the Internet to interact with public authorities,40.9813,3.049065,True,Culture
Slovak Republic,2019,Share of individuals using the Internet to interact with public authorities,58.9522,3.9476099999999996,True,Culture
Slovenia,2019,Share of individuals using the Internet to interact with public authorities,53.0449,3.6522449999999997,True,Culture
Spain,2019,Share of individuals using the Internet to interact with public authorities,57.6411,3.8820550000000003,True,Culture
Sweden,2019,Share of individuals using the Internet to interact with public authorities,85.9804,5.2990200000000005,True,Culture
Switzerland,2019,Share of individuals using the Internet to interact with public authorities,74.817723,4.74088615,True,Culture
Turkey,2019,Share of individuals using the Internet to interact with public authorities,51.2065,3.5603249999999997,True,Culture
United Kingdom,2019,Share of individuals using the Internet to interact with public authorities,62.991,4.14955,True,Culture
