Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
UAE,2021,Social media penetration,99.0,5.95,True,Usage and Ownership
South Korea,2021,Social media penetration,89.3,5.465,True,Usage and Ownership
Taiwan,2021,Social media penetration,88.1,5.405,True,Usage and Ownership
Netherlands,2021,Social media penetration,88.0,5.4,True,Usage and Ownership
Malaysia,2021,Social media penetration,86.0,5.3,True,Usage and Ownership
Hong Kong,2021,Social media penetration,85.6,5.28,True,Usage and Ownership
Canada,2021,Social media penetration,84.9,5.245,True,Usage and Ownership
Singapore,2021,Social media penetration,84.4,5.22,True,Usage and Ownership
Denmark,2021,Social media penetration,83.6,5.18,True,Usage and Ownership
Sweden,2021,Social media penetration,82.1,5.105,True,Usage and Ownership
New Zealand,2021,Social media penetration,82.0,5.1,True,Usage and Ownership
Switzerland,2021,Social media penetration,81.8,5.09,True,Usage and Ownership
Philippines,2021,Social media penetration,80.7,5.035,True,Usage and Ownership
Spain,2021,Social media penetration,80.0,5.0,True,Usage and Ownership
Australia,2021,Social media penetration,79.9,4.995,True,Usage and Ownership
Austria,2021,Social media penetration,79.9,4.995,True,Usage and Ownership
Saudi Arabia,2021,Social media penetration,79.3,4.965,True,Usage and Ownership
Argentina,2021,Social media penetration,79.3,4.965,True,Usage and Ownership
Thailand,2021,Social media penetration,78.7,4.9350000000000005,True,Usage and Ownership
Germany,2021,Social media penetration,78.7,4.9350000000000005,True,Usage and Ownership
Israel,2021,Social media penetration,78.1,4.904999999999999,True,Usage and Ownership
UK,2021,Social media penetration,77.9,4.895,True,Usage and Ownership
Mexico,2021,Social media penetration,77.2,4.859999999999999,True,Usage and Ownership
Portugal,2021,Social media penetration,76.6,4.83,True,Usage and Ownership
Colombia,2021,Social media penetration,76.4,4.82,True,Usage and Ownership
Ireland,2021,Social media penetration,76.4,4.82,True,Usage and Ownership
Belgium,2021,Social media penetration,76.0,4.8,True,Usage and Ownership
France,2021,Social media penetration,75.9,4.795,True,Usage and Ownership
Japan,2021,Social media penetration,74.3,4.715,True,Usage and Ownership
Vietnam,2021,Social media penetration,73.7,4.6850000000000005,True,Usage and Ownership
United States,2021,Social media penetration,72.3,4.615,True,Usage and Ownership
Turkey,2021,Social media penetration,70.8,4.54,True,Usage and Ownership
Brazil,2021,Social media penetration,70.3,4.515000000000001,True,Usage and Ownership
Poland,2021,Social media penetration,68.5,4.425,True,Usage and Ownership
Italy,2021,Social media penetration,67.9,4.395,True,Usage and Ownership
Russia,2021,Social media penetration,67.8,4.390000000000001,True,Usage and Ownership
China,2021,Social media penetration,64.6,4.23,True,Usage and Ownership
Romania,2021,Social media penetration,62.6,4.13,True,Usage and Ownership
Indonesia,2021,Social media penetration,61.8,4.09,True,Usage and Ownership
Morocco,2021,Social media penetration,59.3,3.965,True,Usage and Ownership
Worldwide,2021,Social media penetration,53.6,3.68,True,Usage and Ownership
Egypt,2021,Social media penetration,47.4,3.37,True,Usage and Ownership
South Africa,2021,Social media penetration,41.9,3.095,True,Usage and Ownership
India,2021,Social media penetration,32.3,2.615,True,Usage and Ownership
Ghana,2021,Social media penetration,26.1,2.3049999999999997,True,Usage and Ownership
Kenya,2021,Social media penetration,20.2,2.01,True,Usage and Ownership
Nigeria,2021,Social media penetration,15.8,1.79,True,Usage and Ownership
