Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,Tax as % of total cost of mobile ownership,79.16,2.039916,False,Usage and ownership
Angola,2019,Tax as % of total cost of mobile ownership,65.83,2.705083,False,Usage and ownership
Albania,2019,Tax as % of total cost of mobile ownership,50.0,3.495,False,Usage and ownership
United Arab Emirates,2019,Tax as % of total cost of mobile ownership,82.31,1.8827310000000006,False,Usage and ownership
Argentina,2019,Tax as % of total cost of mobile ownership,5.23,5.729023,False,Usage and ownership
Armenia,2019,Tax as % of total cost of mobile ownership,57.58,3.116758,False,Usage and ownership
Australia,2019,Tax as % of total cost of mobile ownership,75.0,2.2475000000000005,False,Usage and ownership
Austria,2019,Tax as % of total cost of mobile ownership,50.0,3.495,False,Usage and ownership
Azerbaijan,2019,Tax as % of total cost of mobile ownership,36.41,4.173141,False,Usage and ownership
Burundi,2019,Tax as % of total cost of mobile ownership,44.57,3.765957,False,Usage and ownership
Belgium,2019,Tax as % of total cost of mobile ownership,47.5,3.6197500000000002,False,Usage and ownership
Benin,2019,Tax as % of total cost of mobile ownership,53.75,3.3078749999999997,False,Usage and ownership
Burkina Faso,2019,Tax as % of total cost of mobile ownership,61.02,2.9451020000000003,False,Usage and ownership
Bangladesh,2019,Tax as % of total cost of mobile ownership,0.0,5.99,False,Usage and ownership
Bulgaria,2019,Tax as % of total cost of mobile ownership,50.0,3.495,False,Usage and ownership
Bahrain,2019,Tax as % of total cost of mobile ownership,87.24,1.636724,False,Usage and ownership
Bahamas,2019,Tax as % of total cost of mobile ownership,50.29,3.480529,False,Usage and ownership
Bosnia and Herzegovina,2019,Tax as % of total cost of mobile ownership,64.49,2.771949,False,Usage and ownership
Belarus,2019,Tax as % of total cost of mobile ownership,37.5,4.11875,False,Usage and ownership
Belize,2019,Tax as % of total cost of mobile ownership,59.11,3.0404109999999998,False,Usage and ownership
Bolivia,2019,Tax as % of total cost of mobile ownership,46.72,3.658672,False,Usage and ownership
Brazil,2019,Tax as % of total cost of mobile ownership,1.84,5.8981840000000005,False,Usage and ownership
Barbados,2019,Tax as % of total cost of mobile ownership,47.35,3.6272349999999998,False,Usage and ownership
Brunei Darussalam,2019,Tax as % of total cost of mobile ownership,95.06,1.2465059999999992,False,Usage and ownership
Bhutan,2019,Tax as % of total cost of mobile ownership,50.0,3.495,False,Usage and ownership
Botswana,2019,Tax as % of total cost of mobile ownership,70.0,2.497,False,Usage and ownership
Central African Republic,2019,Tax as % of total cost of mobile ownership,32.22,4.3822220000000005,False,Usage and ownership
Canada,2019,Tax as % of total cost of mobile ownership,67.78,2.6077779999999997,False,Usage and ownership
Switzerland,2019,Tax as % of total cost of mobile ownership,80.75,1.9605750000000004,False,Usage and ownership
Chile,2019,Tax as % of total cost of mobile ownership,48.62,3.5638620000000003,False,Usage and ownership
China,2019,Tax as % of total cost of mobile ownership,73.87,2.3038869999999996,False,Usage and ownership
Cote d'Ivoire,2019,Tax as % of total cost of mobile ownership,2.88,5.846288,False,Usage and ownership
Cameroon,2019,Tax as % of total cost of mobile ownership,39.54,4.016954,False,Usage and ownership
"Congo, Democratic Republic",2019,Tax as % of total cost of mobile ownership,27.55,4.615255,False,Usage and ownership
Congo,2019,Tax as % of total cost of mobile ownership,43.42,3.8233420000000002,False,Usage and ownership
Colombia,2019,Tax as % of total cost of mobile ownership,51.21,3.434621,False,Usage and ownership
Comoros,2019,Tax as % of total cost of mobile ownership,0.0,5.99,False,Usage and ownership
Cabo Verde,2019,Tax as % of total cost of mobile ownership,50.46,3.4720459999999997,False,Usage and ownership
Costa Rica,2019,Tax as % of total cost of mobile ownership,49.81,3.504481,False,Usage and ownership
Cyprus,2019,Tax as % of total cost of mobile ownership,52.5,3.37025,False,Usage and ownership
Czechia,2019,Tax as % of total cost of mobile ownership,47.5,3.6197500000000002,False,Usage and ownership
Germany,2019,Tax as % of total cost of mobile ownership,52.5,3.37025,False,Usage and ownership
Denmark,2019,Tax as % of total cost of mobile ownership,37.5,4.11875,False,Usage and ownership
Dominican Republic,2019,Tax as % of total cost of mobile ownership,22.53,4.865753,False,Usage and ownership
Algeria,2019,Tax as % of total cost of mobile ownership,51.71,3.409671,False,Usage and ownership
Ecuador,2019,Tax as % of total cost of mobile ownership,70.0,2.497,False,Usage and ownership
Egypt,2019,Tax as % of total cost of mobile ownership,37.54,4.116754,False,Usage and ownership
Spain,2019,Tax as % of total cost of mobile ownership,47.5,3.6197500000000002,False,Usage and ownership
Estonia,2019,Tax as % of total cost of mobile ownership,50.0,3.495,False,Usage and ownership
Ethiopia,2019,Tax as % of total cost of mobile ownership,62.5,2.87125,False,Usage and ownership
Finland,2019,Tax as % of total cost of mobile ownership,40.0,3.9939999999999998,False,Usage and ownership
Fiji,2019,Tax as % of total cost of mobile ownership,94.98,1.2504979999999994,False,Usage and ownership
France,2019,Tax as % of total cost of mobile ownership,50.0,3.495,False,Usage and ownership
Gabon,2019,Tax as % of total cost of mobile ownership,9.86,5.497986,False,Usage and ownership
United Kingdom,2019,Tax as % of total cost of mobile ownership,50.0,3.495,False,Usage and ownership
Georgia,2019,Tax as % of total cost of mobile ownership,50.04,3.493004,False,Usage and ownership
Ghana,2019,Tax as % of total cost of mobile ownership,27.31,4.627231,False,Usage and ownership
Guinea,2019,Tax as % of total cost of mobile ownership,29.3,4.52793,False,Usage and ownership
Gambia,2019,Tax as % of total cost of mobile ownership,56.12,3.1896120000000003,False,Usage and ownership
Guinea-Bissau,2019,Tax as % of total cost of mobile ownership,36.93,4.147193000000001,False,Usage and ownership
Greece,2019,Tax as % of total cost of mobile ownership,16.44,5.169644,False,Usage and ownership
Guatemala,2019,Tax as % of total cost of mobile ownership,70.0,2.497,False,Usage and ownership
Guyana,2019,Tax as % of total cost of mobile ownership,55.88,3.201588,False,Usage and ownership
Hong Kong,2019,Tax as % of total cost of mobile ownership,100.0,1.0,False,Usage and ownership
Honduras,2019,Tax as % of total cost of mobile ownership,58.84,3.053884,False,Usage and ownership
Croatia,2019,Tax as % of total cost of mobile ownership,37.5,4.11875,False,Usage and ownership
Haiti,2019,Tax as % of total cost of mobile ownership,50.09,3.490509,False,Usage and ownership
Hungary,2019,Tax as % of total cost of mobile ownership,55.53,3.2190529999999997,False,Usage and ownership
Indonesia,2019,Tax as % of total cost of mobile ownership,71.73,2.410673,False,Usage and ownership
