,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
2,Norway,2019,UNDP Human Development Index (HDI) ,0.957,6.0,True,Culture
3,Ireland,2019,UNDP Human Development Index (HDI) ,0.955,5.982238010657194,True,Culture
4,Switzerland,2019,UNDP Human Development Index (HDI) ,0.955,5.982238010657194,True,Culture
5,"Hong Kong, China (SAR)",2019,UNDP Human Development Index (HDI) ,0.949,5.928952042628774,True,Culture
6,Iceland,2019,UNDP Human Development Index (HDI) ,0.949,5.928952042628774,True,Culture
7,Germany,2019,UNDP Human Development Index (HDI) ,0.947,5.911190053285968,True,Culture
8,Sweden,2019,UNDP Human Development Index (HDI) ,0.945,5.893428063943162,True,Culture
9,Australia,2019,UNDP Human Development Index (HDI) ,0.944,5.8845470692717585,True,Culture
10,Netherlands,2019,UNDP Human Development Index (HDI) ,0.944,5.8845470692717585,True,Culture
11,Denmark,2019,UNDP Human Development Index (HDI) ,0.94,5.849023090586146,True,Culture
12,Finland,2019,UNDP Human Development Index (HDI) ,0.938,5.8312611012433395,True,Culture
13,Singapore,2019,UNDP Human Development Index (HDI) ,0.938,5.8312611012433395,True,Culture
14,United Kingdom,2019,UNDP Human Development Index (HDI) ,0.932,5.777975133214921,True,Culture
15,Belgium,2019,UNDP Human Development Index (HDI) ,0.931,5.769094138543517,True,Culture
16,New Zealand,2019,UNDP Human Development Index (HDI) ,0.931,5.769094138543517,True,Culture
17,Canada,2019,UNDP Human Development Index (HDI) ,0.929,5.751332149200711,True,Culture
18,United States,2019,UNDP Human Development Index (HDI) ,0.926,5.7246891651865015,True,Culture
19,Austria,2019,UNDP Human Development Index (HDI) ,0.922,5.6891651865008885,True,Culture
20,Israel,2019,UNDP Human Development Index (HDI) ,0.919,5.662522202486679,True,Culture
21,Japan,2019,UNDP Human Development Index (HDI) ,0.919,5.662522202486679,True,Culture
22,Liechtenstein,2019,UNDP Human Development Index (HDI) ,0.919,5.662522202486679,True,Culture
23,Slovenia,2019,UNDP Human Development Index (HDI) ,0.917,5.644760213143873,True,Culture
24,Korea (Republic of),2019,UNDP Human Development Index (HDI) ,0.916,5.6358792184724695,True,Culture
25,Luxembourg,2019,UNDP Human Development Index (HDI) ,0.916,5.6358792184724695,True,Culture
26,Spain,2019,UNDP Human Development Index (HDI) ,0.904,5.529307282415631,True,Culture
27,France,2019,UNDP Human Development Index (HDI) ,0.901,5.502664298401422,True,Culture
28,Czechia,2019,UNDP Human Development Index (HDI) ,0.9,5.4937833037300186,True,Culture
29,Malta,2019,UNDP Human Development Index (HDI) ,0.895,5.449378330373002,True,Culture
