Country Code,Country Name,Indicator,data_col,new_rank_score,higher_is_better
AGO,Angola,"Venture capital availability, 1-7 (best)",141.0,1.0,True
ALB,Albania,"Venture capital availability, 1-7 (best)",81.0,3.142857142857143,True
ARE,United Arab Emirates,"Venture capital availability, 1-7 (best)",4.0,5.892857142857142,True
ARG,Argentina,"Venture capital availability, 1-7 (best)",118.0,1.8214285714285712,True
ARM,Armenia,"Venture capital availability, 1-7 (best)",56.0,4.035714285714286,True
AUS,Australia,"Venture capital availability, 1-7 (best)",46.0,4.392857142857142,True
AUT,Austria,"Venture capital availability, 1-7 (best)",38.0,4.678571428571429,True
AZE,Azerbaijan,"Venture capital availability, 1-7 (best)",24.0,5.178571428571429,True
BDI,Burundi,"Venture capital availability, 1-7 (best)",78.0,3.25,True
BEL,Belgium,"Venture capital availability, 1-7 (best)",31.0,4.928571428571429,True
BEN,Benin,"Venture capital availability, 1-7 (best)",126.0,1.5357142857142856,True
BFA,Burkina Faso,"Venture capital availability, 1-7 (best)",140.0,1.0357142857142856,True
BGD,Bangladesh,"Venture capital availability, 1-7 (best)",112.0,2.0357142857142856,True
BGR,Bulgaria,"Venture capital availability, 1-7 (best)",54.0,4.107142857142858,True
BHR,Bahrain,"Venture capital availability, 1-7 (best)",20.0,5.321428571428571,True
BIH,Bosnia and Herzegovina,"Venture capital availability, 1-7 (best)",117.0,1.8571428571428568,True
BLZ,Belize,"Venture capital availability, 1-7 (best)",,,True
BOL,Bolivia,"Venture capital availability, 1-7 (best)",108.0,2.178571428571429,True
BRA,Brazil,"Venture capital availability, 1-7 (best)",74.0,3.392857142857143,True
BRB,Barbados,"Venture capital availability, 1-7 (best)",132.0,1.3214285714285712,True
BRN,Brunei Darussalam,"Venture capital availability, 1-7 (best)",64.0,3.75,True
BTN,Bhutan,"Venture capital availability, 1-7 (best)",,,True
BWA,Botswana,"Venture capital availability, 1-7 (best)",98.0,2.5357142857142856,True
CAN,Canada,"Venture capital availability, 1-7 (best)",27.0,5.071428571428571,True
CHE,Switzerland,"Venture capital availability, 1-7 (best)",16.0,5.464285714285714,True
CHL,Chile,"Venture capital availability, 1-7 (best)",35.0,4.785714285714286,True
CHN,China,"Venture capital availability, 1-7 (best)",13.0,5.571428571428571,True
CIV,Cote d'Ivoire,"Venture capital availability, 1-7 (best)",,,True
CMR,Cameroon,"Venture capital availability, 1-7 (best)",103.0,2.3571428571428577,True
COD,"Congo, Dem. Rep.","Venture capital availability, 1-7 (best)",,,True
COL,Colombia,"Venture capital availability, 1-7 (best)",70.0,3.5357142857142856,True
CPV,Cabo Verde,"Venture capital availability, 1-7 (best)",85.0,3.0,True
CRI,Costa Rica,"Venture capital availability, 1-7 (best)",96.0,2.6071428571428577,True
CYP,Cyprus,"Venture capital availability, 1-7 (best)",99.0,2.5,True
CZE,Czech Republic,"Venture capital availability, 1-7 (best)",32.0,4.892857142857142,True
DEU,Germany,"Venture capital availability, 1-7 (best)",7.0,5.785714285714286,True
DNK,Denmark,"Venture capital availability, 1-7 (best)",33.0,4.857142857142858,True
DOM,Dominican Republic,"Venture capital availability, 1-7 (best)",65.0,3.7142857142857144,True
DZA,Algeria,"Venture capital availability, 1-7 (best)",49.0,4.285714285714286,True
ECU,Ecuador,"Venture capital availability, 1-7 (best)",101.0,2.428571428571429,True
EGY,"Egypt, Arab Rep.","Venture capital availability, 1-7 (best)",75.0,3.357142857142857,True
ESP,Spain,"Venture capital availability, 1-7 (best)",29.0,5.0,True
EST,Estonia,"Venture capital availability, 1-7 (best)",30.0,4.964285714285714,True
ETH,Ethiopia,"Venture capital availability, 1-7 (best)",59.0,3.9285714285714284,True
FIN,Finland,"Venture capital availability, 1-7 (best)",3.0,5.928571428571429,True
FRA,France,"Venture capital availability, 1-7 (best)",19.0,5.357142857142858,True
GAB,Gabon,"Venture capital availability, 1-7 (best)",136.0,1.1785714285714288,True
GBR,United Kingdom,"Venture capital availability, 1-7 (best)",10.0,5.678571428571429,True
GEO,Georgia,"Venture capital availability, 1-7 (best)",109.0,2.1428571428571423,True
GHA,Ghana,"Venture capital availability, 1-7 (best)",93.0,2.7142857142857144,True
GIN,Guinea,"Venture capital availability, 1-7 (best)",43.0,4.5,True
GMB,"Gambia, The","Venture capital availability, 1-7 (best)",84.0,3.0357142857142856,True
GRC,Greece,"Venture capital availability, 1-7 (best)",120.0,1.75,True
GTM,Guatemala,"Venture capital availability, 1-7 (best)",71.0,3.5,True
GUY,Guyana,"Venture capital availability, 1-7 (best)",,,True
HKG,"Hong Kong SAR, China","Venture capital availability, 1-7 (best)",,,True
HND,Honduras,"Venture capital availability, 1-7 (best)",87.0,2.928571428571429,True
HRV,Croatia,"Venture capital availability, 1-7 (best)",106.0,2.25,True
HTI,Haiti,"Venture capital availability, 1-7 (best)",137.0,1.1428571428571432,True
HUN,Hungary,"Venture capital availability, 1-7 (best)",47.0,4.357142857142858,True
IDN,Indonesia,"Venture capital availability, 1-7 (best)",37.0,4.714285714285714,True
IND,India,"Venture capital availability, 1-7 (best)",22.0,5.25,True
IRL,Ireland,"Venture capital availability, 1-7 (best)",45.0,4.428571428571429,True
IRN,"Iran, Islamic Rep.","Venture capital availability, 1-7 (best)",121.0,1.7142857142857144,True
ISL,Iceland,"Venture capital availability, 1-7 (best)",40.0,4.607142857142858,True
ISR,Israel,"Venture capital availability, 1-7 (best)",2.0,5.964285714285714,True
ITA,Italy,"Venture capital availability, 1-7 (best)",111.0,2.071428571428571,True
JAM,Jamaica,"Venture capital availability, 1-7 (best)",107.0,2.2142857142857144,True
JOR,Jordan,"Venture capital availability, 1-7 (best)",26.0,5.107142857142858,True
JPN,Japan,"Venture capital availability, 1-7 (best)",17.0,5.428571428571429,True
KAZ,Kazakhstan,"Venture capital availability, 1-7 (best)",89.0,2.8571428571428577,True
KEN,Kenya,"Venture capital availability, 1-7 (best)",79.0,3.2142857142857144,True
KGZ,Kyrgyz Republic,"Venture capital availability, 1-7 (best)",102.0,2.3928571428571423,True
KHM,Cambodia,"Venture capital availability, 1-7 (best)",66.0,3.6785714285714284,True
KOR,"Korea, Rep.","Venture capital availability, 1-7 (best)",51.0,4.214285714285714,True
KWT,Kuwait,"Venture capital availability, 1-7 (best)",21.0,5.285714285714286,True
LAO,Lao PDR,"Venture capital availability, 1-7 (best)",67.0,3.642857142857143,True
LBN,Lebanon,"Venture capital availability, 1-7 (best)",62.0,3.8214285714285716,True
LBR,Liberia,"Venture capital availability, 1-7 (best)",,,True
LBY,Libya,"Venture capital availability, 1-7 (best)",,,True
LKA,Sri Lanka,"Venture capital availability, 1-7 (best)",57.0,4.0,True
LSO,Lesotho,"Venture capital availability, 1-7 (best)",138.0,1.1071428571428568,True
LTU,Lithuania,"Venture capital availability, 1-7 (best)",63.0,3.7857142857142856,True
LUX,Luxembourg,"Venture capital availability, 1-7 (best)",11.0,5.642857142857142,True
LVA,Latvia,"Venture capital availability, 1-7 (best)",48.0,4.321428571428571,True
MAR,Morocco,"Venture capital availability, 1-7 (best)",86.0,2.9642857142857144,True
MDA,Moldova,"Venture capital availability, 1-7 (best)",116.0,1.8928571428571432,True
MDG,Madagascar,"Venture capital availability, 1-7 (best)",113.0,2.0,True
MEX,Mexico,"Venture capital availability, 1-7 (best)",58.0,3.9642857142857144,True
MKD,"Macedonia, FYR","Venture capital availability, 1-7 (best)",100.0,2.4642857142857144,True
MLI,Mali,"Venture capital availability, 1-7 (best)",97.0,2.571428571428571,True
MLT,Malta,"Venture capital availability, 1-7 (best)",83.0,3.0714285714285716,True
MMR,Myanmar,"Venture capital availability, 1-7 (best)",,,True
MNE,Montenegro,"Venture capital availability, 1-7 (best)",39.0,4.642857142857142,True
MNG,Mongolia,"Venture capital availability, 1-7 (best)",124.0,1.6071428571428568,True
MOZ,Mozambique,"Venture capital availability, 1-7 (best)",131.0,1.3571428571428568,True
MRT,Mauritania,"Venture capital availability, 1-7 (best)",127.0,1.5,True
MUS,Mauritius,"Venture capital availability, 1-7 (best)",72.0,3.4642857142857144,True
MWI,Malawi,"Venture capital availability, 1-7 (best)",135.0,1.2142857142857144,True
MYS,Malaysia,"Venture capital availability, 1-7 (best)",9.0,5.714285714285714,True
NAM,Namibia,"Venture capital availability, 1-7 (best)",82.0,3.107142857142857,True
NGA,Nigeria,"Venture capital availability, 1-7 (best)",133.0,1.2857142857142856,True
NIC,Nicaragua,"Venture capital availability, 1-7 (best)",123.0,1.6428571428571432,True
NLD,Netherlands,"Venture capital availability, 1-7 (best)",14.0,5.535714285714286,True
NOR,Norway,"Venture capital availability, 1-7 (best)",28.0,5.035714285714286,True
NPL,Nepal,"Venture capital availability, 1-7 (best)",92.0,2.75,True
NZL,New Zealand,"Venture capital availability, 1-7 (best)",18.0,5.392857142857142,True
OMN,Oman,"Venture capital availability, 1-7 (best)",23.0,5.214285714285714,True
PAK,Pakistan,"Venture capital availability, 1-7 (best)",36.0,4.75,True
PAN,Panama,"Venture capital availability, 1-7 (best)",52.0,4.178571428571429,True
PER,Peru,"Venture capital availability, 1-7 (best)",73.0,3.4285714285714284,True
PHL,Philippines,"Venture capital availability, 1-7 (best)",44.0,4.464285714285714,True
POL,Poland,"Venture capital availability, 1-7 (best)",90.0,2.821428571428571,True
PRI,Puerto Rico,"Venture capital availability, 1-7 (best)",,,True
PRT,Portugal,"Venture capital availability, 1-7 (best)",50.0,4.25,True
PRY,Paraguay,"Venture capital availability, 1-7 (best)",91.0,2.7857142857142856,True
QAT,Qatar,"Venture capital availability, 1-7 (best)",5.0,5.857142857142858,True
ROU,Romania,"Venture capital availability, 1-7 (best)",104.0,2.321428571428571,True
RUS,Russian Federation,"Venture capital availability, 1-7 (best)",94.0,2.678571428571429,True
RWA,Rwanda,"Venture capital availability, 1-7 (best)",41.0,4.571428571428571,True
SAU,Saudi Arabia,"Venture capital availability, 1-7 (best)",12.0,5.607142857142858,True
SEN,Senegal,"Venture capital availability, 1-7 (best)",105.0,2.2857142857142856,True
SGP,Singapore,"Venture capital availability, 1-7 (best)",6.0,5.821428571428571,True
SLE,Sierra Leone,"Venture capital availability, 1-7 (best)",,,True
SLV,El Salvador,"Venture capital availability, 1-7 (best)",110.0,2.1071428571428577,True
SRB,Serbia,"Venture capital availability, 1-7 (best)",69.0,3.5714285714285716,True
SUR,Suriname,"Venture capital availability, 1-7 (best)",,,True
SVK,Slovak Republic,"Venture capital availability, 1-7 (best)",42.0,4.535714285714286,True
SVN,Slovenia,"Venture capital availability, 1-7 (best)",60.0,3.892857142857143,True
SWE,Sweden,"Venture capital availability, 1-7 (best)",15.0,5.5,True
SWZ,Swaziland,"Venture capital availability, 1-7 (best)",,,True
SYC,Seychelles,"Venture capital availability, 1-7 (best)",53.0,4.142857142857142,True
SYR,Syrian Arab Republic,"Venture capital availability, 1-7 (best)",,,True
TCD,Chad,"Venture capital availability, 1-7 (best)",122.0,1.6785714285714288,True
THA,Thailand,"Venture capital availability, 1-7 (best)",34.0,4.821428571428571,True
TJK,Tajikistan,"Venture capital availability, 1-7 (best)",55.0,4.071428571428571,True
TLS,Timor-Leste,"Venture capital availability, 1-7 (best)",,,True
TTO,Trinidad and Tobago,"Venture capital availability, 1-7 (best)",119.0,1.7857142857142856,True
TUN,Tunisia,"Venture capital availability, 1-7 (best)",95.0,2.6428571428571423,True
TUR,Turkey,"Venture capital availability, 1-7 (best)",88.0,2.8928571428571423,True
TWN,"Taiwan, China","Venture capital availability, 1-7 (best)",25.0,5.142857142857142,True
TZA,Tanzania,"Venture capital availability, 1-7 (best)",76.0,3.3214285714285716,True
UGA,Uganda,"Venture capital availability, 1-7 (best)",114.0,1.9642857142857144,True
UKR,Ukraine,"Venture capital availability, 1-7 (best)",80.0,3.1785714285714284,True
URY,Uruguay,"Venture capital availability, 1-7 (best)",68.0,3.607142857142857,True
USA,United States,"Venture capital availability, 1-7 (best)",1.0,6.0,True
