Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Business,Afghanistan,2019,Time required to start a business (days),8.5,4.7425,False,Startup Environment
Business,Albania,2019,Time required to start a business (days),4.5,5.99,False,Startup Environment
Business,Algeria,2019,Time required to start a business (days),18.0,2.2475000000000005,False,Startup Environment
Business,Angola,2019,Time required to start a business (days),36.0,1.0,False,Startup Environment
Business,Antigua and Barbuda,2019,Time required to start a business (days),19.0,2.2475000000000005,False,Startup Environment
Business,Argentina,2019,Time required to start a business (days),11.5,4.7425,False,Startup Environment
Business,Armenia,2019,Time required to start a business (days),4.0,5.99,False,Startup Environment
Business,Australia,2019,Time required to start a business (days),2.0,5.99,False,Startup Environment
Business,Austria,2019,Time required to start a business (days),21.0,2.2475000000000005,False,Startup Environment
Business,Azerbaijan,2019,Time required to start a business (days),3.5,5.99,False,Startup Environment
Business,"Bahamas, The",2019,Time required to start a business (days),11.5,4.7425,False,Startup Environment
Business,Bahrain,2019,Time required to start a business (days),8.3,4.7425,False,Startup Environment
Business,Bangladesh,2019,Time required to start a business (days),19.5,2.2475000000000005,False,Startup Environment
Business,Barbados,2019,Time required to start a business (days),16.0,3.495,False,Startup Environment
Business,Belarus,2019,Time required to start a business (days),8.5,4.7425,False,Startup Environment
Business,Belgium,2019,Time required to start a business (days),5.0,5.99,False,Startup Environment
Business,Belize,2019,Time required to start a business (days),48.0,1.0,False,Startup Environment
Business,Benin,2019,Time required to start a business (days),8.5,4.7425,False,Startup Environment
Business,Bhutan,2019,Time required to start a business (days),12.0,3.495,False,Startup Environment
Business,Bolivia,2019,Time required to start a business (days),39.5,1.0,False,Startup Environment
Business,Bosnia and Herzegovina,2019,Time required to start a business (days),80.0,1.0,False,Startup Environment
Business,Botswana,2019,Time required to start a business (days),48.0,1.0,False,Startup Environment
Business,Brazil,2019,Time required to start a business (days),16.6,3.495,False,Startup Environment
Business,Brunei Darussalam,2019,Time required to start a business (days),5.5,5.99,False,Startup Environment
Business,Bulgaria,2019,Time required to start a business (days),23.0,2.2475000000000005,False,Startup Environment
Business,Burkina Faso,2019,Time required to start a business (days),13.0,3.495,False,Startup Environment
Business,Burundi,2019,Time required to start a business (days),5.0,5.99,False,Startup Environment
Business,Cabo Verde,2019,Time required to start a business (days),9.0,4.7425,False,Startup Environment
Business,Cambodia,2019,Time required to start a business (days),99.0,1.0,False,Startup Environment
Business,Cameroon,2019,Time required to start a business (days),13.5,3.495,False,Startup Environment
Business,Canada,2019,Time required to start a business (days),1.5,5.99,False,Startup Environment
Business,Central African Republic,2019,Time required to start a business (days),22.0,2.2475000000000005,False,Startup Environment
Business,Chad,2019,Time required to start a business (days),58.0,1.0,False,Startup Environment
Business,Chile,2019,Time required to start a business (days),4.0,5.99,False,Startup Environment
Business,China,2019,Time required to start a business (days),8.5,4.7425,False,Startup Environment
Business,Colombia,2019,Time required to start a business (days),10.0,4.7425,False,Startup Environment
Business,Comoros,2019,Time required to start a business (days),16.0,3.495,False,Startup Environment
Business,"Congo, Dem. Rep.",2019,Time required to start a business (days),7.0,5.99,False,Startup Environment
Business,"Congo, Rep.",2019,Time required to start a business (days),49.5,1.0,False,Startup Environment
Business,Costa Rica,2019,Time required to start a business (days),23.0,2.2475000000000005,False,Startup Environment
Business,Cote d'Ivoire,2019,Time required to start a business (days),6.0,5.99,False,Startup Environment
Business,Croatia,2019,Time required to start a business (days),19.5,2.2475000000000005,False,Startup Environment
Business,Cyprus,2019,Time required to start a business (days),6.0,5.99,False,Startup Environment
Business,Czech Republic,2019,Time required to start a business (days),24.5,2.2475000000000005,False,Startup Environment
Business,Denmark,2019,Time required to start a business (days),3.5,5.99,False,Startup Environment
Business,Djibouti,2019,Time required to start a business (days),14.0,3.495,False,Startup Environment
Business,Dominica,2019,Time required to start a business (days),12.0,3.495,False,Startup Environment
Business,Dominican Republic,2019,Time required to start a business (days),16.5,3.495,False,Startup Environment
Business,Ecuador,2019,Time required to start a business (days),48.5,1.0,False,Startup Environment
Business,"Egypt, Arab Rep.",2019,Time required to start a business (days),12.5,3.495,False,Startup Environment
Business,El Salvador,2019,Time required to start a business (days),16.5,3.495,False,Startup Environment
Business,Equatorial Guinea,2019,Time required to start a business (days),33.0,1.0,False,Startup Environment
Business,Eritrea,2019,Time required to start a business (days),84.0,1.0,False,Startup Environment
Business,Estonia,2019,Time required to start a business (days),3.5,5.99,False,Startup Environment
Business,Eswatini,2019,Time required to start a business (days),21.5,2.2475000000000005,False,Startup Environment
Business,Ethiopia,2019,Time required to start a business (days),32.0,1.0,False,Startup Environment
Business,Fiji,2019,Time required to start a business (days),40.0,1.0,False,Startup Environment
Business,Finland,2019,Time required to start a business (days),13.0,3.495,False,Startup Environment
Business,France,2019,Time required to start a business (days),4.0,5.99,False,Startup Environment
Business,Gabon,2019,Time required to start a business (days),10.0,4.7425,False,Startup Environment
Business,"Gambia, The",2019,Time required to start a business (days),8.0,4.7425,False,Startup Environment
Business,Georgia,2019,Time required to start a business (days),1.0,5.99,False,Startup Environment
Business,Germany,2019,Time required to start a business (days),8.0,4.7425,False,Startup Environment
Business,Ghana,2019,Time required to start a business (days),13.0,3.495,False,Startup Environment
Business,Greece,2019,Time required to start a business (days),4.0,5.99,False,Startup Environment
Business,Grenada,2019,Time required to start a business (days),12.0,3.495,False,Startup Environment
Business,Guatemala,2019,Time required to start a business (days),15.0,3.495,False,Startup Environment
Business,Guinea,2019,Time required to start a business (days),15.0,3.495,False,Startup Environment
Business,Guinea-Bissau,2019,Time required to start a business (days),8.5,4.7425,False,Startup Environment
Business,Guyana,2019,Time required to start a business (days),18.0,2.2475000000000005,False,Startup Environment
Business,Haiti,2019,Time required to start a business (days),97.0,1.0,False,Startup Environment
Business,Honduras,2019,Time required to start a business (days),42.0,1.0,False,Startup Environment
Business,"Hong Kong SAR, China",2019,Time required to start a business (days),1.5,5.99,False,Startup Environment
Business,Hungary,2019,Time required to start a business (days),7.0,5.99,False,Startup Environment
Business,Iceland,2019,Time required to start a business (days),11.5,4.7425,False,Startup Environment
Business,India,2019,Time required to start a business (days),17.5,2.2475000000000005,False,Startup Environment
Business,Indonesia,2019,Time required to start a business (days),12.6,3.495,False,Startup Environment
Business,"Iran, Islamic Rep.",2019,Time required to start a business (days),72.5,1.0,False,Startup Environment
Business,Iraq,2019,Time required to start a business (days),26.5,1.0,False,Startup Environment
Business,Ireland,2019,Time required to start a business (days),11.0,4.7425,False,Startup Environment
Business,Israel,2019,Time required to start a business (days),11.0,4.7425,False,Startup Environment
