Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Infrastructure,United Kingdom of Great Britain and Northern Ireland (the),2019.0,Angel Ecosystem size,2.290371222823181,4.7425,True,Innovation Ecosystem
Infrastructure,Germany,2019.0,Angel Ecosystem size,0.9840785312238598,2.2475,True,Innovation Ecosystem
Infrastructure,Spain,2019.0,Angel Ecosystem size,1.6688759577286831,4.7425,True,Innovation Ecosystem
Infrastructure,Finland,2019.0,Angel Ecosystem size,9.779763351459701,5.99,True,Innovation Ecosystem
Infrastructure,Sweden,2019.0,Angel Ecosystem size,4.288402041972054,5.99,True,Innovation Ecosystem
Infrastructure,France,2019.0,Angel Ecosystem size,0.6394154160915522,2.2475,True,Innovation Ecosystem
Infrastructure,Denmark,2019.0,Angel Ecosystem size,5.734017929899138,5.99,True,Innovation Ecosystem
Infrastructure,Switzerland,2019.0,Angel Ecosystem size,3.8016251364386937,4.7425,True,Innovation Ecosystem
Infrastructure,Italy,2019.0,Angel Ecosystem size,0.4721318246969177,2.2475,True,Innovation Ecosystem
Infrastructure,Russian Federation (the),2019.0,Angel Ecosystem size,0.18060158762783837,1.0,True,Innovation Ecosystem
Infrastructure,Turkey,2019.0,Angel Ecosystem size,0.2548256040568428,1.0,True,Innovation Ecosystem
Infrastructure,Austria,2019.0,Angel Ecosystem size,2.2646600419823604,4.7425,True,Innovation Ecosystem
Infrastructure,Netherlands (the),2019.0,Angel Ecosystem size,1.1173329941745325,3.495,True,Innovation Ecosystem
Infrastructure,Belgium,2019.0,Angel Ecosystem size,1.4875123814298572,3.495,True,Innovation Ecosystem
Infrastructure,Ireland,2019.0,Angel Ecosystem size,3.404710660392271,4.7425,True,Innovation Ecosystem
Infrastructure,Poland,2019.0,Angel Ecosystem size,0.43355179936508104,1.0,True,Innovation Ecosystem
Infrastructure,Portugal,2019.0,Angel Ecosystem size,1.312429985505912,3.495,True,Innovation Ecosystem
Infrastructure,Estonia,2019.0,Angel Ecosystem size,6.993755360246229,5.99,True,Innovation Ecosystem
Infrastructure,Norway,2019.0,Angel Ecosystem size,1.1462451775427196,3.495,True,Innovation Ecosystem
Infrastructure,Greece,2019.0,Angel Ecosystem size,0.41225259481296694,1.0,True,Innovation Ecosystem
Infrastructure,Bulgaria,2019.0,Angel Ecosystem size,0.6106860599151834,2.2475,True,Innovation Ecosystem
Infrastructure,Luxembourg,2019.0,Angel Ecosystem size,5.419346097828875,5.99,True,Innovation Ecosystem
Infrastructure,Lithuania,2019.0,Angel Ecosystem size,1.1273606125970201,3.495,True,Innovation Ecosystem
Infrastructure,Hungary,2019.0,Angel Ecosystem size,0.2179888715145959,1.0,True,Innovation Ecosystem
Infrastructure,Cyprus,2019.0,Angel Ecosystem size,0.6340868398613686,2.2475,True,Innovation Ecosystem
Infrastructure,Serbia,2019.0,Angel Ecosystem size,0.04463491876084826,1.0,True,Innovation Ecosystem
