Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Afghanistan,2019,"Country, Industry, Skill Migration Data (Industry)",-1369.0,2.575725018683783,True,Innovation Ecosystem
Albania,2019,"Country, Industry, Skill Migration Data (Industry)",-2188.08,2.219243196905086,True,Innovation Ecosystem
Algeria,2019,"Country, Industry, Skill Migration Data (Industry)",-3243.7800000000007,1.9751755918783924,True,Innovation Ecosystem
Angola,2019,"Country, Industry, Skill Migration Data (Industry)",544.66,4.202195956535367,True,Innovation Ecosystem
Argentina,2019,"Country, Industry, Skill Migration Data (Industry)",-4122.869999999999,1.9515647776096654,True,Innovation Ecosystem
Armenia,2019,"Country, Industry, Skill Migration Data (Industry)",-308.21999999999997,3.241896251559233,True,Innovation Ecosystem
Australia,2019,"Country, Industry, Skill Migration Data (Industry)",13732.49,5.558224996095332,True,Innovation Ecosystem
Austria,2019,"Country, Industry, Skill Migration Data (Industry)",7143.279999999999,5.229137196338853,True,Innovation Ecosystem
Azerbaijan,2019,"Country, Industry, Skill Migration Data (Industry)",-1030.96,2.7228475403349894,True,Innovation Ecosystem
"Bahamas, The",2019,"Country, Industry, Skill Migration Data (Industry)",-202.83,3.475974352301383,True,Innovation Ecosystem
Bahrain,2019,"Country, Industry, Skill Migration Data (Industry)",-416.67999999999995,3.0009994795078656,True,Innovation Ecosystem
Bangladesh,2019,"Country, Industry, Skill Migration Data (Industry)",-2270.3699999999994,2.183428759836462,True,Innovation Ecosystem
Belarus,2019,"Country, Industry, Skill Migration Data (Industry)",-431.2,2.983876423264607,True,Innovation Ecosystem
Belgium,2019,"Country, Industry, Skill Migration Data (Industry)",3728.6400000000012,5.058598335904832,True,Innovation Ecosystem
Benin,2019,"Country, Industry, Skill Migration Data (Industry)",-129.29,3.6393115145423707,True,Innovation Ecosystem
Bolivia,2019,"Country, Industry, Skill Migration Data (Industry)",-291.11,3.2798986835138604,True,Innovation Ecosystem
Bosnia and Herzegovina,2019,"Country, Industry, Skill Migration Data (Industry)",-280.68,3.3030643974406146,True,Innovation Ecosystem
Botswana,2019,"Country, Industry, Skill Migration Data (Industry)",-82.5,3.743235172704675,True,Innovation Ecosystem
Brazil,2019,"Country, Industry, Skill Migration Data (Industry)",-6836.160000000002,1.878690571046975,True,Innovation Ecosystem
Bulgaria,2019,"Country, Industry, Skill Migration Data (Industry)",-617.7799999999999,2.9026726601310067,True,Innovation Ecosystem
Burkina Faso,2019,"Country, Industry, Skill Migration Data (Industry)",16.029999999999998,3.962076763615805,True,Innovation Ecosystem
Cambodia,2019,"Country, Industry, Skill Migration Data (Industry)",-3.680000000000007,3.918299561171287,True,Innovation Ecosystem
Cameroon,2019,"Country, Industry, Skill Migration Data (Industry)",-2623.5600000000004,2.0297126214445855,True,Innovation Ecosystem
Canada,2019,"Country, Industry, Skill Migration Data (Industry)",19225.950000000004,5.832587273887392,True,Innovation Ecosystem
Chile,2019,"Country, Industry, Skill Migration Data (Industry)",4841.7,5.11418837877749,True,Innovation Ecosystem
China,2019,"Country, Industry, Skill Migration Data (Industry)",-1367.9199999999994,2.5761950586890583,True,Innovation Ecosystem
Colombia,2019,"Country, Industry, Skill Migration Data (Industry)",-2934.24,1.9834892929200856,True,Innovation Ecosystem
"Congo, Dem. Rep.",2019,"Country, Industry, Skill Migration Data (Industry)",506.20000000000005,4.187126998223801,True,Innovation Ecosystem
Costa Rica,2019,"Country, Industry, Skill Migration Data (Industry)",31.25,4.001037509142201,True,Innovation Ecosystem
Cote d'Ivoire,2019,"Country, Industry, Skill Migration Data (Industry)",689.8800000000001,4.259094399749243,True,Innovation Ecosystem
Croatia,2019,"Country, Industry, Skill Migration Data (Industry)",-1069.31,2.706156767925441,True,Innovation Ecosystem
Cuba,2019,"Country, Industry, Skill Migration Data (Industry)",-1387.37,2.5677299863718295,True,Innovation Ecosystem
Cyprus,2019,"Country, Industry, Skill Migration Data (Industry)",3309.85,5.037682523590455,True,Innovation Ecosystem
Czech Republic,2019,"Country, Industry, Skill Migration Data (Industry)",3116.4500000000007,5.028023462720806,True,Innovation Ecosystem
Denmark,2019,"Country, Industry, Skill Migration Data (Industry)",3435.2800000000007,5.043946928993145,True,Innovation Ecosystem
Dominican Republic,2019,"Country, Industry, Skill Migration Data (Industry)",-1328.0500000000002,2.593547368883809,True,Innovation Ecosystem
Ecuador,2019,"Country, Industry, Skill Migration Data (Industry)",-258.85999999999996,3.3515280482442367,True,Innovation Ecosystem
"Egypt, Arab Rep.",2019,"Country, Industry, Skill Migration Data (Industry)",-3573.4099999999985,1.9663223087021529,True,Innovation Ecosystem
El Salvador,2019,"Country, Industry, Skill Migration Data (Industry)",-296.01,3.269015462205989,True,Innovation Ecosystem
Estonia,2019,"Country, Industry, Skill Migration Data (Industry)",2087.8199999999997,4.806819297879009,True,Innovation Ecosystem
Ethiopia,2019,"Country, Industry, Skill Migration Data (Industry)",-254.25,3.3617671605359276,True,Innovation Ecosystem
Fiji,2019,"Country, Industry, Skill Migration Data (Industry)",-254.56,3.3610786302082865,True,Innovation Ecosystem
Finland,2019,"Country, Industry, Skill Migration Data (Industry)",2148.1800000000003,4.830468864277504,True,Innovation Ecosystem
France,2019,"Country, Industry, Skill Migration Data (Industry)",2865.149999999999,5.015472676802797,True,Innovation Ecosystem
Gabon,2019,"Country, Industry, Skill Migration Data (Industry)",513.3199999999999,4.189916675373524,True,Innovation Ecosystem
Georgia,2019,"Country, Industry, Skill Migration Data (Industry)",2686.6299999999997,5.006556774287544,True,Innovation Ecosystem
Germany,2019,"Country, Industry, Skill Migration Data (Industry)",15391.609999999988,5.641087152610599,True,Innovation Ecosystem
Ghana,2019,"Country, Industry, Skill Migration Data (Industry)",-3347.62,1.9723866317563745,True,Innovation Ecosystem
Greece,2019,"Country, Industry, Skill Migration Data (Industry)",-2605.9900000000002,2.0373594759748537,True,Innovation Ecosystem
Guatemala,2019,"Country, Industry, Skill Migration Data (Industry)",-325.82,3.2028054974738183,True,Innovation Ecosystem
Haiti,2019,"Country, Industry, Skill Migration Data (Industry)",-508.67,2.950159757330637,True,Innovation Ecosystem
Honduras,2019,"Country, Industry, Skill Migration Data (Industry)",-61.64,3.7895666005581834,True,Innovation Ecosystem
"Hong Kong SAR, China",2019,"Country, Industry, Skill Migration Data (Industry)",951.1299999999999,4.3614543934803045,True,Innovation Ecosystem
Hungary,2019,"Country, Industry, Skill Migration Data (Industry)",-912.87,2.77424293313404,True,Innovation Ecosystem
Iceland,2019,"Country, Industry, Skill Migration Data (Industry)",-160.52,3.56994763669649,True,Innovation Ecosystem
India,2019,"Country, Industry, Skill Migration Data (Industry)",-15104.569999999998,1.6566155925946122,True,Innovation Ecosystem
Indonesia,2019,"Country, Industry, Skill Migration Data (Industry)",530.83,4.196777243757183,True,Innovation Ecosystem
"Iran, Islamic Rep.",2019,"Country, Industry, Skill Migration Data (Industry)",-7202.299999999997,1.868856693359421,True,Innovation Ecosystem
Iraq,2019,"Country, Industry, Skill Migration Data (Industry)",1780.1599999999999,4.686275467558248,True,Innovation Ecosystem
Ireland,2019,"Country, Industry, Skill Migration Data (Industry)",16775.119999999995,5.710184398235049,True,Innovation Ecosystem
Israel,2019,"Country, Industry, Skill Migration Data (Industry)",1439.66,4.5528646431929785,True,Innovation Ecosystem
Italy,2019,"Country, Industry, Skill Migration Data (Industry)",-3136.5999999999995,1.978054258537463,True,Innovation Ecosystem
Jamaica,2019,"Country, Industry, Skill Migration Data (Industry)",-914.8,2.7734029542357237,True,Innovation Ecosystem
Japan,2019,"Country, Industry, Skill Migration Data (Industry)",9605.360000000002,5.352101935666395,True,Innovation Ecosystem
Jordan,2019,"Country, Industry, Skill Migration Data (Industry)",-5053.659999999998,1.9265653920937469,True,Innovation Ecosystem
Kazakhstan,2019,"Country, Industry, Skill Migration Data (Industry)",-1591.6,2.478844550929793,True,Innovation Ecosystem
Kenya,2019,"Country, Industry, Skill Migration Data (Industry)",759.4600000000003,4.286356441333194,True,Innovation Ecosystem
"Korea, Rep.",2019,"Country, Industry, Skill Migration Data (Industry)",2600.6799999999994,5.002264135809021,True,Innovation Ecosystem
Kuwait,2019,"Country, Industry, Skill Migration Data (Industry)",4822.799999999997,5.1132444478031545,True,Innovation Ecosystem
Latvia,2019,"Country, Industry, Skill Migration Data (Industry)",17.59999999999998,3.96556383656547,True,Innovation Ecosystem
Lebanon,2019,"Country, Industry, Skill Migration Data (Industry)",-8799.08,1.8259699855046867,True,Innovation Ecosystem
Libya,2019,"Country, Industry, Skill Migration Data (Industry)",49.85,4.0083251488872635,True,Innovation Ecosystem
