Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Infrastructure,United Arab Emirates,2021,ISP Speeds - Mobile,190.03,6.0,True,Connectivity Technology
Infrastructure,South Korea,2021,ISP Speeds - Mobile,189.2,6.0,True,Connectivity Technology
Infrastructure,Qatar,2021,ISP Speeds - Mobile,170.77,6.0,True,Connectivity Technology
Infrastructure,China,2021,ISP Speeds - Mobile,157.72,6.0,True,Connectivity Technology
Infrastructure,Cyprus,2021,ISP Speeds - Mobile,154.13,6.0,True,Connectivity Technology
Infrastructure,Norway,2021,ISP Speeds - Mobile,152.53,6.0,True,Connectivity Technology
Infrastructure,Saudi Arabia,2021,ISP Speeds - Mobile,151.13,6.0,True,Connectivity Technology
Infrastructure,Kuwait,2021,ISP Speeds - Mobile,140.16,6.0,True,Connectivity Technology
Infrastructure,Australia,2021,ISP Speeds - Mobile,122.27,6.0,True,Connectivity Technology
Infrastructure,Bulgaria,2021,ISP Speeds - Mobile,120.44,6.0,True,Connectivity Technology
Infrastructure,Luxembourg,2021,ISP Speeds - Mobile,110.72,6.0,True,Connectivity Technology
Infrastructure,Switzerland,2021,ISP Speeds - Mobile,109.65,6.0,True,Connectivity Technology
Infrastructure,Netherlands,2021,ISP Speeds - Mobile,100.65,6.0,True,Connectivity Technology
Infrastructure,United States,2021,ISP Speeds - Mobile,91.01,6.0,True,Connectivity Technology
Infrastructure,Sweden,2021,ISP Speeds - Mobile,90.57,6.0,True,Connectivity Technology
Infrastructure,Denmark,2021,ISP Speeds - Mobile,89.44,6.0,True,Connectivity Technology
Infrastructure,Oman,2021,ISP Speeds - Mobile,85.96,6.0,True,Connectivity Technology
Infrastructure,Singapore,2021,ISP Speeds - Mobile,85.93,6.0,True,Connectivity Technology
Infrastructure,Canada,2021,ISP Speeds - Mobile,85.91,6.0,True,Connectivity Technology
Infrastructure,New Zealand,2021,ISP Speeds - Mobile,84.22,6.0,True,Connectivity Technology
Infrastructure,United Kingdom,2021,ISP Speeds - Mobile,79.01,6.0,True,Connectivity Technology
Infrastructure,Bahrain,2021,ISP Speeds - Mobile,78.82,6.0,True,Connectivity Technology
Infrastructure,Hong Kong (SAR),2021,ISP Speeds - Mobile,78.06,6.0,True,Connectivity Technology
Infrastructure,Finland,2021,ISP Speeds - Mobile,76.78,6.0,True,Connectivity Technology
Infrastructure,Greece,2021,ISP Speeds - Mobile,76.36,6.0,True,Connectivity Technology
Infrastructure,Taiwan,2021,ISP Speeds - Mobile,74.62,6.0,True,Connectivity Technology
Infrastructure,France,2021,ISP Speeds - Mobile,73.27,6.0,True,Connectivity Technology
Infrastructure,Croatia,2021,ISP Speeds - Mobile,71.51,6.0,True,Connectivity Technology
Infrastructure,Belgium,2021,ISP Speeds - Mobile,70.49,4.75,True,Connectivity Technology
Infrastructure,Germany,2021,ISP Speeds - Mobile,70.48,4.75,True,Connectivity Technology
Infrastructure,Austria,2021,ISP Speeds - Mobile,67.05,4.75,True,Connectivity Technology
Infrastructure,Macau (SAR),2021,ISP Speeds - Mobile,66.67,4.75,True,Connectivity Technology
Infrastructure,Estonia,2021,ISP Speeds - Mobile,65.12,4.75,True,Connectivity Technology
Infrastructure,Lithuania,2021,ISP Speeds - Mobile,63.33,4.75,True,Connectivity Technology
Infrastructure,Japan,2021,ISP Speeds - Mobile,61.59,4.75,True,Connectivity Technology
Infrastructure,Brunei,2021,ISP Speeds - Mobile,59.34,4.75,True,Connectivity Technology
Infrastructure,Romania,2021,ISP Speeds - Mobile,57.71,4.75,True,Connectivity Technology
Infrastructure,Slovenia,2021,ISP Speeds - Mobile,57.64,4.75,True,Connectivity Technology
Infrastructure,Hungary,2021,ISP Speeds - Mobile,57.13,4.75,True,Connectivity Technology
Infrastructure,Czechia,2021,ISP Speeds - Mobile,56.89,4.75,True,Connectivity Technology
Infrastructure,Maldives,2021,ISP Speeds - Mobile,56.83,4.75,True,Connectivity Technology
Infrastructure,North Macedonia,2021,ISP Speeds - Mobile,56.55,4.75,True,Connectivity Technology
Infrastructure,Albania,2021,ISP Speeds - Mobile,56.43,4.75,True,Connectivity Technology
Infrastructure,Spain,2021,ISP Speeds - Mobile,53.01,4.75,True,Connectivity Technology
Infrastructure,Poland,2021,ISP Speeds - Mobile,51.9,4.75,True,Connectivity Technology
Infrastructure,Malta,2021,ISP Speeds - Mobile,51.77,4.75,True,Connectivity Technology
Infrastructure,Ireland,2021,ISP Speeds - Mobile,51.71,4.75,True,Connectivity Technology
Infrastructure,Italy,2021,ISP Speeds - Mobile,50.7,4.75,True,Connectivity Technology
Infrastructure,Slovakia,2021,ISP Speeds - Mobile,50.23,4.75,True,Connectivity Technology
Infrastructure,Portugal,2021,ISP Speeds - Mobile,49.96,4.75,True,Connectivity Technology
Infrastructure,Thailand,2021,ISP Speeds - Mobile,48.89,4.75,True,Connectivity Technology
Infrastructure,Serbia,2021,ISP Speeds - Mobile,48.57,4.75,True,Connectivity Technology
Infrastructure,South Africa,2021,ISP Speeds - Mobile,47.15,4.75,True,Connectivity Technology
