Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Infrastructure,Monaco,2021,ISP internet download speed average ,256.7,6.0,True,Connectivity Technology
Infrastructure,Singapore,2021,ISP internet download speed average ,256.03,6.0,True,Connectivity Technology
Infrastructure,Hong Kong (SAR),2021,ISP internet download speed average ,248.59,6.0,True,Connectivity Technology
Infrastructure,Thailand,2021,ISP internet download speed average ,216.16,6.0,True,Connectivity Technology
Infrastructure,Romania,2021,ISP internet download speed average ,215.3,6.0,True,Connectivity Technology
Infrastructure,Switzerland,2021,ISP internet download speed average ,214.82,6.0,True,Connectivity Technology
Infrastructure,South Korea,2021,ISP internet download speed average ,212.83,6.0,True,Connectivity Technology
Infrastructure,Chile,2021,ISP internet download speed average ,209.45,6.0,True,Connectivity Technology
Infrastructure,Denmark,2021,ISP internet download speed average ,208.5,6.0,True,Connectivity Technology
Infrastructure,Liechtenstein,2021,ISP internet download speed average ,207.44,6.0,True,Connectivity Technology
Infrastructure,France,2021,ISP internet download speed average ,199.68,6.0,True,Connectivity Technology
Infrastructure,Hungary,2021,ISP internet download speed average ,199.47,6.0,True,Connectivity Technology
Infrastructure,Moldova,2021,ISP internet download speed average ,196.46,6.0,True,Connectivity Technology
Infrastructure,United States,2021,ISP internet download speed average ,195.55,6.0,True,Connectivity Technology
Infrastructure,United Arab Emirates,2021,ISP internet download speed average ,190.96,6.0,True,Connectivity Technology
Infrastructure,Spain,2021,ISP internet download speed average ,187.88,6.0,True,Connectivity Technology
Infrastructure,China,2021,ISP internet download speed average ,184.78,6.0,True,Connectivity Technology
Infrastructure,Japan,2021,ISP internet download speed average ,179.43,6.0,True,Connectivity Technology
Infrastructure,Canada,2021,ISP internet download speed average ,174.53,6.0,True,Connectivity Technology
Infrastructure,Luxembourg,2021,ISP internet download speed average ,168.89,6.0,True,Connectivity Technology
Infrastructure,Macau (SAR),2021,ISP internet download speed average ,168.82,6.0,True,Connectivity Technology
Infrastructure,Israel,2021,ISP internet download speed average ,168.23,6.0,True,Connectivity Technology
Infrastructure,Andorra,2021,ISP internet download speed average ,165.07,6.0,True,Connectivity Technology
Infrastructure,New Zealand,2021,ISP internet download speed average ,164.06,6.0,True,Connectivity Technology
Infrastructure,Sweden,2021,ISP internet download speed average ,163.31,6.0,True,Connectivity Technology
Infrastructure,Norway,2021,ISP internet download speed average ,161.67,6.0,True,Connectivity Technology
Infrastructure,Netherlands,2021,ISP internet download speed average ,161.67,6.0,True,Connectivity Technology
