Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Infrastructure,Afghanistan,2019.0,Internet Exchange Points (IXPs) map,1.5317219618294888e-06,1.0,True,Connectivity Technology
Infrastructure,Albania,2019.0,Internet Exchange Points (IXPs) map,7.299270072992701e-05,4.7425,True,Connectivity Technology
Infrastructure,Algeria,2019.0,Internet Exchange Points (IXPs) map,4.1986093366155264e-07,1.0,True,Connectivity Technology
Infrastructure,Angola,2019.0,Internet Exchange Points (IXPs) map,2.406352771316275e-06,1.0,True,Connectivity Technology
Infrastructure,Argentina,2019.0,Internet Exchange Points (IXPs) map,1.205836247437598e-05,3.495,True,Connectivity Technology
Infrastructure,Armenia,2019.0,Internet Exchange Points (IXPs) map,3.5124692658939236e-05,3.495,True,Connectivity Technology
Infrastructure,Australia,2019.0,Internet Exchange Points (IXPs) map,5.070189625091979e-06,2.2475,True,Connectivity Technology
Infrastructure,Austria,2019.0,Internet Exchange Points (IXPs) map,7.270964614638875e-05,4.7425,True,Connectivity Technology
Infrastructure,Azerbaijan,2019.0,Internet Exchange Points (IXPs) map,1.2098628015583032e-05,3.495,True,Connectivity Technology
Infrastructure,Bahrain,2019.0,Internet Exchange Points (IXPs) map,0.0038461538461538464,5.99,True,Connectivity Technology
Infrastructure,Bangladesh,2019.0,Internet Exchange Points (IXPs) map,3.841130828916033e-05,3.495,True,Connectivity Technology
Infrastructure,Barbados,2019.0,Internet Exchange Points (IXPs) map,0.002325581395348837,5.99,True,Connectivity Technology
Infrastructure,Belarus,2019.0,Internet Exchange Points (IXPs) map,4.9265937530791214e-06,2.2475,True,Connectivity Technology
Infrastructure,Belgium,2019.0,Internet Exchange Points (IXPs) map,9.907529722589168e-05,5.99,True,Connectivity Technology
Infrastructure,Belize,2019.0,Internet Exchange Points (IXPs) map,4.3840420868040336e-05,4.7425,True,Connectivity Technology
