Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Government,United States of America (the),2020.0,Security incidents (# of relevant issues),0.060700952197323334,5.691138800640383,False,Digital Public Services
Government,United Kingdom of Great Britain and Northern Ireland (the),2020.0,Security incidents (# of relevant issues),0.2826737659240733,4.401228999965016,False,Digital Public Services
Government,India,2020.0,Security incidents (# of relevant issues),0.013043436814876498,5.968082157511689,False,Digital Public Services
Government,Germany,2020.0,Security incidents (# of relevant issues),0.20422744810895896,4.857089663609955,False,Digital Public Services
Government,Republic of Korea (the),2020.0,Security incidents (# of relevant issues),0.3089961585790688,4.248266519142022,False,Digital Public Services
Government,Australia,2020.0,Security incidents (# of relevant issues),0.5839520402525148,2.6504659571303453,False,Digital Public Services
Government,Ukraine,2020.0,Security incidents (# of relevant issues),0.3398686833507599,4.06886269213274,False,Digital Public Services
Government,China,2020.0,Security incidents (# of relevant issues),0.009271727222932262,5.99,False,Digital Public Services
Government,Iran (Islamic Republic of),2020.0,Security incidents (# of relevant issues),0.15477488926957958,5.144464226487353,False,Digital Public Services
Government,Saudi Arabia,2020.0,Security incidents (# of relevant issues),0.3734144213281449,3.873924512715942,False,Digital Public Services
Government,Japan,2020.0,Security incidents (# of relevant issues),0.07946850131251369,5.582078393053077,False,Digital Public Services
Government,Canada,2020.0,Security incidents (# of relevant issues),0.23680946294823887,4.6677517912763005,False,Digital Public Services
Government,France,2020.0,Security incidents (# of relevant issues),0.11870918833749888,5.354046203304504,False,Digital Public Services
Government,Israel,2020.0,Security incidents (# of relevant issues),0.8679707927828229,0.9999999999999991,False,Digital Public Services
Government,Pakistan,2020.0,Security incidents (# of relevant issues),0.027162554593169644,5.886034324295817,False,Digital Public Services
Government,Russian Federation (the),2020.0,Security incidents (# of relevant issues),0.03469714389766063,5.842249950773883,False,Digital Public Services
Government,"China, Hong Kong Special Administrative Region",2020.0,Security incidents (# of relevant issues),0.5346307038413216,2.9370779712372688,False,Digital Public Services
Government,Viet Nam,2020.0,Security incidents (# of relevant issues),0.03082025551984869,5.864778999402424,False,Digital Public Services
Government,Turkey,2020.0,Security incidents (# of relevant issues),0.035570704143549514,5.837173590729002,False,Digital Public Services
Government,Democratic People's Republic of Korea (the),2020.0,Security incidents (# of relevant issues),0.038791542590301376,5.818456924444041,False,Digital Public Services
