Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Infrastructure,Afghanistan,2019,"Country, Industry, Skill Migration Data (Skill)",-35926.599999999984,4.214957379532008,True,Innovation Ecosystem
Infrastructure,Albania,2019,"Country, Industry, Skill Migration Data (Skill)",-20747.409999999996,4.442424779888421,True,Innovation Ecosystem
Infrastructure,Algeria,2019,"Country, Industry, Skill Migration Data (Skill)",-26729.529999999995,4.352779859110692,True,Innovation Ecosystem
Infrastructure,Angola,2019,"Country, Industry, Skill Migration Data (Skill)",4332.130000000001,4.8182536459830345,True,Innovation Ecosystem
Infrastructure,Argentina,2019,"Country, Industry, Skill Migration Data (Skill)",-16970.64,4.499021479293599,True,Innovation Ecosystem
Infrastructure,Armenia,2019,"Country, Industry, Skill Migration Data (Skill)",-6930.400000000001,4.649479263388436,True,Innovation Ecosystem
Infrastructure,Australia,2019,"Country, Industry, Skill Migration Data (Skill)",22060.899999999998,5.083927718408296,True,Innovation Ecosystem
Infrastructure,Austria,2019,"Country, Industry, Skill Migration Data (Skill)",31195.640000000003,5.220816153214879,True,Innovation Ecosystem
Infrastructure,Azerbaijan,2019,"Country, Industry, Skill Migration Data (Skill)",-16691.039999999997,4.503211418621039,True,Innovation Ecosystem
Infrastructure,"Bahamas, The",2019,"Country, Industry, Skill Migration Data (Skill)",166.32000000000045,4.755826996663885,True,Innovation Ecosystem
Infrastructure,Bahrain,2019,"Country, Industry, Skill Migration Data (Skill)",-11606.659999999983,4.5794032774108775,True,Innovation Ecosystem
Infrastructure,Bangladesh,2019,"Country, Industry, Skill Migration Data (Skill)",-17647.739999999994,4.488874812918034,True,Innovation Ecosystem
Infrastructure,Belarus,2019,"Country, Industry, Skill Migration Data (Skill)",-8194.620000000003,4.630534323844324,True,Innovation Ecosystem
Infrastructure,Belgium,2019,"Country, Industry, Skill Migration Data (Skill)",11944.510000000004,4.932328790251284,True,Innovation Ecosystem
Infrastructure,Benin,2019,"Country, Industry, Skill Migration Data (Skill)",-4489.75,4.686053567463942,True,Innovation Ecosystem
Infrastructure,Bolivia,2019,"Country, Industry, Skill Migration Data (Skill)",-5718.429999999999,4.667641211767101,True,Innovation Ecosystem
Infrastructure,Bosnia and Herzegovina,2019,"Country, Industry, Skill Migration Data (Skill)",-11555.74,4.580166337892112,True,Innovation Ecosystem
Infrastructure,Botswana,2019,"Country, Industry, Skill Migration Data (Skill)",-596.3200000000002,4.744398472598515,True,Innovation Ecosystem
Infrastructure,Brazil,2019,"Country, Industry, Skill Migration Data (Skill)",-20194.650000000012,4.450708152072378,True,Innovation Ecosystem
Infrastructure,Bulgaria,2019,"Country, Industry, Skill Migration Data (Skill)",-85.05000000000038,4.75206009734794,True,Innovation Ecosystem
Infrastructure,Burkina Faso,2019,"Country, Industry, Skill Migration Data (Skill)",-2268.12,4.7193457523996205,True,Innovation Ecosystem
Infrastructure,Cambodia,2019,"Country, Industry, Skill Migration Data (Skill)",-2419.999999999999,4.717069758175546,True,Innovation Ecosystem
Infrastructure,Cameroon,2019,"Country, Industry, Skill Migration Data (Skill)",-15613.67,4.519356321815608,True,Innovation Ecosystem
Infrastructure,Canada,2019,"Country, Industry, Skill Migration Data (Skill)",29604.179999999982,5.196967366226165,True,Innovation Ecosystem
Infrastructure,Chile,2019,"Country, Industry, Skill Migration Data (Skill)",20418.020000000004,5.059308378199922,True,Innovation Ecosystem
Infrastructure,China,2019,"Country, Industry, Skill Migration Data (Skill)",-5624.7,4.669045800512311,True,Innovation Ecosystem
Infrastructure,Colombia,2019,"Country, Industry, Skill Migration Data (Skill)",-11028.139999999998,4.588072675478508,True,Innovation Ecosystem
Infrastructure,"Congo, Dem. Rep.",2019,"Country, Industry, Skill Migration Data (Skill)",1324.6100000000006,4.773184524645209,True,Innovation Ecosystem
Infrastructure,Costa Rica,2019,"Country, Industry, Skill Migration Data (Skill)",-4383.429999999999,4.687646823362701,True,Innovation Ecosystem
Infrastructure,Cote d'Ivoire,2019,"Country, Industry, Skill Migration Data (Skill)",900.4100000000002,4.766827685365168,True,Innovation Ecosystem
Infrastructure,Croatia,2019,"Country, Industry, Skill Migration Data (Skill)",-9675.330000000007,4.608345178416817,True,Innovation Ecosystem
Infrastructure,Cuba,2019,"Country, Industry, Skill Migration Data (Skill)",-31222.05,4.28545730464967,True,Innovation Ecosystem
Infrastructure,Cyprus,2019,"Country, Industry, Skill Migration Data (Skill)",23912.86,5.1116802221166,True,Innovation Ecosystem
Infrastructure,Czech Republic,2019,"Country, Industry, Skill Migration Data (Skill)",9272.669999999996,4.892289993782679,True,Innovation Ecosystem
Infrastructure,Denmark,2019,"Country, Industry, Skill Migration Data (Skill)",6615.780000000001,4.852475230192992,True,Innovation Ecosystem
Infrastructure,Dominican Republic,2019,"Country, Industry, Skill Migration Data (Skill)",-11097.62,4.587031484546926,True,Innovation Ecosystem
Infrastructure,Ecuador,2019,"Country, Industry, Skill Migration Data (Skill)",-3317.8000000000015,4.7036157970590455,True,Innovation Ecosystem
Infrastructure,"Egypt, Arab Rep.",2019,"Country, Industry, Skill Migration Data (Skill)",-17678.580000000005,4.48841266081196,True,Innovation Ecosystem
Infrastructure,El Salvador,2019,"Country, Industry, Skill Migration Data (Skill)",-4633.080000000001,4.68390569906694,True,Innovation Ecosystem
Infrastructure,Estonia,2019,"Country, Industry, Skill Migration Data (Skill)",21077.24,5.069187104249398,True,Innovation Ecosystem
Infrastructure,Ethiopia,2019,"Country, Industry, Skill Migration Data (Skill)",-3770.000000000002,4.696839364427188,True,Innovation Ecosystem
Infrastructure,Fiji,2019,"Country, Industry, Skill Migration Data (Skill)",-5304.15,4.673849395116783,True,Innovation Ecosystem
Infrastructure,Finland,2019,"Country, Industry, Skill Migration Data (Skill)",8793.300000000001,4.885106405744789,True,Innovation Ecosystem
Infrastructure,France,2019,"Country, Industry, Skill Migration Data (Skill)",11087.110000000004,4.919480242399548,True,Innovation Ecosystem
