Pillar,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
People,Sweden,2020,"E-waste generated, kilograms per inhabitant",69.70348605,1,FALSE,Digital Wellbeing
People,United Kingdom of Great Britain and Northern Ireland (the),2020,"E-waste generated, kilograms per inhabitant",53.32307337,2.172712339,FALSE,Digital Wellbeing
People,Belgium,2020,"E-waste generated, kilograms per inhabitant",52.23045662,2.250935347,FALSE,Digital Wellbeing
People,Italy,2020,"E-waste generated, kilograms per inhabitant",47.01657183,2.624209644,FALSE,Digital Wellbeing
People,Ireland,2020,"E-waste generated, kilograms per inhabitant",42.61977238,2.938986876,FALSE,Digital Wellbeing
People,Finland,2020,"E-waste generated, kilograms per inhabitant",38.50385456,3.233655131,FALSE,Digital Wellbeing
People,France,2020,"E-waste generated, kilograms per inhabitant",32.92224242,3.633255895,FALSE,Digital Wellbeing
People,Netherlands (the),2020,"E-waste generated, kilograms per inhabitant",30.64077409,3.796591588,FALSE,Digital Wellbeing
People,Germany,2020,"E-waste generated, kilograms per inhabitant",29.61400111,3.870100685,FALSE,Digital Wellbeing
People,Lithuania,2020,"E-waste generated, kilograms per inhabitant",29.58850682,3.871925882,FALSE,Digital Wellbeing
People,Denmark,2020,"E-waste generated, kilograms per inhabitant",28.91482051,3.920156672,FALSE,Digital Wellbeing
People,Norway,2020,"E-waste generated, kilograms per inhabitant",27.88376189,3.993972588,FALSE,Digital Wellbeing
People,Estonia,2020,"E-waste generated, kilograms per inhabitant",25.77800951,4.144728363,FALSE,Digital Wellbeing
People,Spain,2020,"E-waste generated, kilograms per inhabitant",25.39719541,4.171991741,FALSE,Digital Wellbeing
People,Australia,2020,"E-waste generated, kilograms per inhabitant",22.34589807,4.390441307,FALSE,Digital Wellbeing
People,Switzerland,2020,"E-waste generated, kilograms per inhabitant",21.30394994,4.465036829,FALSE,Digital Wellbeing
People,Iceland,2020,"E-waste generated, kilograms per inhabitant",20.74094289,4.50534383,FALSE,Digital Wellbeing
People,Canada,2020,"E-waste generated, kilograms per inhabitant",19.05000569,4.626402009,FALSE,Digital Wellbeing
People,New Zealand,2020,"E-waste generated, kilograms per inhabitant",18.68497138,4.652535675,FALSE,Digital Wellbeing
People,Austria,2020,"E-waste generated, kilograms per inhabitant",18.63521137,4.656098111,FALSE,Digital Wellbeing
People,Brunei Darussalam,2020,"E-waste generated, kilograms per inhabitant",17.60068391,4.730162369,FALSE,Digital Wellbeing
People,Singapore,2020,"E-waste generated, kilograms per inhabitant",17.5876529,4.73109529,FALSE,Digital Wellbeing
People,Greece,2020,"E-waste generated, kilograms per inhabitant",17.58752631,4.731104353,FALSE,Digital Wellbeing
People,"China, Macao Special Administrative Region",2020,"E-waste generated, kilograms per inhabitant",16.94022564,4.777446133,FALSE,Digital Wellbeing
People,Portugal,2020,"E-waste generated, kilograms per inhabitant",16.50351208,4.808711486,FALSE,Digital Wellbeing
People,Kuwait,2020,"E-waste generated, kilograms per inhabitant",15.68879794,4.867038791,FALSE,Digital Wellbeing
People,Cyprus,2020,"E-waste generated, kilograms per inhabitant",15.0220191,4.914775059,FALSE,Digital Wellbeing
People,Saudi Arabia,2020,"E-waste generated, kilograms per inhabitant",14.59188662,4.945569257,FALSE,Digital Wellbeing
People,Malta,2020,"E-waste generated, kilograms per inhabitant",14.55019656,4.948553946,FALSE,Digital Wellbeing
People,Croatia,2020,"E-waste generated, kilograms per inhabitant",14.35016802,4.962874461,FALSE,Digital Wellbeing
People,United Arab Emirates (the),2020,"E-waste generated, kilograms per inhabitant",13.54849147,5.020268374,FALSE,Digital Wellbeing
People,Barbados,2020,"E-waste generated, kilograms per inhabitant",13.22332455,5.04354784,FALSE,Digital Wellbeing
People,Latvia,2020,"E-waste generated, kilograms per inhabitant",13.18452124,5.04632586,FALSE,Digital Wellbeing
People,Saint Kitts and Nevis,2020,"E-waste generated, kilograms per inhabitant",13.15987367,5.048090438,FALSE,Digital Wellbeing
People,Israel,2020,"E-waste generated, kilograms per inhabitant",13.01956189,5.058135689,FALSE,Digital Wellbeing
People,Slovenia,2020,"E-waste generated, kilograms per inhabitant",12.55115169,5.091670279,FALSE,Digital Wellbeing
