Country Name,agg_score,count_source,agg_score_wt
Taiwan,6.0,1,0.46153846153846156
Chinese Taipei,6.0,1,0.46153846153846156
Egypt,6.0,1,0.46153846153846156
North Macedonia,6.0,1,0.46153846153846156
Bahamas,6.0,1,0.46153846153846156
United States of America,6.0,1,0.46153846153846156
Gambia,6.0,1,0.46153846153846156
Norway,5.442203863552178,13,5.442203863552178
Great Britain,5.382022471910112,1,0.4140017286084702
North America,5.380168286171333,8,3.3108727914900515
Denmark,5.374961282725552,13,5.374961282725552
Finland,5.371505114540649,13,5.371505114540649
Sweden,5.265110874747616,13,5.265110874747616
Netherlands,5.217370532456854,13,5.217370532456854
Estonia,5.166480404739691,12,4.76905883514433
"Korea, Rep.",5.072266246578356,12,4.6820919199184825
High income: OECD,5.068905276213676,8,3.1193263238238007
Germany,4.982603744100118,13,4.982603744100118
High income,4.978161728620839,8,3.0634841406897473
Euro area,4.916151314592295,8,3.0253238859029508
Belgium,4.897411089665179,13,4.897411089665179
Luxembourg,4.833859285682165,11,4.090188626346448
New Zealand,4.78822399207923,12,4.419899069611597
Latvia,4.787358759681682,12,4.4191003935523225
France,4.771132254898505,12,4.404122081444774
Switzerland,4.725597702462367,12,4.362090186888339
Northern Ireland,4.707865168539327,1,0.3621434745030252
Canada,4.704705741766475,12,4.342805300092131
Australia,4.680932316264702,12,4.320860599628956
Slovenia,4.605732425087176,12,4.2514453154650855
Bhutan,4.601476725521669,5,1.7697987405852575
Côte d'Ivoire,4.5969155844155845,4,1.4144355644355646
Poland,4.581315293538611,13,4.581315293538611
Malta,4.580419399550785,11,3.8757394919275874
Czech Republic,4.5125807420998605,13,4.5125807420998605
Singapore,4.509162547160641,12,4.162303889686746
Spain,4.506274298922571,11,3.81300132985756
Israel,4.502650687236561,12,4.1562929420645185
San Marino,4.5,3,1.0384615384615385
St. Vincent and the Grenadines,4.5,3,1.0384615384615385
Seychelles,4.5,3,1.0384615384615385
Japan,4.4947433217457,12,4.14899383545757
St. Lucia,4.467532467532467,3,1.030969030969031
São Tomé and Principe,4.467532467532467,3,1.030969030969031
Slovak Republic,4.462281156927779,11,3.7757763635542747
Iceland,4.451298701298701,3,1.0272227772227773
United States,4.442118559573862,11,3.758715704254806
St. Kitts and Nevis,4.435064935064935,3,1.0234765234765235
Dominica,4.435064935064935,3,1.0234765234765235
Cuba,4.4188311688311686,3,1.0197302697302697
Cabo Verde,4.4188311688311686,3,1.0197302697302697
Lithuania,4.40884498175656,11,3.7305611384093966
Italy,4.385012013123356,12,4.047703396729252
Maldives,4.368993506493506,4,1.3443056943056944
United Kingdom,4.368562045220992,10,3.3604323424776865
"Iran, Islamic Rep.",4.334971962879162,10,3.3345938175993552
"Hong Kong SAR, China",4.333297628791707,11,3.666636455131444
Kenya,4.249167984995564,13,4.249167984995564
Austria,4.242102556832326,11,3.589471394242737
Croatia,4.237573580020216,12,3.9116063815571227
Ireland,4.223592410917522,10,3.248917239167325
Qatar,4.207792207792208,3,0.9710289710289711
Europe & Central Asia,4.184159485446878,8,2.5748673756596174
"Taiwan, China",4.179468163321213,10,3.2149755102470876
China,4.174466311500601,11,3.5322407251158934
Portugal,4.132745361031651,12,3.814841871721524
Cyprus,4.069959934811924,11,3.4438122525331663
Bahrain,4.061902799500773,11,3.436994676500654
Mongolia,4.054068028895386,12,3.7422166420572793
Russian Federation,4.0462231501615715,11,3.423727280905945
Liechtenstein,4.012987012987013,3,0.9260739260739261
Jamaica,3.9899897854954034,4,1.2276891647678165
Hungary,3.9592250037047747,11,3.350113464673271
United Arab Emirates,3.9418492572480477,11,3.3354109099791174
Kuwait,3.941095038587738,11,3.3347727249588552
"Macao SAR, China",3.8993506493506493,3,0.8998501498501499
Palestine,3.888961038961039,4,1.1966033966033967
Thailand,3.8707468446110087,13,3.8707468446110087
Malaysia,3.867008071506377,12,3.569545912159733
Hong Kong,3.808988764044944,1,0.29299913569576497
Belarus,3.797061483252627,11,3.212898178136838
Chile,3.7949544399530115,12,3.503034867648934
Suriname,3.7775974025974026,3,0.8717532467532468
Greece,3.7702436916713773,12,3.4802249461581947
Turkey,3.7632066753522775,13,3.7632066753522775
Syrian Arab Republic,3.7126623376623376,3,0.8567682317682318
Mauritius,3.6913722381066987,11,3.123468816859514
East Asia & Pacific,3.6504260350940574,8,2.2464160215963433
Bulgaria,3.612063778959117,12,3.334212719039185
Uruguay,3.6015845701123466,12,3.324539603180628
Angola,3.590909090909091,3,0.8286713286713286
Slovakia,3.5842696629213484,1,0.2757130509939499
Ukraine,3.578017696928124,12,3.3027855663951917
Upper middle income,3.5658095704766635,8,2.194344351062562
Montenegro,3.554599243677317,13,3.554599243677317
"Venezuela, RB",3.5526552496809365,11,3.006092903576177
Serbia,3.5514314341764623,12,3.278244400778273
Brazil,3.5351644579293553,12,3.263228730396328
"Gambia, The",3.5238095238095237,2,0.5421245421245422
"Macedonia, FYR",3.5152992670638654,11,2.974483995207886
Eswatini,3.5,1,0.2692307692307693
East Asia & Pacific (excluding high income),3.499651216422554,8,2.153631517798495
Trinidad and Tobago,3.4932104367585635,12,3.2245019416232896
Monaco,3.4448051948051948,3,0.794955044955045
Costa Rica,3.416276999190039,12,3.1534864607908055
Oman,3.3876258572887785,4,1.0423464176273165
Ecuador,3.3829406953805283,12,3.122714488043565
Namibia,3.3718730619761295,12,3.112498211054889
Kazakhstan,3.370949277138212,11,2.8523416960400256
Isle of Man,3.359550561797753,1,0.25842696629213485
Puerto Rico,3.359550561797753,1,0.25842696629213485
Russia,3.359550561797753,1,0.25842696629213485
South Africa,3.3552201214141513,12,3.097126265920755
India,3.3313946284723244,13,3.3313946284723244
Gabon,3.313461479745218,11,2.8036981751690306
Romania,3.3097926968705056,12,3.0551932586496977
Sri Lanka,3.3015026960197797,12,3.0475409501721047
Mexico,3.2834248459487467,13,3.2834248459487467
Georgia,3.27626320893526,11,2.772222715252912
Brunei Darussalam,3.25,3,0.75
Dominican Republic,3.2330495757860906,13,3.2330495757860906
Europe & Central Asia (excluding high income),3.2282937433033787,8,1.98664230357131
Moldova,3.2232417294263542,11,2.7273583864376842
Tonga,3.2012987012987013,3,0.7387612387612388
Argentina,3.1911163109673732,12,2.9456458255083446
Lesotho,3.164984920415061,13,3.164984920415061
World,3.157861046308249,8,1.943299105420461
Uganda,3.1484081261652097,11,2.664037645216716
Honduras,3.1396011438209133,12,2.898093363526997
Bosnia and Herzegovina,3.1297337740144866,12,2.8889850221672186
Kyrgyz Republic,3.1163681539158836,12,2.876647526691585
Ghana,3.11627946816237,12,2.8765656629191105
Colombia,3.0655574204125418,12,2.8297453111500386
Zimbabwe,3.0456751212461346,12,2.8113924196118165
Paraguay,3.0268877555007156,12,2.7940502358468144
Armenia,3.0256287379763447,11,2.560147393672292
Grenada,3.0064935064935066,3,0.6938061938061939
Swaziland,2.9826839826839824,2,0.4588744588744589
Albania,2.9546784605332927,13,2.9546784605332927
Saudi Arabia,2.9499569090788484,11,2.4961173846051796
Rwanda,2.941913854445689,11,2.489311722992506
Mali,2.9398359597806785,12,2.7136947321052416
Kosovo,2.9368267498219707,12,2.7109169998356655
Tajikistan,2.936342847108063,11,2.4845977937068224
"Yemen, Rep.",2.9177489177489178,2,0.4488844488844489
