Country Name,agg_score,count_source,agg_score_wt
Korea (Rep. of),5.819488148062501,8,1.5518635061500001
"Hong Kong, China (SAR)",5.745,1,0.1915
"Hong Kong, China",5.6566886839375,8,1.5084503157166667
United Kingdom of Great Britain and Northern Ireland,5.646,1,0.1882
Korea (Republic of),5.58,1,0.186
Brunei,5.527,1,0.18423333333333333
Republic of Korea,5.4985,1,0.18328333333333333
"Macao, China",5.3758891365000006,7,1.2543741318500001
Georgia (Country),5.3585,1,0.17861666666666667
North America,5.300000000000001,2,0.3533333333333334
High income: OECD,5.125,2,0.3416666666666667
Great Britain,5.1,1,0.16999999999999998
Euro area,5.1,2,0.33999999999999997
High income,5.050000000000001,2,0.3366666666666667
European Union (28 countries),4.96087225,2,0.3307248166666667
UK,4.895,1,0.16316666666666665
Falkland Islands,4.875,1,0.1625
UAE,4.8,2,0.32
Iran (Islamic Republic of),4.79302184015,10,1.5976739467166665
Moldova (Republic of),4.75,1,0.15833333333333333
Republic of Moldova,4.715999999999999,1,0.15719999999999998
Czech Republic,4.704603797210998,20,3.1364025314739985
Brunei Darussalam,4.667200190036417,15,2.3336000950182085
Slovenia,4.664201106841387,25,3.8868342557011557
Singapore,4.630867541309898,27,4.167780787178908
United Arab Emirates,4.60824931456619,24,3.686599451652952
Sint Maarten,4.6045,1,0.15348333333333333
Spain,4.590940364025983,30,4.590940364025983
"Korea, South",4.58983111575,4,0.6119774821
Denmark,4.5850669475183246,27,4.126560252766493
Norway,4.570177856338927,26,3.96082080882707
Venezuela (Bolivarian Republic of),4.555,1,0.15183333333333332
Russian Federation,4.544381715874628,20,3.029587810583085
"Palestine, State of",4.54,1,0.15133333333333332
Bahrain,4.539173539539155,23,3.4800330469800187
Sweden,4.518176118906285,28,4.2169643776458665
Kuwait,4.512811698531318,23,3.4598223022073444
Luxembourg,4.50159102319062,23,3.4512197844461427
"Taiwan, China",4.5,2,0.3
Lithuania,4.497613572648513,26,3.8979317629620445
Uruguay,4.456093549395805,21,3.1192654845770638
Taiwan,4.452216323296355,4,0.5936288431061807
United Kingdom,4.440512745904965,27,3.996461471314469
"Korea, Rep.",4.427851994265284,5,0.7379753323775473
Estonia,4.426596389269888,24,3.5412771114159107
Palestine,4.4249261175625,8,1.1799802980166667
Belarus,4.416417973979105,22,3.238706514251344
Netherlands,4.409884117443214,28,4.115891842947
Ireland,4.397781220123625,26,3.811410390773809
Finland,4.3736845212878555,24,3.4989476170302845
Saudi Arabia,4.368438507962947,28,4.077209274098751
Faroe Islands,4.3675,1,0.14558333333333331
Belgium,4.364076859713043,27,3.9276691737417386
Qatar,4.35748196931701,20,2.904987979544673
Europe & Central Asia,4.35,2,0.29
Malaysia,4.320615875421852,28,4.032574817060396
Taiwan Province of China,4.292,1,0.14306666666666665
Germany,4.271211215988774,30,4.271211215988774
Hong Kong,4.256326642014439,9,1.2768979926043318
Micronesia (Federated States of),4.23675,2,0.28245
Japan,4.234422315647883,28,3.952127494604691
Malta,4.217352274847651,20,2.8115681832317674
France,4.215128621267499,29,4.074624333891916
Latvia,4.207339215034065,23,3.225626731526117
Democratic People's Republic of Korea,4.2010000000000005,1,0.14003333333333334
Brazil,4.1969438714844705,28,3.917147613385506
Kazakhstan,4.189879919077652,23,3.2122412712928665
Austria,4.159796928762549,28,3.882477133511712
Slovakia,4.146305363131579,17,2.3495730391078946
Slovak Republic,4.12305972760316,6,0.8246119455206321
United States,4.11761342692514,23,3.1568369606426074
Switzerland,4.106402037844898,27,3.6957618340604084
Macau,4.0920000000000005,1,0.13640000000000002
Poland,4.088236264691935,29,3.9519617225355375
Romania,4.075241248366686,26,3.531875748584462
Israel,4.069396461273675,23,3.1198706203098174
New Zealand,4.056643925804948,17,2.29876489128947
Eswatini (Kingdom of),4.055,1,0.13516666666666666
Cyprus,4.050631202537172,20,2.7004208016914477
Czechia,4.038219146785715,7,0.9422511342500002
Reunion,4.0155,1,0.13385
Australia,4.008956501450755,20,2.6726376676338366
Anguilla,4.0,1,0.13333333333333333
Italy,3.9951143950669334,23,3.0629210362179826
Canada,3.9644611112364525,20,2.642974074157635
Costa Rica,3.945732896513831,21,2.7620130275596817
Viet Nam,3.9391843027006765,26,3.413959729007253
Lao People's Democratic Republic,3.91725,2,0.26115
Argentina,3.9115818416559973,23,2.9988794119362647
Congo,3.889980818416667,6,0.7779961636833335
Croatia,3.8823787520571575,20,2.5882525013714384
East Asia & Pacific,3.875,2,0.2583333333333333
Greece,3.860825600547433,25,3.217354667122861
Mauritius,3.858645899143772,22,2.8296736593720992
Hungary,3.8560447108115494,25,3.213370592342958
Georgia,3.8469914255487354,21,2.6928939978841147
Colombia,3.8464112568190743,26,3.3335564225765313
Iceland,3.833162007247796,14,1.7888089367156381
