Country Name,agg_score,count_source,agg_score_wt
Iceland,5.7904,1,2.8952
Denmark,5.4910000000000005,1,2.7455000000000003
Norway,5.4411000000000005,1,2.7205500000000002
Estonia,5.36625,2,5.36625
Finland,5.3413,1,2.67065
Sweden,5.2914,1,2.6457
Canada,5.1916,2,5.1916
Netherlands,5.1916,1,2.5958
New Zealand,5.1417,1,2.57085
Austria,5.0918,1,2.5459
Germany,5.0668500000000005,2,5.0668500000000005
Taiwan,4.992000000000001,1,2.4960000000000004
Belgium,4.9421,1,2.47105
United Kingdom,4.91715,2,4.91715
Australia,4.86725,2,4.86725
Costa Rica,4.86725,2,4.86725
Japan,4.842300000000001,2,4.842300000000001
"Hong Kong SAR, China",4.792400000000001,1,2.3962000000000003
France,4.76745,2,4.76745
United States,4.66765,2,4.66765
Spain,4.6427,1,2.32135
Republic of Korea,4.6427,1,2.32135
Czech Republic,4.6427,1,2.32135
Italy,4.5429,2,4.5429
Armenia,4.5429,1,2.27145
Uruguay,4.5429,1,2.27145
Portugal,4.493,1,2.2465
Slovenia,4.443099999999999,1,2.2215499999999997
Georgia,4.41815,2,4.41815
South Korea,4.343300000000001,1,2.1716500000000005
Chile,4.3433,1,2.17165
Singapore,4.31835,2,4.31835
South Africa,4.2934,2,4.2934
Poland,4.2934,1,2.1467
Barbados,4.2435,1,2.12175
Argentina,4.2185500000000005,2,4.2185500000000005
St. Vincent and the Grenadines,4.1936,1,2.0968
Antigua and Barbuda,4.1437,1,2.07185
St. Kitts and Nevis,4.1437,1,2.07185
Namibia,4.1437,1,2.07185
Romania,4.1437,1,2.07185
St. Lucia,4.0938,1,2.0469
Hungary,4.06885,2,4.06885
The Bahamas,4.043900000000001,1,2.0219500000000004
Greece,4.043900000000001,1,2.0219500000000004
Croatia,4.043900000000001,1,2.0219500000000004
Mauritius,4.043900000000001,1,2.0219500000000004
Serbia,4.01895,2,4.01895
Ghana,4.01895,2,4.01895
Botswana,3.994,1,1.997
Grenada,3.9441,1,1.97205
Tunisia,3.91915,2,3.91915
Dominica,3.8942,1,1.9471
Brazil,3.8942,2,3.8942
Malaysia,3.8942,2,3.8942
Colombia,3.86925,2,3.86925
Jamaica,3.8443,1,1.92215
Ukraine,3.81935,2,3.81935
Philippines,3.7944,2,3.7944
Malawi,3.76945,2,3.76945
Kenya,3.76945,2,3.76945
Ecuador,3.76945,2,3.76945
Senegal,3.7445,1,1.87225
Bulgaria,3.7445,1,1.87225
Kosovo,3.6946,1,1.8473
Trinidad and Tobago,3.6946,1,1.8473
North Macedonia,3.6447,1,1.82235
"Gambia, The",3.6447,1,1.82235
Kyrgyzstan,3.6447,1,1.82235
Nepal,3.6447,1,1.82235
Mongolia,3.6447,1,1.82235
Angola,3.61975,2,3.61975
Panama,3.5948,1,1.7974
Mexico,3.5948,2,3.5948
Jordan,3.5948,2,3.5948
Bosnia and Herzegovina,3.5948,1,1.7974
Zambia,3.5948,2,3.5948
Sri Lanka,3.56985,2,3.56985
Morocco,3.5698499999999997,2,3.5698499999999997
Burkina Faso,3.5449,1,1.77245
Nigeria,3.5449,2,3.5449
Indonesia,3.5199499999999997,2,3.5199499999999997
India,3.495,2,3.495
The Gambia,3.495,1,1.7475
Albania,3.495,1,1.7475
Peru,3.495,1,1.7475
Rwanda,3.495,2,3.495
Benin,3.495,1,1.7475
Moldova,3.495,1,1.7475
Suriname,3.495,1,1.7475
Guyana,3.495,1,1.7475
Algeria,3.4451,1,1.72255
El Salvador,3.4451,1,1.72255
Belize,3.3952,1,1.6976
Lebanon,3.3952,2,3.3952
Libya,3.3952,1,1.6976
Kyrgyz Republic,3.3952,1,1.6976
Dominican Republic,3.3952,1,1.6976
Tanzania,3.3453,1,1.67265
Russian Federation,3.3453,1,1.67265
Cote d'Ivoire,3.2954000000000003,1,1.6477000000000002
United Arab Emirates,3.2954,2,3.2954
Togo,3.2455000000000003,1,1.6227500000000001
Guatemala,3.2455000000000003,1,1.6227500000000001
Sierra Leone,3.2455000000000003,1,1.6227500000000001
Niger,3.2455000000000003,1,1.6227500000000001
Liberia,3.2455000000000003,1,1.6227500000000001
Uganda,3.2205500000000002,2,3.2205500000000002
Madagascar,3.1956,1,1.5978
Mali,3.1956,1,1.5978
Nicaragua,3.17065,2,3.17065
Thailand,3.17065,2,3.17065
Zimbabwe,3.12075,2,3.12075
Kazakhstan,3.12075,2,3.12075
Guinea,3.0958,1,1.5479
Mozambique,3.0459,1,1.52295
Iraq,3.0459,1,1.52295
Belarus,3.0459,2,3.0459
Bangladesh,3.02095,2,3.02095
Honduras,2.9960000000000004,1,1.4980000000000002
Turkey,2.92115,2,2.92115
Bolivia,2.8962000000000003,1,1.4481000000000002
Cambodia,2.8962000000000003,2,2.8962000000000003
Uzbekistan,2.87125,2,2.87125
Afghanistan,2.7964,1,1.3982
Mauritania,2.7964,1,1.3982
Cameroon,2.7964,1,1.3982
Vietnam,2.77145,2,2.77145
Azerbaijan,2.7465,1,1.37325
"Congo, Dem. Rep.",2.6966,1,1.3483
Ethiopia,2.6966,2,2.6966
Sudan,2.6467,1,1.32335
Pakistan,2.5968,2,2.5968
Egypt,2.5469,2,2.5469
Russia,2.497,1,1.2485
Bahrain,2.497,1,1.2485
Iran,2.4720500000000003,2,2.4720500000000003
Myanmar,2.4720500000000003,2,2.4720500000000003
China,2.4471,2,2.4471
Venezuela,2.3972,1,1.1986
"Venezuela, RB",2.3473,1,1.17365
Saudi Arabia,2.1976,1,1.0988
Cuba,2.0479000000000003,1,1.0239500000000001
