Country Name,agg_score,count_source,agg_score_wt
Finland,5.28641,1,5.28641
Sweden,5.27144,1,5.27144
Denmark,5.236510000000001,1,5.236510000000001
Germany,5.11675,1,5.11675
Belgium,5.101780000000001,1,5.101780000000001
Austria,5.09679,1,5.09679
Norway,5.0918,1,5.0918
France,5.07683,1,5.07683
Netherlands,5.07184,1,5.07184
Estonia,5.07184,1,5.07184
Slovenia,5.07184,1,5.07184
Czech Republic,5.06186,1,5.06186
Ireland,5.0419,1,5.0419
Croatia,5.01196,1,5.01196
Poland,5.0019800000000005,1,5.0019800000000005
Switzerland,4.99699,1,4.99699
United Kingdom,4.992000000000001,1,4.992000000000001
Japan,4.98202,1,4.98202
Slovak Republic,4.97204,1,4.97204
Spain,4.96705,1,4.96705
Canada,4.9520800000000005,1,4.9520800000000005
Latvia,4.9520800000000005,1,4.9520800000000005
New Zealand,4.94709,1,4.94709
Italy,4.932119999999999,1,4.932119999999999
Hungary,4.932119999999999,1,4.932119999999999
Belarus,4.932119999999999,1,4.932119999999999
"Korea, Rep.",4.922140000000001,1,4.922140000000001
Portugal,4.922140000000001,1,4.922140000000001
Iceland,4.90218,1,4.90218
High-income Countries,4.89719,1,4.89719
OECD members,4.85228,1,4.85228
Chile,4.847289999999999,1,4.847289999999999
Lithuania,4.82733,1,4.82733
United States,4.792400000000001,1,4.792400000000001
Malta,4.777430000000001,1,4.777430000000001
Australia,4.77244,1,4.77244
Serbia,4.77244,1,4.77244
Ukraine,4.76745,1,4.76745
Greece,4.762460000000001,1,4.762460000000001
Israel,4.7425,1,4.7425
Romania,4.7425,1,4.7425
Cyprus,4.73751,1,4.73751
Uruguay,4.71755,1,4.71755
Thailand,4.70258,1,4.70258
Luxembourg,4.70258,1,4.70258
Kyrgyz Republic,4.6926000000000005,1,4.6926000000000005
Bulgaria,4.68262,1,4.68262
Russian Federation,4.68262,1,4.68262
Moldova,4.677630000000001,1,4.677630000000001
Bosnia and Herzegovina,4.677630000000001,1,4.677630000000001
Cuba,4.677630000000001,1,4.677630000000001
Costa Rica,4.67264,1,4.67264
Argentina,4.63272,1,4.63272
Vietnam,4.63272,1,4.63272
North Macedonia,4.617750000000001,1,4.617750000000001
Ecuador,4.617750000000001,1,4.617750000000001
Azerbaijan,4.612760000000001,1,4.612760000000001
Georgia,4.60278,1,4.60278
China,4.59779,1,4.59779
Armenia,4.58282,1,4.58282
Kazakhstan,4.572839999999999,1,4.572839999999999
Eastern Europe and Central Asia,4.562860000000001,1,4.562860000000001
Tunisia,4.562860000000001,1,4.562860000000001
Brazil,4.557869999999999,1,4.557869999999999
Fiji,4.55288,1,4.55288
Peru,4.54789,1,4.54789
Albania,4.5429,1,4.5429
Malaysia,4.53791,1,4.53791
Algeria,4.53791,1,4.53791
Dominican Republic,4.53292,1,4.53292
Upper-middle-income Countries,4.53292,1,4.53292
Colombia,4.52294,1,4.52294
Morocco,4.517950000000001,1,4.517950000000001
Turkey,4.5129600000000005,1,4.5129600000000005
United Arab Emirates,4.50298,1,4.50298
Oman,4.49799,1,4.49799
Jordan,4.49799,1,4.49799
Bhutan,4.493,1,4.493
"Iran, Islamic Rep.",4.493,1,4.493
Singapore,4.488010000000001,1,4.488010000000001
Uzbekistan,4.48302,1,4.48302
Tajikistan,4.48302,1,4.48302
Maldives,4.45807,1,4.45807
Mexico,4.44809,1,4.44809
Jamaica,4.443099999999999,1,4.443099999999999
Latin America and the Caribbean,4.42314,1,4.42314
"Egypt, Arab Rep.",4.42314,1,4.42314
Barbados,4.41316,1,4.41316
Brunei Darussalam,4.40817,1,4.40817
Montenegro,4.403180000000001,1,4.403180000000001
Cabo Verde,4.39819,1,4.39819
Sri Lanka,4.39819,1,4.39819
Panama,4.3932,1,4.3932
El Salvador,4.388210000000001,1,4.388210000000001
Bolivia,4.37324,1,4.37324
Middle East and North Africa,4.34829,1,4.34829
Suriname,4.343300000000001,1,4.343300000000001
Paraguay,4.33831,1,4.33831
Lebanon,4.3333200000000005,1,4.3333200000000005
Qatar,4.32833,1,4.32833
Mauritius,4.32833,1,4.32833
Nepal,4.318350000000001,1,4.318350000000001
Nicaragua,4.30837,1,4.30837
Saudi Arabia,4.30837,1,4.30837
Indonesia,4.30837,1,4.30837
Bahrain,4.29839,1,4.29839
East and South Asia,4.27843,1,4.27843
Myanmar,4.238510000000001,1,4.238510000000001
Philippines,4.2185500000000005,1,4.2185500000000005
Cambodia,4.2185500000000005,1,4.2185500000000005
Belize,4.213560000000001,1,4.213560000000001
Mongolia,4.18362,1,4.18362
Iraq,4.18362,1,4.18362
South Africa,4.17863,1,4.17863
Bangladesh,4.16865,1,4.16865
Trinidad and Tobago,4.16865,1,4.16865
Lao PDR,4.1437,1,4.1437
Gabon,4.13372,1,4.13372
Honduras,4.13372,1,4.13372
Ghana,4.11875,1,4.11875
Kuwait,4.11875,1,4.11875
Small Island Developing States,4.11875,1,4.11875
Botswana,4.0888100000000005,1,4.0888100000000005
Namibia,4.08382,1,4.08382
Turkmenistan,4.04889,1,4.04889
Kenya,4.02394,1,4.02394
Vanuatu,4.01895,1,4.01895
Lower-middle-income Countries,3.99899,1,3.99899
India,3.99899,1,3.99899
Guatemala,3.98901,1,3.98901
"Gambia, The",3.95907,1,3.95907
"Venezuela, RB",3.95907,1,3.95907
Sao Tome and Principe,3.93412,1,3.93412
Zimbabwe,3.92913,1,3.92913
Senegal,3.91416,1,3.91416
Syrian Arab Republic,3.8942,1,3.8942
Guyana,3.88921,1,3.88921
Pakistan,3.87923,1,3.87923
Rwanda,3.87424,1,3.87424
Cote d'Ivoire,3.87424,1,3.87424
Tanzania,3.81436,1,3.81436
Mauritania,3.76945,1,3.76945
Cameroon,3.75947,1,3.75947
Lesotho,3.72454,1,3.72454
Ethiopia,3.71955,1,3.71955
Afghanistan,3.68961,1,3.68961
Djibouti,3.68462,1,3.68462
Burkina Faso,3.66965,1,3.66965
Uganda,3.66965,1,3.66965
Zambia,3.66466,1,3.66466
Eswatini,3.65967,1,3.65967
Togo,3.65468,1,3.65468
"Yemen, Rep.",3.63971,1,3.63971
"Congo, Rep.",3.63971,1,3.63971
Mali,3.60478,1,3.60478
Sub-Saharan Africa,3.58981,1,3.58981
Burundi,3.58482,1,3.58482
Sierra Leone,3.57983,1,3.57983
Malawi,3.56486,1,3.56486
Haiti,3.56486,1,3.56486
Papua New Guinea,3.55987,1,3.55987
Mozambique,3.54989,1,3.54989
Guinea,3.5449,1,3.5449
Low-income Countries,3.5449,1,3.5449
Angola,3.50997,1,3.50997
Oceania,3.4999900000000004,1,3.4999900000000004
Benin,3.49001,1,3.49001
Niger,3.47005,1,3.47005
Sudan,3.47005,1,3.47005
"Congo, Dem. Rep.",3.46007,1,3.46007
Madagascar,3.4451,1,3.4451
Nigeria,3.44011,1,3.44011
Liberia,3.4251400000000003,1,3.4251400000000003
Somalia,3.27544,1,3.27544
Chad,3.04091,1,3.04091
South Sudan,2.94111,1,2.94111
Central African Republic,2.91117,1,2.91117
Andorra,,0,
Antigua and Barbuda,,0,
"Bahamas, The",,0,
Comoros,,0,
Dominica,,0,
Equatorial Guinea,,0,
Eritrea,,0,
Grenada,,0,
Guinea-Bissau,,0,
Kiribati,,0,
"Korea, Dem. Rep.",,0,
Libya,,0,
Liechtenstein,,0,
Marshall Islands,,0,
"Micronesia, Fed. Sts.",,0,
Monaco,,0,
Nauru,,0,
Palau,,0,
Samoa,,0,
San Marino,,0,
Seychelles,,0,
Solomon Islands,,0,
St. Kitts and Nevis,,0,
St. Lucia,,0,
St. Vincent and the Grenadines,,0,
Timor-Leste,,0,
Tonga,,0,
Tuvalu,,0,
