Pillar,Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Foundations,Data Exchange,Afghanistan,1.6,1,0.17777777777777778
Foundations,Data Exchange,Albania,2.8,1,0.31111111111111106
Foundations,Data Exchange,Antigua and Barbuda,1.25,1,0.1388888888888889
Foundations,Data Exchange,Argentina,4.0,1,0.4444444444444444
Foundations,Data Exchange,Australia,4.95,1,0.55
Foundations,Data Exchange,Austria,3.45,1,0.38333333333333336
Foundations,Data Exchange,Bangladesh,2.25,1,0.25
Foundations,Data Exchange,Barbados,1.2,1,0.13333333333333333
Foundations,Data Exchange,Belgium,3.6,1,0.39999999999999997
Foundations,Data Exchange,Bhutan,2.15,1,0.23888888888888887
Foundations,Data Exchange,Bolivia,2.5,1,0.2777777777777778
Foundations,Data Exchange,Bosnia and Herzegovina,2.3,1,0.25555555555555554
Foundations,Data Exchange,Botswana,1.45,1,0.1611111111111111
Foundations,Data Exchange,Brazil,4.4,1,0.48888888888888893
Foundations,Data Exchange,Bulgaria,3.25,1,0.3611111111111111
Foundations,Data Exchange,Cambodia,1.85,1,0.20555555555555555
Foundations,Data Exchange,Cameroon,1.55,1,0.17222222222222222
Foundations,Data Exchange,Canada,4.45,1,0.49444444444444446
Foundations,Data Exchange,Chile,3.6,1,0.39999999999999997
Foundations,Data Exchange,Colombia,4.2,1,0.4666666666666667
Foundations,Data Exchange,Costa Rica,2.15,1,0.23888888888888887
Foundations,Data Exchange,Croatia,2.95,1,0.3277777777777778
Foundations,Data Exchange,Czech Republic,3.5,1,0.38888888888888884
Foundations,Data Exchange,Denmark,4.25,1,0.4722222222222222
Foundations,Data Exchange,Dominican Republic,2.35,1,0.2611111111111111
Foundations,Data Exchange,El Salvador,2.75,1,0.3055555555555555
Foundations,Data Exchange,Finland,4.45,1,0.49444444444444446
Foundations,Data Exchange,France,4.5,1,0.5
Foundations,Data Exchange,Germany,3.55,1,0.3944444444444444
Foundations,Data Exchange,Ghana,1.8,1,0.19999999999999998
Foundations,Data Exchange,Great Britain,4.95,1,0.55
Foundations,Data Exchange,Greece,3.3,1,0.36666666666666664
Foundations,Data Exchange,Guatemala,2.4,1,0.26666666666666666
Foundations,Data Exchange,Guyana,2.0,1,0.2222222222222222
Foundations,Data Exchange,Hong Kong,3.55,1,0.3944444444444444
Foundations,Data Exchange,India,3.35,1,0.37222222222222223
Foundations,Data Exchange,Indonesia,2.25,1,0.25
Foundations,Data Exchange,Iran,2.05,1,0.22777777777777775
Foundations,Data Exchange,Isle of Man,3.15,1,0.35
Foundations,Data Exchange,Israel,3.05,1,0.33888888888888885
Foundations,Data Exchange,Italy,3.35,1,0.37222222222222223
Foundations,Data Exchange,Jamaica,2.3,1,0.25555555555555554
Foundations,Data Exchange,Japan,4.05,1,0.44999999999999996
Foundations,Data Exchange,Kenya,1.75,1,0.19444444444444442
Foundations,Data Exchange,Kosovo,2.3,1,0.25555555555555554
Foundations,Data Exchange,Latvia,4.2,1,0.4666666666666667
Foundations,Data Exchange,Lesotho,1.8,1,0.19999999999999998
Foundations,Data Exchange,Macedonia,2.55,1,0.28333333333333327
Foundations,Data Exchange,Malawi,1.25,1,0.1388888888888889
Foundations,Data Exchange,Malaysia,1.5,1,0.16666666666666666
Foundations,Data Exchange,Mexico,4.25,1,0.4722222222222222
Foundations,Data Exchange,Montenegro,2.75,1,0.3055555555555555
Foundations,Data Exchange,Mozambique,1.6,1,0.17777777777777778
Foundations,Data Exchange,Myanmar,1.05,1,0.11666666666666667
Foundations,Data Exchange,Namibia,1.75,1,0.19444444444444442
Foundations,Data Exchange,Nepal,2.0,1,0.2222222222222222
Foundations,Data Exchange,Netherlands,3.7,1,0.4111111111111111
Foundations,Data Exchange,New Zealand,4.4,1,0.48888888888888893
Foundations,Data Exchange,Northern Ireland,4.35,1,0.4833333333333333
Foundations,Data Exchange,Norway,4.45,1,0.49444444444444446
Foundations,Data Exchange,Oman,1.7,1,0.18888888888888888
Foundations,Data Exchange,Pakistan,1.95,1,0.21666666666666665
Foundations,Data Exchange,Panama,2.25,1,0.25
Foundations,Data Exchange,Paraguay,3.2,1,0.35555555555555557
Foundations,Data Exchange,Peru,2.45,1,0.27222222222222225
Foundations,Data Exchange,Philippines,2.5,1,0.2777777777777778
Foundations,Data Exchange,Poland,3.45,1,0.38333333333333336
Foundations,Data Exchange,Portugal,2.85,1,0.31666666666666665
Foundations,Data Exchange,Puerto Rico,3.15,1,0.35
Foundations,Data Exchange,Romania,3.55,1,0.3944444444444444
Foundations,Data Exchange,Russia,3.15,1,0.35
Foundations,Data Exchange,Saint Kitts and Nevis,1.2,1,0.13333333333333333
Foundations,Data Exchange,Saint Lucia,1.75,1,0.19444444444444442
Foundations,Data Exchange,Saint Vincent and the Grenadines,1.35,1,0.15
