Pillar,Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Government,Capabilities,Algeria,2.3,1,0.575
Government,Capabilities,Argentina,2.975,1,0.74375
Government,Capabilities,Armenia,3.075,1,0.76875
Government,Capabilities,Australia,4.375,1,1.09375
Government,Capabilities,Austria,5.575,1,1.39375
Government,Capabilities,Azerbaijan,1.925,1,0.48125
Government,Capabilities,Bangladesh,2.9,1,0.725
Government,Capabilities,Barbados,4.075,1,1.01875
Government,Capabilities,Belarus,5.75,1,1.4375
Government,Capabilities,Belgium,5.6,1,1.4
Government,Capabilities,Bhutan,1.425,1,0.35625
Government,Capabilities,Bolivia,1.675,1,0.41875
Government,Capabilities,Botswana,1.25,1,0.3125
Government,Capabilities,Brazil,2.75,1,0.6875
Government,Capabilities,Bulgaria,5.25,1,1.3125
Government,Capabilities,Cameroon,4.4750000000000005,1,1.1187500000000001
Government,Capabilities,Canada,4.425000000000001,1,1.1062500000000002
Government,Capabilities,Chile,2.525,1,0.63125
Government,Capabilities,China,3.55,1,0.8875
Government,Capabilities,Colombia,2.4000000000000004,1,0.6000000000000001
Government,Capabilities,Costa Rica,3.55,1,0.8875
Government,Capabilities,Croatia,5.025,1,1.25625
Government,Capabilities,Czech Republic,5.675000000000001,1,1.4187500000000002
Government,Capabilities,Denmark,5.65,1,1.4125
Government,Capabilities,Dominican Republic,1.8,1,0.45
Government,Capabilities,Ecuador,2.375,1,0.59375
Government,Capabilities,Egypt,3.45,1,0.8625
Government,Capabilities,El Salvador,2.5500000000000003,1,0.6375000000000001
Government,Capabilities,Estonia,4.05,1,1.0125
Government,Capabilities,Ethiopia,3.9,1,0.975
Government,Capabilities,Finland,5.75,1,1.4375
Government,Capabilities,France,4.725,1,1.18125
Government,Capabilities,Georgia,2.5,1,0.625
Government,Capabilities,Germany,5.575,1,1.39375
Government,Capabilities,Ghana,2.05,1,0.5125
Government,Capabilities,Greece,4.6,1,1.15
Government,Capabilities,Guatemala,1.425,1,0.35625
Government,Capabilities,Guyana,1.25,1,0.3125
Government,Capabilities,Honduras,1.625,1,0.40625
Government,Capabilities,Hong Kong,4.575,1,1.14375
Government,Capabilities,Hungary,5.5,1,1.375
Government,Capabilities,India,2.9,1,0.725
Government,Capabilities,Indonesia,4.1,1,1.025
Government,Capabilities,Iraq,1.225,1,0.30625
Government,Capabilities,Ireland,4.6,1,1.15
Government,Capabilities,Israel,4.85,1,1.2125
Government,Capabilities,Italy,5.074999999999999,1,1.2687499999999998
Government,Capabilities,Japan,5.699999999999999,1,1.4249999999999998
Government,Capabilities,Jordan,2.325,1,0.58125
Government,Capabilities,Kazakhstan,2.4000000000000004,1,0.6000000000000001
Government,Capabilities,Kenya,2.0250000000000004,1,0.5062500000000001
Government,Capabilities,Kuwait,2.875,1,0.71875
Government,Capabilities,Kyrgyzstan,2.275,1,0.56875
Government,Capabilities,Latvia,4.725,1,1.18125
Government,Capabilities,Lebanon,2.625,1,0.65625
Government,Capabilities,Lithuania,3.875,1,0.96875
Government,Capabilities,Luxembourg,4.675,1,1.16875
Government,Capabilities,Malaysia,3.7,1,0.925
Government,Capabilities,Mexico,1.9,1,0.475
Government,Capabilities,Morocco,2.775,1,0.69375
Government,Capabilities,Myanmar,2.425,1,0.60625
Government,Capabilities,Nepal,3.575,1,0.89375
Government,Capabilities,Netherlands,5.300000000000001,1,1.3250000000000002
Government,Capabilities,New Zealand,4.675000000000001,1,1.1687500000000002
Government,Capabilities,Nicaragua,1.725,1,0.43125
Government,Capabilities,Nigeria,1.575,1,0.39375
Government,Capabilities,Norway,4.775,1,1.19375
Government,Capabilities,Oman,1.85,1,0.4625
Government,Capabilities,Pakistan,2.975,1,0.74375
Government,Capabilities,Panama,1.5,1,0.375
Government,Capabilities,Paraguay,1.45,1,0.3625
Government,Capabilities,Peru,3.325,1,0.83125
Government,Capabilities,Philippines,2.825,1,0.70625
Government,Capabilities,Poland,4.5,1,1.125
Government,Capabilities,Portugal,4.375,1,1.09375
Government,Capabilities,Puerto Rico,2.15,1,0.5375
Government,Capabilities,Qatar,2.8,1,0.7
Government,Capabilities,Republic of Korea,3.375,1,0.84375
Government,Capabilities,Romania,4.175,1,1.04375
Government,Capabilities,Russian Federation,5.7250000000000005,1,1.4312500000000001
Government,Capabilities,Rwanda,2.5,1,0.625
Government,Capabilities,Saint Lucia,2.75,1,0.6875
Government,Capabilities,Saudi Arabia,2.8,1,0.7
Government,Capabilities,Serbia,4.6,1,1.15
Government,Capabilities,Sierra Leone,1.15,1,0.2875
Government,Capabilities,Singapore,5.55,1,1.3875
Government,Capabilities,Slovakia,4.0,1,1.0
Government,Capabilities,Somalia,1.05,1,0.2625
Government,Capabilities,South Africa,3.725,1,0.93125
Government,Capabilities,Spain,4.65,1,1.1625
Government,Capabilities,Sri Lanka,4.35,1,1.0875
Government,Capabilities,Sudan,2.075,1,0.51875
Government,Capabilities,Sweden,5.449999999999999,1,1.3624999999999998
