Country Name,Pillar,Indicator,higher_is_better,data_status,data_col,Year,data_availability,new_rank_score,Source Name,Source URL,raw_data_col,rank
Afghanistan,Cross-Cutting Indicators,,,,,,,2.28,,,,179.0
Afghanistan,"Freedom of Expression, Assembly and Association",,,,,,,2.72,,,,156.0
Afghanistan,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Afghanistan,Right to Privacy,,,,,,,1.25,,,,185.0
Albania,Cross-Cutting Indicators,,,,,,,3.74,,,,58.0
Albania,"Freedom of Expression, Assembly and Association",,,,,,,4.36,,,,12.0
Albania,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Albania,Right to Privacy,,,,,,,4.79,,,,39.0
Algeria,Cross-Cutting Indicators,,,,,,,3.35,,,,103.0
Algeria,"Freedom of Expression, Assembly and Association",,,,,,,3.26,,,,111.0
Algeria,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Algeria,Right to Privacy,,,,,,,4.46,,,,78.0
Andorra,Cross-Cutting Indicators,,,,,,,3.28,,,,108.0
Andorra,"Freedom of Expression, Assembly and Association",,,,,,,2.64,,,,161.0
Andorra,Right to Privacy,,,,,,,5.0,,,,1.0
Angola,Cross-Cutting Indicators,,,,,,,2.73,,,,163.0
Angola,"Freedom of Expression, Assembly and Association",,,,,,,3.89,,,,45.0
Angola,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Angola,Right to Privacy,,,,,,,4.64,,,,60.0
Anguilla,Cross-Cutting Indicators,,,,,,,1.67,,,,193.0
Anguilla,"Freedom of Expression, Assembly and Association",,,,,,,3.75,,,,51.0
Anguilla,Right to Equality and Non-Discrimination,,,,,,,1.88,,,,143.0
Anguilla,Right to Privacy,,,,,,,5.0,,,,1.0
Antigua and Barbuda,Cross-Cutting Indicators,,,,,,,3.14,,,,131.0
Antigua and Barbuda,"Freedom of Expression, Assembly and Association",,,,,,,3.06,,,,134.0
Antigua and Barbuda,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Antigua and Barbuda,Right to Privacy,,,,,,,5.0,,,,1.0
Argentina,Cross-Cutting Indicators,,,,,,,4.07,,,,24.0
Argentina,"Freedom of Expression, Assembly and Association",,,,,,,4.42,,,,10.0
Argentina,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Argentina,Right to Privacy,,,,,,,4.82,,,,34.0
Armenia,Cross-Cutting Indicators,,,,,,,4.16,,,,20.0
Armenia,"Freedom of Expression, Assembly and Association",,,,,,,3.95,,,,40.0
Armenia,Right to Equality and Non-Discrimination,,,,,,,5.0,,,,1.0
Armenia,Right to Privacy,,,,,,,4.67,,,,57.0
Australia,Cross-Cutting Indicators,,,,,,,4.16,,,,21.0
Australia,"Freedom of Expression, Assembly and Association",,,,,,,3.95,,,,39.0
Australia,Right to Privacy,,,,,,,4.67,,,,58.0
Austria,Cross-Cutting Indicators,,,,,,,4.19,,,,18.0
Austria,"Freedom of Expression, Assembly and Association",,,,,,,3.61,,,,70.0
Austria,Right to Privacy,,,,,,,4.79,,,,37.0
Azerbaijan,Cross-Cutting Indicators,,,,,,,3.55,,,,83.0
Azerbaijan,"Freedom of Expression, Assembly and Association",,,,,,,2.77,,,,151.0
Azerbaijan,Right to Equality and Non-Discrimination,,,,,,,4.38,,,,45.0
Azerbaijan,Right to Privacy,,,,,,,4.51,,,,73.0
Bahamas (the),Cross-Cutting Indicators,,,,,,,3.88,,,,42.0
Bahamas (the),"Freedom of Expression, Assembly and Association",,,,,,,3.62,,,,67.0
Bahamas (the),Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Bahamas (the),Right to Privacy,,,,,,,5.0,,,,1.0
Bahrain,Cross-Cutting Indicators,,,,,,,3.67,,,,70.0
Bahrain,"Freedom of Expression, Assembly and Association",,,,,,,2.43,,,,178.0
Bahrain,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Bahrain,Right to Privacy,,,,,,,4.46,,,,77.0
Bangladesh,Cross-Cutting Indicators,,,,,,,3.15,,,,129.0
Bangladesh,"Freedom of Expression, Assembly and Association",,,,,,,2.6,,,,162.0
Bangladesh,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Bangladesh,Right to Privacy,,,,,,,3.55,,,,120.0
Barbados,Cross-Cutting Indicators,,,,,,,3.42,,,,95.0
Barbados,"Freedom of Expression, Assembly and Association",,,,,,,4.12,,,,25.0
Barbados,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Barbados,Right to Privacy,,,,,,,4.36,,,,86.0
Belarus,Cross-Cutting Indicators,,,,,,,2.76,,,,161.0
Belarus,"Freedom of Expression, Assembly and Association",,,,,,,2.19,,,,187.0
Belarus,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Belarus,Right to Privacy,,,,,,,3.05,,,,143.0
Belgium,Cross-Cutting Indicators,,,,,,,4.14,,,,23.0
Belgium,"Freedom of Expression, Assembly and Association",,,,,,,4.28,,,,20.0
Belgium,Right to Privacy,,,,,,,4.85,,,,27.0
Belize,Cross-Cutting Indicators,,,,,,,3.01,,,,144.0
Belize,"Freedom of Expression, Assembly and Association",,,,,,,3.57,,,,78.0
Belize,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Belize,Right to Privacy,,,,,,,3.13,,,,139.0
Benin,Cross-Cutting Indicators,,,,,,,3.33,,,,106.0
Benin,"Freedom of Expression, Assembly and Association",,,,,,,2.48,,,,176.0
Benin,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Benin,Right to Privacy,,,,,,,3.82,,,,104.0
Bhutan,Cross-Cutting Indicators,,,,,,,1.42,,,,200.0
Bhutan,"Freedom of Expression, Assembly and Association",,,,,,,3.23,,,,118.0
Bhutan,Right to Equality and Non-Discrimination,,,,,,,3.75,,,,83.0
Bhutan,Right to Privacy,,,,,,,2.93,,,,147.0
Bolivia (Plurinational State of),Cross-Cutting Indicators,,,,,,,3.47,,,,90.0
