Country Name,Pillar,Sub-Pillar,Indicator,Data Source,Data Link,Available
Algeria,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Algeria,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Algeria,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Algeria,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Egypt,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Egypt,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,0
Egypt,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Egypt,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Libya,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Libya,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Payments,% Making online transactions - Men,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Payments,% Making online transactions - Women,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Payments,% of population with digital finance account - registered,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Legal Identity,% of population with ID (all),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Legal Identity,% of population with ID (female),World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Legal Identity,can ID be used for transactions,World Bank: Identification For Development (ID4D),https://datacatalog.worldbank.org,1
Libya,Foundations,Digital Legal Identity,Is personal data siloed,World Bank: GovTech Dataset,https://datacatalog.worldbank.org,0
Libya,Foundations,Data Exchange,Open data index,Open Knowledge Foundation: Global Open Data Index,https://index.okfn.org,0
Morocco,Foundations,Digital Payments,Digital payments penetration,Portulans Institute: Network Readiness Index ,https://networkreadinessindex.org,0
Morocco,Foundations,Digital Payments,% of population with digital finance account,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Morocco,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
Morocco,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,World Bank: Global Findex database,https://datacatalog.worldbank.org,1
